feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bifidobacterium_longum	Group	CTR	-6.0931638934655	1.5332104951099	17	11	0.00122199941273989	0.386151814425806
Coprococcus_eutactus	Group	CTR	1.84288760625401	1.46608035614341	17	8	0.22796902171461	0.690363846176092
Eubacterium_rectale	Group	CTR	-2.8688406651217	2.10014796908494	17	12	0.19206537359054	0.690363846176092
Phocaeicola_vulgatus	Group	CTR	3.10166150108639	1.27961865157273	17	17	0.0284623787074887	0.690363846176092
Bacteroides_uniformis	Group	CTR	2.01839895252888	1.17346614407622	17	17	0.105984764552462	0.690363846176092
GGB3619_SGB4894	Group	CTR	0.907920569990853	0.551396663844298	17	5	0.120428668459764	0.690363846176092
Bacteroides_cellulosilyticus	Group	CTR	2.62951818747381	2.18420257397332	17	13	0.247290670630654	0.690363846176092
Alistipes_putredinis	Group	CTR	1.90789519432231	1.44969535557112	17	17	0.207910227789649	0.690363846176092
GGB9758_SGB15368	Group	CTR	3.14092210767876	1.70151304022922	17	9	0.084726731716173	0.690363846176092
Roseburia_inulinivorans	Group	CTR	2.68605960559674	2.03977624457315	17	14	0.207656952534615	0.690363846176092
Paraprevotella_clara	Group	CTR	-5.35737221555423	2.42516929945738	17	9	0.0431417214255204	0.690363846176092
Eubacterium_SGB6276	Group	CTR	0.862934121615283	0.355156666536762	17	5	0.0281388509321459	0.690363846176092
GGB9345_SGB14311	Group	CTR	1.18729364791085	0.937371902094516	17	3	0.224606928616515	0.690363846176092
Odoribacter_splanchnicus	Group	CTR	1.32789609691131	0.779425679653878	17	10	0.109061819282625	0.690363846176092
Parabacteroides_distasonis	Group	CTR	1.92520432365648	1.60461031395541	17	17	0.24882685095731	0.690363846176092
GGB3746_SGB5089	Group	CTR	2.51611720292888	1.46326739930078	17	12	0.106079968883304	0.690363846176092
Intestinibacter_bartlettii	Group	CTR	-1.72610023975748	0.950057054571638	17	8	0.0892745847264167	0.690363846176092
Desulfovibrio_SGB5077	Group	CTR	2.84890773866011	1.13861181476172	17	6	0.0244049743075806	0.690363846176092
Ruminococcus_torques	Group	CTR	-2.49453774010142	1.22499619511747	17	15	0.0597686338692734	0.690363846176092
GGB9342_SGB14306	Group	CTR	-0.361504810999866	0.317683883720115	17	3	0.272996200973504	0.690363846176092
Clostridium_sp_AF12_28	Group	CTR	3.30359568962072	1.77313541068331	17	6	0.0821415241730483	0.690363846176092
Bacteroides_finegoldii	Group	CTR	4.22876632229324	2.33771287251547	17	10	0.0905460526693733	0.690363846176092
Dorea_formicigenerans	Group	CTR	-1.8675043931461	1.35114969763032	17	9	0.187159394129447	0.690363846176092
Bacteroides_ovatus	Group	CTR	1.41078602648101	1.21351283936813	17	17	0.263169646157199	0.690363846176092
GGB3612_SGB4882	Group	CTR	1.2827046653675	0.913294229622828	17	3	0.180543432283927	0.690363846176092
Blautia_wexlerae	Group	CTR	-2.03032086490959	1.25248933839931	17	16	0.125838337682031	0.690363846176092
Eubacterium_siraeum	Group	CTR	2.35063708896452	1.55941743047926	17	3	0.152482828813094	0.690363846176092
Eubacteriaceae_bacterium	Group	CTR	2.08864363751106	1.13604519021567	17	9	0.0858681307463107	0.690363846176092
GGB3614_SGB4886	Group	CTR	0.342089868256714	0.259200489649411	17	2	0.206694461481532	0.690363846176092
Parabacteroides_merdae	Group	CTR	3.77205012639903	1.68508455257672	17	17	0.0407788537157426	0.690363846176092
GGB51269_SGB5062	Group	CTR	2.73696286339064	1.23134554567638	17	5	0.0420284385856345	0.690363846176092
Escherichia_coli	Group	CTR	-2.652949198373	1.55443676954519	17	17	0.108489526235	0.690363846176092
Streptococcus_thermophilus	Group	CTR	-1.50043626043115	1.01055973195046	17	3	0.158318313292426	0.690363846176092
Bacteroides_stercoris	Group	CTR	3.18814176072823	1.71215051628015	17	17	0.082300343091643	0.690363846176092
GGB9747_SGB15356	Group	CTR	3.59324884426067	2.51641509837297	17	6	0.173802674016352	0.690363846176092
Blautia_faecis	Group	CTR	-1.54706457089555	1.27393621934432	17	11	0.243369040382618	0.690363846176092
Candidatus_Cibionibacter_quicibialis	Group	CTR	-2.25977208848473	1.84346516067416	17	16	0.239161314469551	0.690363846176092
GGB9635_SGB15106	Group	CTR	3.6174627300971	2.58884955448632	17	7	0.182643514803606	0.690363846176092
Coprobacter_secundus	Group	CTR	1.62677509003702	1.0356443664316	17	4	0.137083692913446	0.690363846176092
Anaerostipes_hadrus	Group	CTR	-1.80839479387572	1.51156158978264	17	12	0.250118858535408	0.690363846176092
Blautia_sp_MSK_20_85	Group	CTR	-0.124999999999999	0.117359056523764	17	1	0.303672704488846	0.690363846176092
Bacteroides_salyersiae	Group	CTR	-4.47918283669398	2.09644502469336	17	10	0.0495190407583133	0.690363846176092
Anaerobutyricum_hallii	Group	CTR	-3.85729236200668	1.65436171738253	17	9	0.0340749098309024	0.690363846176092
Clostridium_sp_AF34_10BH	Group	CTR	2.20847522630832	1.96388168805361	17	15	0.278455504934988	0.690363846176092
Lachnospiraceae_bacterium_BX3	Group	CTR	4.501602287754	1.98130578290921	17	5	0.0382323927243196	0.690363846176092
Streptococcus_salivarius	Group	CTR	-2.66557688255637	0.993016382841669	17	8	0.0169841066401003	0.690363846176092
Blautia_SGB4815	Group	CTR	-0.858206154477046	0.681591869702812	17	2	0.227229189652334	0.690363846176092
Clostridium_sp_AF20_17LB	Group	CTR	1.37151101416216	0.798110145982323	17	7	0.106279472928401	0.690363846176092
Oscillospiraceae_bacterium_Marseille_Q3528	Group	CTR	-0.803288843098489	0.408116945537002	17	3	0.0678028383595215	0.690363846176092
Dysosmobacter_sp_BX15	Group	CTR	2.42044488319399	1.89101798109687	17	11	0.219998069546769	0.690363846176092
Dorea_sp_AF24_7LB	Group	CTR	-2.30200818285366	1.49899074127458	17	3	0.145432501890901	0.690363846176092
Coprococcus_SGB4669	Group	CTR	0.80931593274478	0.502840267333213	17	3	0.128348679239198	0.690363846176092
Clostridium_sp_AF34_13	Group	CTR	-1.65785441196231	1.09655400220232	17	3	0.151345116520812	0.690363846176092
Eubacterium_ramulus	Group	CTR	-2.19914469565501	1.03114191655461	17	6	0.0498793530940709	0.690363846176092
Clostridium_saudiense	Group	CTR	-0.125000000000002	0.117359056523764	17	1	0.303672704488833	0.690363846176092
GGB80011_SGB15267	Group	CTR	2.96583564607933	1.36191808326793	17	5	0.0458019493694278	0.690363846176092
GGB2653_SGB3574	Group	CTR	-1.25899376338741	0.903903309314664	17	6	0.183969196580697	0.690363846176092
Blautia_massiliensis	Group	CTR	-2.13470661733313	1.08995037588515	17	9	0.0690298111535469	0.690363846176092
Blautia_glucerasea	Group	CTR	1.03705602969596	0.681428935204091	17	4	0.148837749046021	0.690363846176092
GGB80140_SGB15224	Group	CTR	0.260955207277582	0.186336994856514	17	2	0.181724606032947	0.690363846176092
GGB33469_SGB15236	Group	CTR	0.959556501585719	0.880526694165534	17	4	0.293019927865859	0.690363846176092
Desulfovibrio_piger	Group	CTR	0.611286922781335	0.530827764520073	17	2	0.267521780791801	0.690363846176092
Blautia_luti	Group	CTR	-0.501007689716394	0.355754539421676	17	2	0.179432164486918	0.690363846176092
Clostridiaceae_bacterium_Marseille_Q4145	Group	CTR	-0.469417922531816	0.327864242085997	17	2	0.172723820292934	0.690363846176092
Clostridiales_Family_XIII_bacterium_BX16	Group	CTR	-2.25665657568922	1.36500017383821	17	5	0.119055339682837	0.690363846176092
GGB4578_SGB6328	Group	CTR	2.38657333330481	1.10538582958801	17	5	0.0474541582434869	0.690363846176092
Roseburia_sp_AF02_12	Group	CTR	0.283001258707951	0.205100298070361	17	2	0.187864433926896	0.690363846176092
Waltera_intestinalis	Group	CTR	-2.39483737109941	1.72397285442551	17	17	0.185069931806025	0.690363846176092
Dorea_sp_AF36_15AT	Group	CTR	-2.66321650939308	1.25705317166821	17	5	0.0512263389845097	0.690363846176092
GGB9559_SGB14969	Group	CTR	-0.124999999999998	0.117359056523764	17	1	0.303672704488851	0.690363846176092
Sutterella_wadsworthensis	Group	CTR	2.90083903276405	1.54388164136579	17	8	0.0798280981036294	0.690363846176092
GGB9293_SGB14250	Group	CTR	1.22144410669529	0.973242765862364	17	3	0.228671259249988	0.690363846176092
GGB9608_SGB15041	Group	CTR	-0.124999999999999	0.117359056523764	17	1	0.303672704488846	0.690363846176092
GGB9760_SGB15374	Group	CTR	0.43361878866347	0.244531778459119	17	3	0.0964848811851834	0.690363846176092
Bifidobacterium_adolescentis	Group	CTR	-4.04063529774486	1.32314452704838	17	6	0.0080406938001685	0.690363846176092
Bifidobacterium_bifidum	Group	CTR	-1.27627736336322	0.742922026762433	17	3	0.10637877364223	0.690363846176092
Ruminococcus_callidus	Group	CTR	-0.125000000000001	0.117359056523764	17	1	0.303672704488839	0.690363846176092
Collinsella_aerofaciens	Group	CTR	-2.66690842583762	2.12456437333831	17	9	0.228583741305349	0.690363846176092
GGB9642_SGB15119	Group	CTR	-0.124999999999999	0.117359056523764	17	1	0.303672704488846	0.690363846176092
Senegalimassilia_anaerobia	Group	CTR	-0.125	0.117359056523764	17	1	0.303672704488842	0.690363846176092
Alistipes_senegalensis	Group	CTR	0.556935749971865	0.319646603094677	17	3	0.101906466190937	0.690363846176092
Alistipes_indistinctus	Group	CTR	-2.74197375992581	1.5314302832972	17	7	0.0935789513306008	0.690363846176092
Streptococcus_parasanguinis	Group	CTR	-3.6271749712529	1.11043013675325	17	6	0.00520475143559909	0.690363846176092
Eubacteriales_unclassified_SGB15145	Group	CTR	1.7770788464066	1.26954784514264	17	5	0.181922769017531	0.690363846176092
Rheinheimera_SGB14999	Group	CTR	2.48872694297528	1.0960109589489	17	13	0.0383300570883295	0.690363846176092
GGB9616_SGB15051	Group	CTR	0.465140456244782	0.380650428590079	17	2	0.240578055604052	0.690363846176092
Anaerotruncus_colihominis	Group	CTR	-2.91554879264633	1.79410506354225	17	8	0.124968839392187	0.690363846176092
Rothia_mucilaginosa	Group	CTR	-0.125	0.117359056523764	17	1	0.30367270448884	0.690363846176092
Dysosmobacter_welbionis	Group	CTR	2.56875975385219	1.64413008307708	17	15	0.139045622929267	0.690363846176092
Eggerthella_lenta	Group	CTR	-2.38316239107267	2.07867345419818	17	8	0.269555986252726	0.690363846176092
