feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Evtepia_gabavorous	Group	CTR	3.36610638848274	0.798130901276628	30	13	0.000233934282306098	0.0793037217017671
Lachnospira_eligens	Group	CTR	3.8792234934231	1.14876936256559	30	21	0.00216805449127985	0.367485236271934
Akkermansia_muciniphila	Group	CTR	2.7495720774072	0.914780532550711	30	12	0.00553846996608553	0.469385329625748
GGB9512_SGB14909	Group	CTR	3.08407486514316	1.00235354625692	30	7	0.00464088697846399	0.469385329625748
Phocaeicola_vulgatus	Group	CTR	1.73949568820231	1.61460493513372	30	27	0.290518482545487	0.767163372427101
GGB3277_SGB4327	Group	CTR	0.718824572729944	0.55412031862452	30	3	0.205137554623307	0.767163372427101
Enterocloster_SGB14313	Group	CTR	0.438909359885673	0.382001794900821	30	3	0.260288223826154	0.767163372427101
Roseburia_inulinivorans	Group	CTR	-1.91203954233509	1.70618483354375	30	24	0.271956173226822	0.767163372427101
Eubacterium_SGB6276	Group	CTR	-0.924718495660745	0.522364851828948	30	9	0.0875740029759084	0.767163372427101
Clostridium_SGB4648	Group	CTR	1.2894862811196	0.852107242985489	30	9	0.141412577669602	0.767163372427101
Eubacterium_ventriosum	Group	CTR	0.944920139200423	0.652523733173139	30	9	0.158694877615085	0.767163372427101
Dorea_longicatena	Group	CTR	2.08676795429867	1.83804794899075	30	21	0.265867600264157	0.767163372427101
Parabacteroides_distasonis	Group	CTR	1.57479101587347	0.844562863122102	30	26	0.0727485507708991	0.767163372427101
Bacteroides_faecis	Group	CTR	0.874769104307932	0.807796066916781	30	14	0.288086906749916	0.767163372427101
Barnesiella_intestinihominis	Group	CTR	1.01306072718712	0.998106760982681	30	22	0.318805042942218	0.767163372427101
GGB3746_SGB5089	Group	CTR	2.55389729426848	1.53739810910458	30	18	0.107835341190507	0.767163372427101
Intestinibacter_bartlettii	Group	CTR	0.445073746498727	0.379516120290943	30	2	0.250781020558299	0.767163372427101
Ruminococcus_torques	Group	CTR	1.85510587462851	1.29672834406615	30	26	0.163609606753796	0.767163372427101
GGB9342_SGB14306	Group	CTR	1.98163138487851	1.13501787488167	30	10	0.0917930880730058	0.767163372427101
Dorea_formicigenerans	Group	CTR	2.7689610106509	1.12275817707608	30	19	0.0200423470637383	0.767163372427101
Faecalibacillus_intestinalis	Group	CTR	1.69626877226602	1.07761994741861	30	6	0.126699997458408	0.767163372427101
GGB3612_SGB4882	Group	CTR	-0.0666666666666679	0.0666666666666666	30	1	0.325874706871652	0.767163372427101
Blautia_wexlerae	Group	CTR	2.14892500875582	1.40789818743507	30	21	0.138144268240139	0.767163372427101
Eubacteriaceae_bacterium	Group	CTR	-1.25868738297962	0.858797917704145	30	5	0.153887335779388	0.767163372427101
Clostridiaceae_bacterium	Group	CTR	2.70471612701667	1.32279240478933	30	25	0.0503881817410284	0.767163372427101
Faecalicatena_fissicatena	Group	CTR	1.98702977761722	1.75717108894075	30	16	0.267727589971915	0.767163372427101
GGB51269_SGB5062	Group	CTR	0.86049210369698	0.66328409982973	30	4	0.205108711706169	0.767163372427101
Blautia_sp_Marseille_P3087	Group	CTR	-1.41211984746728	1.2434516483765	30	9	0.265732694679263	0.767163372427101
Butyricimonas_virosa	Group	CTR	-1.04185146045994	0.745205229587299	30	14	0.1730686677057	0.767163372427101
Streptococcus_thermophilus	Group	CTR	1.93400068075371	1.13212477435431	30	11	0.0986471254082741	0.767163372427101
Bacteroides_stercoris	Group	CTR	-2.89746824646672	1.26127824104857	30	12	0.0292895300091751	0.767163372427101
Blautia_faecis	Group	CTR	2.83153836185287	1.31835687654684	30	26	0.0405302498400765	0.767163372427101
Blautia_obeum	Group	CTR	1.87545738641117	1.30360875632763	30	19	0.161330392761957	0.767163372427101
Anaerostipes_hadrus	Group	CTR	2.06419898684817	1.42204950383488	30	19	0.157735539670068	0.767163372427101
Anaerobutyricum_hallii	Group	CTR	2.46965285564373	1.75316502145575	30	14	0.169937570943359	0.767163372427101
Clostridium_fessum	Group	CTR	1.9812874851292	0.94618039647749	30	24	0.0454369505492874	0.767163372427101
Eubacterium_sp_AF16_48	Group	CTR	0.0666666666666673	0.0666666666666667	30	1	0.325874706871656	0.767163372427101
Lachnospiraceae_bacterium_BX3	Group	CTR	1.55939042690705	0.895410947735157	30	4	0.0925676949862379	0.767163372427101
Bacteroides_clarus	Group	CTR	1.9713946926513	1.0934857075471	30	12	0.0821848007405845	0.767163372427101
Blautia_SGB4815	Group	CTR	2.16921637174245	0.836476157477326	30	6	0.014948680905073	0.767163372427101
