"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Prevotella_copri_clade_A|Prevotella_copri_clade_A" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Prevotella_copri_clade_A|Prevotella_copri_clade_A" "LEfSe" "ADA" 4.53211117249331 0.0165942556304858 0.0165942556304858 "*"
"NA|NA|NA|NA|NA|NA|Akkermansia_muciniphila|Akkermansia_muciniphila" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Akkermansia_muciniphila|Akkermansia_muciniphila" "LEfSe" "CTR" 4.12879315598249 0.0107001706270992 0.0107001706270992 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_stercoris|Bacteroides_stercoris" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_stercoris|Bacteroides_stercoris" "LEfSe" "ADA" 4.11773916422497 0.0440332971692491 0.0440332971692491 "*"
"NA|NA|NA|NA|NA|NA|GGB1495_SGB2071|GGB1495_SGB2071" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB1495_SGB2071|GGB1495_SGB2071" "LEfSe" "ADA" 3.92766798797965 0.0352479979351389 0.0352479979351389 "*"
"NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "LEfSe" "CTR" 3.40426240907764 0.0192474291768132 0.0192474291768132 "*"
"NA|NA|NA|NA|NA|NA|Blautia_faecis|Blautia_faecis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_faecis|Blautia_faecis" "LEfSe" "CTR" 3.26810547393673 0.0341972263704098 0.0341972263704098 "*"
"NA|NA|NA|NA|NA|NA|Dorea_formicigenerans|Dorea_formicigenerans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Dorea_formicigenerans|Dorea_formicigenerans" "LEfSe" "CTR" 3.14258917042595 0.0352624551841184 0.0352624551841184 "*"
"NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium|Clostridiaceae_bacterium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium|Clostridiaceae_bacterium" "LEfSe" "CTR" 3.14249837600672 0.0150205504337755 0.0150205504337755 "*"
"NA|NA|NA|NA|NA|NA|Lachnospira_eligens|Lachnospira_eligens" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Lachnospira_eligens|Lachnospira_eligens" "LEfSe" "CTR" 3.13874552429537 0.00200045300171726 0.00200045300171726 "**"
"NA|NA|NA|NA|NA|NA|Alistipes_dispar|Alistipes_dispar" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_dispar|Alistipes_dispar" "LEfSe" "ADA" 2.86820948507023 0.00756190949845746 0.00756190949845746 "**"
"NA|NA|NA|NA|NA|NA|Evtepia_gabavorous|Evtepia_gabavorous" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Evtepia_gabavorous|Evtepia_gabavorous" "LEfSe" "CTR" 2.76195811930093 0.00104501895156755 0.00104501895156755 "**"
"NA|NA|NA|NA|NA|NA|GGB9512_SGB14909|GGB9512_SGB14909" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9512_SGB14909|GGB9512_SGB14909" "LEfSe" "ADA" 2.73254725856691 0.00331387126108606 0.00331387126108606 "**"
"NA|NA|NA|NA|NA|NA|Butyricimonas_faecihominis|Butyricimonas_faecihominis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Butyricimonas_faecihominis|Butyricimonas_faecihominis" "LEfSe" "ADA" 2.72253289905141 0.0367562741658473 0.0367562741658473 "*"
"NA|NA|NA|NA|NA|NA|Blautia_SGB4815|Blautia_SGB4815" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_SGB4815|Blautia_SGB4815" "LEfSe" "ADA" 2.67995946521991 0.00756190949845746 0.00756190949845746 "**"
"NA|NA|NA|NA|NA|NA|GGB9616_SGB15051|GGB9616_SGB15051" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9616_SGB15051|GGB9616_SGB15051" "LEfSe" "ADA" 2.59910343166971 0.0165942556304858 0.0165942556304858 "*"
"NA|NA|NA|NA|NA|NA|Lachnospiraceae_bacterium_BX3|Lachnospiraceae_bacterium_BX3" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Lachnospiraceae_bacterium_BX3|Lachnospiraceae_bacterium_BX3" "LEfSe" "ADA" 2.54605919206758 0.0352479979351389 0.0352479979351389 "*"
"NA|NA|NA|NA|NA|NA|Ruminococcus_sp_AF41_9|Ruminococcus_sp_AF41_9" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_sp_AF41_9|Ruminococcus_sp_AF41_9" "LEfSe" "ADA" 2.41309927290993 0.0165942556304858 0.0165942556304858 "*"
"NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "LEfSe" "CTR" 2.36488638112726 0.0174765992218216 0.0174765992218216 "*"
"NA|NA|NA|NA|NA|NA|GGB3819_SGB5184|GGB3819_SGB5184" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3819_SGB5184|GGB3819_SGB5184" "LEfSe" "ADA" 2.35445145309509 0.0165942556304858 0.0165942556304858 "*"
"NA|NA|NA|NA|NA|NA|Clostridiales_Family_XIII_bacterium_BX16|Clostridiales_Family_XIII_bacterium_BX16" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiales_Family_XIII_bacterium_BX16|Clostridiales_Family_XIII_bacterium_BX16" "LEfSe" "ADA" 2.31642234236674 0.0382788375348702 0.0382788375348702 "*"
"NA|NA|NA|NA|NA|NA|Desulfovibrio_SGB5076|Desulfovibrio_SGB5076" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Desulfovibrio_SGB5076|Desulfovibrio_SGB5076" "LEfSe" "ADA" 2.27385560175001 0.0352479979351389 0.0352479979351389 "*"
"NA|NA|NA|NA|NA|NA|Veillonella_atypica|Veillonella_atypica" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Veillonella_atypica|Veillonella_atypica" "LEfSe" "ADA" 1.6877029079034 0.0352479979351389 0.0352479979351389 "*"
