feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Phascolarctobacterium_succinatutens	Group	CTR	-2.87929523888055	0.686274898430216	91	26	6.42414858242921e-05	0.0226772444959751
Prevotella_copri_clade_A	Group	CTR	-4.72843274093819	1.34867981695951	91	20	0.00071491122026495	0.126181830376764
Eubacterium_SGB6276	Group	CTR	-0.833970283403432	0.253116979220151	91	7	0.0014149743522559	0.159418790425382
Butyricicoccus_sp_AM29_23AC	Group	CTR	-1.67081067962074	0.558900108938006	91	17	0.00361289043456955	0.159418790425382
GGB14025_SGB14906	Group	CTR	-1.95652613262289	0.641099618925591	91	19	0.00299804782862907	0.159418790425382
GGB4578_SGB6328	Group	CTR	-0.889550877082473	0.29374595633704	91	4	0.00321761348726732	0.159418790425382
GGB9619_SGB15067	Group	CTR	-3.0309695543786	0.987015738200472	91	40	0.00283085845384709	0.159418790425382
Ruminococcus_gnavus	Group	CTR	3.45914027535087	1.12949879326829	91	72	0.00290272768625411	0.159418790425382
Vescimonas_coprocola	Group	CTR	-3.43460222066793	1.17164181668913	91	54	0.00428762254780805	0.168170084375138
Phascolarctobacterium_faecium	Group	CTR	3.8954307413308	1.39453178644497	91	43	0.0063861768518706	0.225432042871032
Erysipelatoclostridium_ramosum	Group	CTR	3.40357950085765	1.23373339900812	91	59	0.00704220872847594	0.225990880104728
