feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalibacillus_intestinalis	Group	CTR	1.11210874273396	0.0349560421143718	14	2	5.86651118810017e-13	1.51942639771795e-10
Clostridium_sp_AF27_2AA	Group	CTR	1.72813281870648	0.227035294972137	14	2	6.23363852658179e-06	0.000807256189192342
Clostridium_sp_AF20_17LB	Group	CTR	2.72283414999763	0.61961273662418	14	3	0.000873914217773864	0.0754479274678103
GGB3612_SGB4882	Group	CTR	0.5	0.155902391115581	14	1	0.00753214711105677	0.177347827433068
Staphylococcus_SGB6340	Group	CTR	0.5	0.155902391115581	14	1	0.00753214711105677	0.177347827433068
GGB2653_SGB3574	Group	CTR	0.5	0.155902391115581	14	1	0.00753214711105677	0.177347827433068
Hydrogenoanaerobacterium_saccharovorans	Group	CTR	5.48843516491262	1.56101488602514	14	4	0.00425511214090213	0.177347827433068
GGB9619_SGB15067	Group	CTR	0.499999999999998	0.155902391115581	14	1	0.00753214711105693	0.177347827433068
GGB9453_SGB14845	Group	CTR	0.5	0.155902391115581	14	1	0.00753214711105679	0.177347827433068
Eubacterium_sp_AF34_35BH	Group	CTR	0.5	0.155902391115581	14	1	0.00753214711105683	0.177347827433068
Vescimonas_SGB15087	Group	CTR	0.5	0.155902391115581	14	1	0.00753214711105676	0.177347827433068
Lachnospiraceae_bacterium	Group	CTR	3.95418866820938	1.27649379118873	14	2	0.00922943255870067	0.189692521931532
Mesosutterella_multiformis	Group	CTR	3.55799826146388	1.15484128188088	14	2	0.00952124627455568	0.189692521931532
Roseburia_intestinalis	Group	CTR	4.60295654084094	1.5518366590882	14	9	0.0117855342675715	0.218032383950072
Bacteroides_xylanisolvens	Group	CTR	6.47165743645115	2.30559166911125	14	5	0.0158390584200411	0.273487742052709
Butyricicoccus_sp_AM29_23AC	Group	CTR	1.17831525181766	0.446446360474517	14	2	0.0216008145851011	0.349663186096324
Faecalibacterium_SGB15346	Group	CTR	5.04374903444803	1.99635194672125	14	7	0.0265906749477533	0.405116753615771
Parabacteroides_distasonis	Group	CTR	2.16745816813659	0.935319893480437	14	12	0.0389543035519977	0.560509145553745
Bacteroides_cellulosilyticus	Group	CTR	6.76385285725975	3.0579141927818	14	7	0.0471178963123788	0.642291323416112
Clostridium_leptum	Group	CTR	1.26824545194935	0.590390052841845	14	5	0.0528175656823716	0.683987475586712
Collinsella_SGB14861	Group	CTR	4.91141524939946	2.34622449096743	14	7	0.0582305893927218	0.718177269176902
Collinsella_aerofaciens	Group	CTR	-2.22630157856117	1.09719504346536	14	10	0.0652335086864542	0.755073377228902
Bacteroides_fragilis	Group	CTR	5.49770824666346	2.73049466764048	14	6	0.0670528481709064	0.755073377228902
GGB3746_SGB5089	Group	CTR	3.69169170707663	1.89003823581677	14	3	0.07450624217453	0.782576785041802
Klebsiella_pneumoniae	Group	CTR	0.571178131101545	0.293613269191668	14	2	0.0755382997144597	0.782576785041802
Ruminococcus_bromii	Group	CTR	-1.78174832943267	1.49976430209563	14	7	0.257808066722261	0.784779648940248
Coprococcus_eutactus	Group	CTR	-1.21881208581632	1.9223326164491	14	3	0.537961418254551	0.784779648940248
Dialister_invisus	Group	CTR	-0.993886155243038	1.2109884992124	14	4	0.427807359626043	0.784779648940248
