"","SRR13836064","SRR13836061","SRR13836096","SRR13836086","SRR13836068","SRR13836072","SRR13836094","SRR13836071","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147"
"Ruminococcus_bromii",0.0543669828615486,0.000150311379241635,0,0,0.000165720046216881,0.00291185982512243,0,0.223921686764653,0.0174486345547543,0.000209545077847324,0.0139992508663041,4.66712314281245e-05,0.00564275974689194,0,0.0029149413997854,8.19577884178394e-05,0.000353772082130744
"Coprococcus_eutactus",0.003609646960443,0.0196845079858318,0,0,0.00218416326918047,0,0,0,0.0326939002062495,0,0.000860944051847216,0,0.134628936767596,0.0729984370118578,0,0,0.0263560669243934
"Dialister_invisus",0,0,0.00209669095711076,0.0153490119450937,0,0,0.00016733519611365,0.00524774130579572,0,4.80145644838707e-06,0.0535889694597585,0,0.0519932299743114,0.000474192557387624,0.0351672934085501,0.0422039860114496,9.68589806313938e-05
"Eubacterium_rectale",0.0413808802452275,0.0293148699385245,0,0.0637091037596308,0.211755347695259,0.00262807149131827,0,0.0457761507609944,0.0434872783162187,9.948293465549e-05,0.00684365337798123,0,0.00533692636882716,0,0.0028831206760225,0,0.0100558640676727
"Phocaeicola_vulgatus",0.181153358509218,0.00562235453535697,0.00242821985005853,0.197855430040384,0.0768374146626123,0.00591955597845494,0.0155788461487371,0.022068789206337,0.0777274175828744,0.00359869479224955,1.97086326070362,0.390774058184099,0.247406694061425,0.662062424569904,0.396474930612149,0.993797144731366,0.0319419406820852
"Bacteroides_uniformis",0.0675271209962566,0.00884668134194119,0.00169814804472523,0.278647581568549,0.106798412617115,0.0426913611641682,1.35522958508397,0.0342267237111673,0.478930054593737,0.135097481801816,0.0923153062914754,0.276784046041836,3.27025904439831,0.116659434906125,0.129187905903524,0.0366909327612203,0.310037985965899
"GGB3619_SGB4894",0,0.0038395594238271,0,0,0,0,0,0,0.00256759449227311,0,0,0,0.00805714860033776,0.0146621273066394,0,0,0.00885402948991149
"Bacteroides_cellulosilyticus",7.39089059163106e-05,0.000843866725514858,0,0,0.000475643599335693,7.9659161298442e-05,2.93582031192217e-05,0.0267938584837109,0.0241788315099455,6.44890140607238e-05,0.000858109755201084,0,7.1725086247858e-05,0.0669143178453597,0.0598511862876339,0,0.0102077980723015
"Phocaeicola_massiliensis",0.043968539536196,0.00358072604729986,0,0.000310099632135972,0.00107054898504329,0.000944969813071182,0,0.016598507228243,0.000209409133841831,0.0001235972021417,0.336731897240254,0.000281958453808748,0,0.000679093896261811,0.00143888550455332,0.000914403076541008,0.0113756315640019
"GGB4684_SGB6478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221206911542783
"Clostridium_sp_1001270H_150608_G6",0.000731165449420861,0,0,0,0,0.000288652593610844,0,0.188835972185999,0.0385020475752064,0,0.000412133265653841,0,0.00224442490316663,0,0,0,0.0751208912415781
"Akkermansia_muciniphila",0.15872136138412,0.00237975971427477,1.06260964970945e-05,0.000119923637271927,0.0499115738943119,0,0.000264604588489911,0.000188129220817574,0.119945825435281,0.00152976728171752,0.00465342163585035,0,0.00794351130644956,0,0.00149503890160749,0,0
"GGB3277_SGB4327",0,4.03755466377919e-05,0,0,0.000240631664688146,0.00100893660800573,0,0.820432306134778,0,0,0,0,0,0.382381348756293,0,0,0.00352773762896047
"Alistipes_putredinis",0.235025802931945,0.0078994419078835,0.000739869745909732,0.00532182476982122,0.240130953342759,0.0497846517255151,0.00435262316466252,0.0804113164757489,0.0913048719628198,0.0069017260145981,0.519349802376196,0.209282242737906,0.00797445405442829,0.391636023924641,0.128680868289725,0.00387741165247391,0.864871816049075
"Enterocloster_SGB14313",0,0.00214621624429366,0,0,0,0,0,0,0.00418220635133835,0,0,0,0,0,0,0,0.0353630162015385
"GGB9758_SGB15368",0.00195728057367523,0.00312543810401757,0,0,0,0,0.000144977843889118,0,0.0679313136371379,0,0.0046200897228074,0,0.0377787345367212,0,0.000731052981131117,0.000468264181975759,0.0709186044332509
"Roseburia_inulinivorans",0.0144729849803786,0.00601769369731968,0,0.0105344222916943,0.0189216808368699,0,0,0.00125343530754565,0.00467815657933091,2.32419305581994e-05,0.0269269897092686,0.00240279248728377,0.0173065518936701,0.0238339251591821,0.00238642757576349,0.0534448959160016,0.0011455380565447
