"","Study","Group","Sample_ID"
"SRR13836064","CHN_SH-CRC-2","ADA","SRR13836064"
"SRR13836061","CHN_SH-CRC-2","ADA","SRR13836061"
"SRR13836096","CHN_SH-CRC-2","ADA","SRR13836096"
"SRR13836086","CHN_SH-CRC-2","ADA","SRR13836086"
"SRR13836068","CHN_SH-CRC-2","ADA","SRR13836068"
"SRR13836072","CHN_SH-CRC-2","ADA","SRR13836072"
"SRR13836094","CHN_SH-CRC-2","ADA","SRR13836094"
"SRR13836071","CHN_SH-CRC-2","ADA","SRR13836071"
"SRR13836174","CHN_SH-CRC-2","CTR","SRR13836174"
"SRR13836161","CHN_SH-CRC-2","CTR","SRR13836161"
"SRR13836175","CHN_SH-CRC-2","CTR","SRR13836175"
"SRR13836156","CHN_SH-CRC-2","CTR","SRR13836156"
"SRR13836177","CHN_SH-CRC-2","CTR","SRR13836177"
"SRR13836164","CHN_SH-CRC-2","CTR","SRR13836164"
"SRR13836138","CHN_SH-CRC-2","CTR","SRR13836138"
"SRR13836131","CHN_SH-CRC-2","CTR","SRR13836131"
"SRR13836147","CHN_SH-CRC-2","CTR","SRR13836147"
