feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ruminococcus_bicirculans	Group	CTR	4.44499963212139	1.2283649584908	47	28	0.000746758969140179	0.256138326415081
Clostridium_sp_AM22_11AC	Group	CTR	3.58472652050082	1.14974095004282	47	36	0.00317217056729261	0.544027252290682
GGB9707_SGB15229	Group	CTR	2.46387602509771	0.853094880384585	47	24	0.00593812378070181	0.678925485593574
Ruminococcus_bromii	Group	CTR	2.25854050857794	1.9061075448532	47	24	0.242278434389956	0.755046382147218
Coprococcus_eutactus	Group	CTR	2.28497741542604	1.14794875305597	47	27	0.0526318953494556	0.755046382147218
Eubacterium_rectale	Group	CTR	2.22920103232085	1.66108322294391	47	37	0.186323045944613	0.755046382147218
Bacteroides_cellulosilyticus	Group	CTR	2.12180170155007	1.31103983224309	47	30	0.112562762725498	0.755046382147218
GGB3277_SGB4327	Group	CTR	0.703003288576677	0.511319796078774	47	12	0.175976177630954	0.755046382147218
Alistipes_putredinis	Group	CTR	3.45860036511049	1.64883204122074	47	34	0.0415879770395125	0.755046382147218
GGB9758_SGB15368	Group	CTR	3.43713242609195	1.40968292354678	47	19	0.0187711894645771	0.755046382147218
Bacteroides_xylanisolvens	Group	CTR	1.41422757906424	1.02464646206216	47	40	0.174340466489829	0.755046382147218
Clostridium_sp_AM49_4BH	Group	CTR	1.63163174850354	1.52752421931423	47	18	0.291147650888657	0.755046382147218
Paraprevotella_clara	Group	CTR	-1.76514702212024	1.31919658497315	47	19	0.187603649361847	0.755046382147218
Faecalibacterium_prausnitzii	Group	CTR	1.2608302866749	0.635409572045285	47	47	0.0533432640596246	0.755046382147218
Barnesiella_intestinihominis	Group	CTR	1.12529608783575	0.768894290077726	47	25	0.150274403049084	0.755046382147218
GGB3746_SGB5089	Group	CTR	2.63770416932754	1.40321393919235	47	29	0.0666247120064999	0.755046382147218
Desulfovibrio_SGB5077	Group	CTR	-1.27270632083868	0.921614587725123	47	12	0.174113523016419	0.755046382147218
Bacteroides_ovatus	Group	CTR	1.45375290679076	0.900411505578601	47	44	0.113400820437137	0.755046382147218
Lachnospiraceae_bacterium	Group	CTR	1.88487134298297	1.08999498954373	47	25	0.0906202017896239	0.755046382147218
Faecalibacillus_intestinalis	Group	CTR	1.595758738054	1.20022830154716	47	35	0.190368754773944	0.755046382147218
Blautia_wexlerae	Group	CTR	0.962388508109641	0.749351324695841	47	45	0.205611332658059	0.755046382147218
Staphylococcus_SGB6340	Group	CTR	1.77458904343591	1.31381129124586	47	10	0.183539074239572	0.755046382147218
Phascolarctobacterium_faecium	Group	CTR	1.36434990981521	1.17471566195129	47	31	0.251590799722228	0.755046382147218
Clostridiaceae_bacterium	Group	CTR	2.02439501045419	1.25783743509393	47	40	0.114517312208588	0.755046382147218
Blautia_sp_Marseille_P3087	Group	CTR	1.93992489634405	1.04709403441857	47	30	0.0704941801225457	0.755046382147218
Escherichia_coli	Group	CTR	-2.27974581369137	1.55592411549233	47	44	0.149817854891851	0.755046382147218
Clostridiales_bacterium_KLE1615	Group	CTR	1.16860420206189	0.880630782155336	47	43	0.191200230546245	0.755046382147218
GGB9512_SGB14909	Group	CTR	0.433808808379577	0.341298722170861	47	7	0.210241027781439	0.755046382147218
Coprobacter_secundus	Group	CTR	0.529389178440065	0.500528359710308	47	11	0.295854982059698	0.755046382147218
Lachnospiraceae_bacterium_AM48_27BH	Group	CTR	1.61071898769605	0.92978412389742	47	32	0.0900597085961016	0.755046382147218
Blautia_sp_MSK_20_85	Group	CTR	1.17778619224869	0.645887067957629	47	15	0.0748711975963505	0.755046382147218
Bacteroides_salyersiae	Group	CTR	1.52264099210694	0.993060549427686	47	22	0.132207761350617	0.755046382147218
Anaerobutyricum_hallii	Group	CTR	1.85923298070346	0.933850478732544	47	40	0.052581229000955	0.755046382147218
Clostridium_fessum	Group	CTR	1.92002054997942	0.796318411295786	47	40	0.0200481853001137	0.755046382147218
Bacteroides_clarus	Group	CTR	1.62552922021004	0.88514572695718	47	10	0.0729016788605318	0.755046382147218
Roseburia_hominis	Group	CTR	1.56658339739201	1.23461562419186	47	33	0.211006935727702	0.755046382147218
Parasutterella_excrementihominis	Group	CTR	2.36813782688214	1.67855918655736	47	37	0.165175011838934	0.755046382147218
GGB9712_SGB15244	Group	CTR	-0.666039543020712	0.489819562234092	47	9	0.180678668504044	0.755046382147218
Clostridium_sp_AF20_17LB	Group	CTR	1.89495553711859	1.65136097501823	47	34	0.257234611813386	0.755046382147218
Clostridiaceae_bacterium_AF18_31LB	Group	CTR	1.30324198701969	0.763329825859248	47	38	0.0946560278375548	0.755046382147218
Collinsella_SGB14861	Group	CTR	1.78375697414189	1.36419061416836	47	22	0.19766486475663	0.755046382147218
Clostridium_sp_AF36_4	Group	CTR	1.28292838460498	1.11312483473164	47	21	0.255182441783679	0.755046382147218
Dysosmobacter_sp_BX15	Group	CTR	1.93489511481545	1.27997227253687	47	33	0.137609337102556	0.755046382147218
Coprobacter_fastidiosus	Group	CTR	1.08214028683307	0.835558754988594	47	13	0.201887654725963	0.755046382147218
Faecalibacterium_SGB15346	Group	CTR	1.046783110579	0.885808718703805	47	39	0.243521857936364	0.755046382147218
Clostridium_sp_AF34_13	Group	CTR	1.63921441026715	0.942545357330389	47	10	0.0888482984661075	0.755046382147218
Eubacterium_ramulus	Group	CTR	0.996058222173651	0.889703508878785	47	37	0.268850211569865	0.755046382147218
Alistipes_shahii	Group	CTR	2.42722521294438	1.10971758606457	47	35	0.0339616193395776	0.755046382147218
GGB80011_SGB15267	Group	CTR	-0.857432467475621	0.797913894224743	47	12	0.288285417273484	0.755046382147218
GGB9767_SGB15385	Group	CTR	-0.766264065862835	0.542250838809175	47	9	0.164501208177991	0.755046382147218
Blautia_massiliensis	Group	CTR	2.36044703562613	0.880595504697223	47	40	0.0102360076388051	0.755046382147218
GGB14025_SGB14906	Group	CTR	0.180113631452781	0.0861285813027625	47	2	0.042184740716234	0.755046382147218
Lacrimispora_amygdalina	Group	CTR	1.06980485813065	0.941624982680112	47	36	0.261918246345919	0.755046382147218
Agathobaculum_butyriciproducens	Group	CTR	1.29941921550939	0.932142652750105	47	41	0.170159381650532	0.755046382147218
Alistipes_onderdonkii	Group	CTR	0.988456586540181	0.740176452650976	47	28	0.188450386802603	0.755046382147218
GGB33469_SGB15236	Group	CTR	-1.15470806877876	0.951725934453683	47	13	0.231353876002697	0.755046382147218
GGB9713_SGB15249	Group	CTR	1.38278466753877	1.06256663281234	47	21	0.199757858746165	0.755046382147218
GGB9602_SGB15031	Group	CTR	1.65875398759212	1.27066952767197	47	22	0.198385972159412	0.755046382147218
Dorea_sp_AF36_15AT	Group	CTR	1.4014287153095	0.909319435549405	47	28	0.130275384300549	0.755046382147218
GGB9559_SGB14969	Group	CTR	-0.565258341987925	0.346097421483976	47	7	0.109398090626133	0.755046382147218
Lachnospiraceae_bacterium_Marseille_Q4251	Group	CTR	1.96194253679478	1.07662130862447	47	28	0.0750565786405668	0.755046382147218
Bifidobacterium_longum	Group	CTR	-2.17949284695504	1.42559829551683	47	38	0.133306967472017	0.755046382147218
GGB9760_SGB15374	Group	CTR	-1.19863134536382	1.06211960940954	47	13	0.265077867507903	0.755046382147218
Butyricimonas_paravirosa	Group	CTR	0.724945859367271	0.287767549598248	47	7	0.0153828202916805	0.755046382147218
Alistipes_communis	Group	CTR	1.34358356517808	0.889800786590511	47	22	0.138038309367469	0.755046382147218
Collinsella_aerofaciens	Group	CTR	1.18591643671522	0.897258885121821	47	32	0.192944788536904	0.755046382147218
Bacteroides_thetaiotaomicron	Group	CTR	1.18330665558748	1.10037697128619	47	45	0.287943505647363	0.755046382147218
GGB9642_SGB15119	Group	CTR	-0.642187922646792	0.386268687462586	47	6	0.103355255650185	0.755046382147218
Senegalimassilia_anaerobia	Group	CTR	0.820620448904594	0.703831504560959	47	10	0.24978405739976	0.755046382147218
Holdemanella_biformis	Group	CTR	-0.222923593589116	0.204133888234712	47	3	0.280625195835393	0.755046382147218
GGB9759_SGB15370	Group	CTR	1.26311647447724	0.701308697679567	47	13	0.0783928422262458	0.755046382147218
Alistipes_senegalensis	Group	CTR	0.825227807507202	0.764437806092765	47	11	0.28610712079856	0.755046382147218
Desulfovibrio_SGB5076	Group	CTR	1.09303475472601	0.78140477686909	47	8	0.168725502030433	0.755046382147218
Ruminococcus_sp_AF41_9	Group	CTR	0.937590879301671	0.443517402942064	47	5	0.0400912388354554	0.755046382147218
GGB9627_SGB15081	Group	CTR	2.07359009876198	1.02108893729748	47	16	0.0482126145033534	0.755046382147218
GGB80011_SGB15265	Group	CTR	1.15718218438464	0.976511858664915	47	18	0.242231731568118	0.755046382147218
Gemmiger_SGB15299	Group	CTR	-1.57781692159603	0.662279863046449	47	11	0.0214860333560452	0.755046382147218
GGB9614_SGB15049	Group	CTR	1.57405369174422	0.819321787087474	47	27	0.0610590165167389	0.755046382147218
Rheinheimera_SGB14999	Group	CTR	1.68489738128883	1.07505574008252	47	36	0.12405861743363	0.755046382147218
Vescimonas_coprocola	Group	CTR	2.39974644788416	1.94100576457915	47	31	0.22274592875676	0.755046382147218
Anaerotruncus_colihominis	Group	CTR	1.63120230410279	1.2214089740712	47	18	0.188426050528693	0.755046382147218
Veillonella_parvula	Group	CTR	-1.62747140542159	1.22198707201359	47	31	0.189624849369709	0.755046382147218
Faecalibacterium_SGB15315	Group	CTR	-0.357893928784249	0.335207762393721	47	3	0.291360265136119	0.755046382147218
Clostridium_leptum	Group	CTR	1.30257467020592	1.16027138614133	47	21	0.267541889926979	0.755046382147218
GGB3278_SGB4328	Group	CTR	1.18406833014903	0.999243677419764	47	8	0.242251872806961	0.755046382147218
GGB3304_SGB4367	Group	CTR	-0.735588232073428	0.594696380535107	47	8	0.222535430355787	0.755046382147218
Phocaeicola_plebeius	Group	CTR	-1.99913692485978	1.83630468484475	47	20	0.282093974454479	0.755046382147218
Anaerobutyricum_soehngenii	Group	CTR	-1.55503179795966	1.08595125152829	47	33	0.159066830583134	0.755046382147218
