feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Akkermansia_muciniphila	Group	CTR	4.09245309882943	0.99581978868321	33	13	0.000269098507574896	0.088461547959501
Clostridium_sp_AM22_11AC	Group	CTR	4.53037695541325	1.25043427292996	33	25	0.00102862265069187	0.088461547959501
Clostridiales_Family_XIII_bacterium_BX16	Group	CTR	2.29476107568992	0.606962672071934	33	9	0.000669277953515169	0.088461547959501
Dorea_sp_AF36_15AT	Group	CTR	3.21188765368607	0.873930126439365	33	14	0.000892772896806998	0.088461547959501
Dorea_formicigenerans	Group	CTR	3.74465590537584	1.11015133529668	33	20	0.00200953117515456	0.138255744850634
Clostridium_SGB4648	Group	CTR	2.38919081712659	0.750233977247947	33	9	0.00329400697368231	0.188856399824452
Clostridium_fessum	Group	CTR	3.22008890377715	1.04977602663891	33	25	0.00445474099193444	0.191553862653181
Evtepia_gabavorous	Group	CTR	2.61087991913485	0.847200787011501	33	14	0.00429390867089267	0.191553862653181
Romboutsia_timonensis	Group	CTR	1.81660111083094	0.61055247074775	33	5	0.00562927733960103	0.193647140482275
GGB34797_SGB14322	Group	CTR	2.35230681432585	0.786029015726776	33	9	0.00538819756373221	0.193647140482275
Anaerobutyricum_hallii	Group	CTR	4.85534885635245	1.66685225053885	33	17	0.00658679873702189	0.204532415987689
Blautia_massiliensis	Group	CTR	5.54065722943757	1.92324225678502	33	15	0.00713485172050078	0.204532415987689
