feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroides_faecis	Group	CTR	7.36796228860928	1.38335507839129	30	6	1.13768009033723e-05	0.00397050351527692
Bacteroides_clarus	Group	CTR	7.74851419618263	1.62992999253405	30	13	5.4350448290284e-05	0.00948415322665457
Blautia_wexlerae	Group	CTR	-4.52314299431409	1.20774984793432	30	30	0.000828687754636192	0.0964040087893437
Blautia_faecis	Group	CTR	-4.63367416411458	1.37628408596324	30	30	0.00222484734356011	0.19411793072562
Bacteroides_xylanisolvens	Group	CTR	7.59077071384544	2.89683418002833	30	18	0.0140311879203724	0.634330667813804
Clostridium_sp_AM33_3	Group	CTR	7.15963565353434	2.74827992592486	30	15	0.0145405310673651	0.634330667813804
Desulfovibrio_SGB5076	Group	CTR	4.19769259251902	1.54524819657854	30	3	0.0111809297005391	0.634330667813804
Clostridium_sp_AT4	Group	CTR	2.37111285409703	0.870289988057588	30	4	0.0109701798140937	0.634330667813804
Blautia_SGB4815	Group	CTR	-4.58470287280569	1.88945909488297	30	24	0.0219378087380835	0.837987260200292
Anaerobutyricum_soehngenii	Group	CTR	-4.85854525608188	2.03589690770809	30	28	0.0240110962808106	0.837987260200292
GGB4684_SGB6478	Group	CTR	3.65050751908046	1.6275996622811	30	10	0.0330029323876053	0.850348391432099
GGB9635_SGB15106	Group	CTR	-6.60509927156087	3.04954065415012	30	19	0.0389844534753971	0.850348391432099
Anaerostipes_hadrus	Group	CTR	-2.1711245215642	0.998230543591853	30	30	0.0382345276557006	0.850348391432099
Dorea_sp_AF24_7LB	Group	CTR	-3.5228218927389	1.56911045920186	30	22	0.0328426585835781	0.850348391432099
GGB9614_SGB15049	Group	CTR	2.7511409119622	1.23498401864818	30	11	0.0341148462745179	0.850348391432099
Gemmiger_SGB15295	Group	CTR	2.90758914166633	1.28688936129745	30	8	0.0318323163254693	0.850348391432099
Clostridium_sp_AM49_4BH	Group	CTR	-4.79159500556907	2.2713078082316	30	18	0.0439590894814738	0.902454248766726
Ruminococcus_bromii	Group	CTR	-4.42987134685086	3.97289084544774	30	27	0.274318988891413	0.911968611258141
Coprococcus_eutactus	Group	CTR	-0.821845743625522	2.00783063608158	30	17	0.685419028287499	0.911968611258141
Dialister_invisus	Group	CTR	2.1943585226225	2.72395408500885	30	13	0.427274634205754	0.911968611258141
Eubacterium_rectale	Group	CTR	0.979854755051547	2.24473324042464	30	28	0.665812348456995	0.911968611258141
Phocaeicola_vulgatus	Group	CTR	1.62913087537969	2.17039535010232	30	30	0.459146445347539	0.911968611258141
Bacteroides_uniformis	Group	CTR	3.38715271118547	2.05954604260916	30	29	0.111232453057458	0.911968611258141
Bacteroides_cellulosilyticus	Group	CTR	-0.92116490628046	2.37754559722879	30	16	0.701357365373508	0.911968611258141
Phocaeicola_massiliensis	Group	CTR	-2.51393403091629	2.95485970682095	30	16	0.402109139982018	0.911968611258141
Clostridium_sp_1001270H_150608_G6	Group	CTR	2.31902415698649	2.36875004025793	30	12	0.335959884551569	0.911968611258141
Akkermansia_muciniphila	Group	CTR	-1.19268515252465	2.44097430755092	30	23	0.628922776659636	0.911968611258141
GGB3277_SGB4327	Group	CTR	1.50306851972631	2.77666289786252	30	8	0.592567119784083	0.911968611258141
