"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "LEfSe" "ADA" 4.44126233889461 0.0170796367829748 0.0170796367829748 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_uniformis|Bacteroides_uniformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_uniformis|Bacteroides_uniformis" "LEfSe" "CTR" 4.05167252313337 0.0170796367829748 0.0170796367829748 "*"
"NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "LEfSe" "ADA" 4.04242305658843 0.0294359369343825 0.0294359369343825 "*"
"NA|NA|NA|NA|NA|NA|GGB9635_SGB15106|GGB9635_SGB15106" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9635_SGB15106|GGB9635_SGB15106" "LEfSe" "ADA" 3.85629703602634 0.0433556298022044 0.0433556298022044 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_faecis|Bacteroides_faecis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_faecis|Bacteroides_faecis" "LEfSe" "CTR" 3.71437672786847 0.00020745367185733 0.00020745367185733 "***"
"NA|NA|NA|NA|NA|NA|Bacteroides_clarus|Bacteroides_clarus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_clarus|Bacteroides_clarus" "LEfSe" "CTR" 3.59897390450068 0.00254185975916004 0.00254185975916004 "**"
"NA|NA|NA|NA|NA|NA|Blautia_faecis|Blautia_faecis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_faecis|Blautia_faecis" "LEfSe" "ADA" 3.58922681137965 0.0349904893650391 0.0349904893650391 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_xylanisolvens|Bacteroides_xylanisolvens" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_xylanisolvens|Bacteroides_xylanisolvens" "LEfSe" "CTR" 3.43128382002868 0.0112086063529739 0.0112086063529739 "*"
"NA|NA|NA|NA|NA|NA|Anaerobutyricum_soehngenii|Anaerobutyricum_soehngenii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Anaerobutyricum_soehngenii|Anaerobutyricum_soehngenii" "LEfSe" "ADA" 3.34896033813117 0.0269383674813329 0.0269383674813329 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_fessum|Clostridium_fessum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_fessum|Clostridium_fessum" "LEfSe" "CTR" 3.14618955167036 0.0288063699758261 0.0288063699758261 "*"
"NA|NA|NA|NA|NA|NA|Dorea_sp_AF24_7LB|Dorea_sp_AF24_7LB" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Dorea_sp_AF24_7LB|Dorea_sp_AF24_7LB" "LEfSe" "ADA" 2.81371479053483 0.0467145179307236 0.0467145179307236 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AM33_3|Clostridium_sp_AM33_3" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AM33_3|Clostridium_sp_AM33_3" "LEfSe" "CTR" 2.74354183746116 0.00700042506998393 0.00700042506998393 "**"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AT4|Clostridium_sp_AT4" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AT4|Clostridium_sp_AT4" "LEfSe" "CTR" 2.40140980008091 0.004995397499543 0.004995397499543 "**"
