feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Phocaeicola_vulgatus	Group	CTR	1.95014439937859	0.927488221322083	46	46	0.0412556013585523	0.63359954685729
GGB3619_SGB4894	Group	CTR	2.7780959691147	1.34658448782851	46	23	0.0450377490259113	0.63359954685729
Dorea_longicatena	Group	CTR	-2.30310257071097	1.08361297475713	46	43	0.039205028975909	0.63359954685729
Clostridium_sp_AF12_28	Group	CTR	-1.31625168890279	0.641652922369878	46	14	0.0462157524465114	0.63359954685729
Phocaeicola_dorei	Group	CTR	-3.0856184558034	1.52203941213416	46	35	0.0487169843923699	0.63359954685729
Ruminococcus_bicirculans	Group	CTR	3.14981094589431	1.5272608629128	46	26	0.0451049797193562	0.63359954685729
GGB3614_SGB4886	Group	CTR	-2.52361691949854	1.34208527127653	46	14	0.0666874584685653	0.63359954685729
Clostridiaceae_bacterium	Group	CTR	1.21150253798081	0.584831601043079	46	46	0.0442027825064477	0.63359954685729
Candidatus_Cibionibacter_quicibialis	Group	CTR	-2.75204480201992	1.31987855276667	46	37	0.0428970654645248	0.63359954685729
Blautia_sp_MSK_20_85	Group	CTR	2.09809257353373	1.13481468551627	46	23	0.071206840871543	0.63359954685729
Clostridiaceae_unclassified_SGB4771	Group	CTR	1.97187772256186	1.01528334346312	46	20	0.0585318242831659	0.63359954685729
Collinsella_SGB14861	Group	CTR	-3.48724284460763	1.38391298571603	46	37	0.015444903631575	0.63359954685729
Coprobacter_fastidiosus	Group	CTR	1.91328107388107	0.888516018895751	46	24	0.0368119869692004	0.63359954685729
Butyricicoccus_sp_AM29_23AC	Group	CTR	-2.10507169384755	1.09184134897748	46	20	0.0603242715387122	0.63359954685729
Desulfovibrio_piger	Group	CTR	-2.89765105588381	1.45510875005624	46	18	0.0526717357968409	0.63359954685729
Blautia_luti	Group	CTR	-2.32210930498633	1.11237868134712	46	33	0.0426650236734719	0.63359954685729
GGB9602_SGB15028	Group	CTR	-2.02197059701862	1.10408750846719	46	14	0.0738243268681649	0.63359954685729
Ruminococcus_sp_AF41_9	Group	CTR	-0.921362640236527	0.497449650277333	46	12	0.0707173928344433	0.63359954685729
Gemmiger_SGB15295	Group	CTR	-2.36365530448369	1.03689977089514	46	16	0.0275390080183742	0.63359954685729
Phocaeicola_plebeius	Group	CTR	-1.97353087604934	0.956314225733263	46	14	0.0449765724013979	0.63359954685729
GGB51647_SGB4348	Group	CTR	-2.91253683500215	1.58622891363677	46	31	0.0730997091628473	0.63359954685729
Enterocloster_aldenensis	Group	CTR	2.93899780280544	1.13229259728702	46	19	0.0127843366855366	0.63359954685729
Enterocloster_bolteae	Group	CTR	2.61959123068432	1.30949084285127	46	30	0.0516444903498894	0.63359954685729
Clostridium_symbiosum	Group	CTR	1.86202678073961	1.01742988091312	46	15	0.0740102034790567	0.63359954685729
Eisenbergiella_tayi	Group	CTR	2.62474895533817	1.30483111203315	46	20	0.0504155581928384	0.63359954685729
Clostridium_scindens	Group	CTR	1.59533293528523	0.664109461766003	46	12	0.0205833654877186	0.63359954685729
Erysipelatoclostridium_ramosum	Group	CTR	3.26211628548	1.50776174381093	46	12	0.0359709740477071	0.63359954685729
Anaeromassilibacillus_sp_An250	Group	CTR	2.35513423709981	1.1680207846167	46	19	0.0498936153254479	0.63359954685729
