feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus_faecalis	Group	CTR	-1.12346928037414	0.249755061011176	451	46	8.74202483811205e-06	0.00309467679269167
Phocaeicola_vulgatus	Group	CTR	2.03085458238823	0.481272281234999	451	414	3.05689794305894e-05	0.00541070935921432
Streptococcus_thermophilus	Group	CTR	1.46349128648175	0.373774470672166	451	164	0.00010430667332171	0.0100831313418377
Megasphaera_micronuciformis	Group	CTR	-1.19150968292324	0.30599740064208	451	56	0.000113933687478392	0.0100831313418377
Clostridiaceae_bacterium	Group	CTR	1.35210090788306	0.355557870501099	451	402	0.000162879886289284	0.0115318959492813
Phascolarctobacterium_faecium	Group	CTR	2.19818617692569	0.605149859302262	451	227	0.000313181730267684	0.0180733925560415
Klebsiella_pneumoniae	Group	CTR	-1.22139367743303	0.339523558164425	451	124	0.000357383468622289	0.0180733925560415
Ruminococcus_bicirculans	Group	CTR	1.95019116761858	0.603967835900625	451	227	0.00133886304015252	0.0592446895267488
Enterobacter_hormaechei	Group	CTR	-0.750397466660074	0.246431946749064	451	44	0.00246368253709086	0.0969048464589072
Parasutterella_excrementihominis	Group	CTR	1.55394242647324	0.524768617417009	451	194	0.00322692891178739	0.114233283477273
Streptococcus_mitis	Group	CTR	-0.935359015797231	0.321844594700418	451	156	0.00383889436210572	0.123542600380493
Blautia_faecis	Group	CTR	0.959741215032961	0.340686886259637	451	403	0.00506162130936468	0.137831841808854
Ruminococcus_SGB4421	Group	CTR	1.10873968533357	0.391100390381961	451	92	0.00479054732802866	0.137831841808854
Holdemanella_porci	Group	CTR	-0.967044792669733	0.355391475049782	451	85	0.00677117458226952	0.171213985865958
GGB9534_SGB14937	Group	CTR	1.16911774080328	0.436008283630356	451	166	0.0076018728825796	0.174704696893632
GGB42994_SGB4746	Group	CTR	-0.944027931238444	0.35309306201838	451	73	0.00789625748671785	0.174704696893632
Clostridiales_bacterium_Choco116	Group	CTR	-0.793225414508748	0.304022273509223	451	59	0.00938660454264841	0.195462235770443
Dysosmobacter_sp_NSJ_60	Group	CTR	1.2126329555144	0.473002344494086	451	282	0.0106811434625856	0.210062488097517
GGB9614_SGB15049	Group	CTR	0.806574060300416	0.322455503791873	451	231	0.0128124719139391	0.216708167716759
GGB3109_SGB4119	Group	CTR	0.697304209930967	0.277603061313762	451	88	0.0128555692713332	0.216708167716759
Clostridium_sp_AM42_4	Group	CTR	0.780358132675955	0.309861578713025	451	93	0.0121361064392009	0.216708167716759
Veillonella_atypica	Group	CTR	-1.16910910737263	0.474829232595332	451	156	0.0141856553524299	0.228260090670918
Lachnospira_eligens	Group	CTR	1.50614744343	0.619912091031238	451	295	0.0155190282429846	0.238858086870285
Clostridiales_bacterium_KLE1615	Group	CTR	1.14094981529932	0.473006530769211	451	345	0.0162600432930028	0.239835638571792
Senegalimassilia_anaerobia	Group	CTR	-0.637027464416329	0.266037336316835	451	71	0.0170522635896509	0.241460052429457
Faecalibacillus_intestinalis	Group	CTR	1.24203530788129	0.524239788454665	451	229	0.0182499713436062	0.246876238771461
Veillonella_tobetsuensis	Group	CTR	-0.531237562448202	0.225312762331326	451	44	0.0188295436351114	0.246876238771461
