"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "LEfSe" "CTR" 4.33195081402493 5.88549136520617e-07 5.88549136520617e-07 "***"
"NA|NA|NA|NA|NA|NA|Bacteroides_uniformis|Bacteroides_uniformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_uniformis|Bacteroides_uniformis" "LEfSe" "CTR" 3.77424973384894 0.0305608453374485 0.0305608453374485 "*"
"NA|NA|NA|NA|NA|NA|Parabacteroides_distasonis|Parabacteroides_distasonis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Parabacteroides_distasonis|Parabacteroides_distasonis" "LEfSe" "CTR" 3.55009486365451 0.000841602181203997 0.000841602181203997 "***"
"NA|NA|NA|NA|NA|NA|Candidatus_Cibionibacter_quicibialis|Candidatus_Cibionibacter_quicibialis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Candidatus_Cibionibacter_quicibialis|Candidatus_Cibionibacter_quicibialis" "LEfSe" "ADA" 3.49279209731329 0.000367633943937364 0.000367633943937364 "***"
"NA|NA|NA|NA|NA|NA|Megamonas_funiformis|Megamonas_funiformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Megamonas_funiformis|Megamonas_funiformis" "LEfSe" "ADA" 3.23613399581935 0.0126916496399996 0.0126916496399996 "*"
"NA|NA|NA|NA|NA|NA|Phascolarctobacterium_faecium|Phascolarctobacterium_faecium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phascolarctobacterium_faecium|Phascolarctobacterium_faecium" "LEfSe" "CTR" 3.14573062497064 0.000412044143641032 0.000412044143641032 "***"
"NA|NA|NA|NA|NA|NA|Ruminococcus_sp_BSD2780120874_150323_B10|Ruminococcus_sp_BSD2780120874_150323_B10" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_sp_BSD2780120874_150323_B10|Ruminococcus_sp_BSD2780120874_150323_B10" "LEfSe" "ADA" 3.14398181962266 0.00885327203998728 0.00885327203998728 "**"
"NA|NA|NA|NA|NA|NA|Ruminococcus_bicirculans|Ruminococcus_bicirculans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_bicirculans|Ruminococcus_bicirculans" "LEfSe" "CTR" 3.05725835315021 0.0194017370098867 0.0194017370098867 "*"
"NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "LEfSe" "ADA" 3.02800890845253 0.0212755456573843 0.0212755456573843 "*"
"NA|NA|NA|NA|NA|NA|Anaerobutyricum_hallii|Anaerobutyricum_hallii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Anaerobutyricum_hallii|Anaerobutyricum_hallii" "LEfSe" "ADA" 3.01810161342148 0.000120082797120745 0.000120082797120745 "***"
"NA|NA|NA|NA|NA|NA|Coprococcus_comes|Coprococcus_comes" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Coprococcus_comes|Coprococcus_comes" "LEfSe" "ADA" 3.01270972296252 0.00303836063966549 0.00303836063966549 "**"
"NA|NA|NA|NA|NA|NA|GGB9635_SGB15106|GGB9635_SGB15106" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9635_SGB15106|GGB9635_SGB15106" "LEfSe" "ADA" 3.00786474606371 0.0204329629645382 0.0204329629645382 "*"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_pseudocatenulatum|Bifidobacterium_pseudocatenulatum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_pseudocatenulatum|Bifidobacterium_pseudocatenulatum" "LEfSe" "CTR" 2.9676004219899 0.0292542541095022 0.0292542541095022 "*"
"NA|NA|NA|NA|NA|NA|Holdemanella_porci|Holdemanella_porci" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Holdemanella_porci|Holdemanella_porci" "LEfSe" "ADA" 2.96252862776645 0.0137426948922999 0.0137426948922999 "*"
"NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium|Clostridiaceae_bacterium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium|Clostridiaceae_bacterium" "LEfSe" "CTR" 2.85024817525971 0.0169551016101013 0.0169551016101013 "*"
"NA|NA|NA|NA|NA|NA|GGB3304_SGB4367|GGB3304_SGB4367" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3304_SGB4367|GGB3304_SGB4367" "LEfSe" "ADA" 2.8387012525467 0.0484088264565589 0.0484088264565589 "*"
