"","SRR13836080","SRR13836083","SRR13836084","SRR13836072","SRR13836096","SRR13836087","SRR13836060","SRR13836071","SRR13836058","SRR13836094","SRR13836073","SRR13836091","SRR13836086","SRR13836066","SRR13836063","SRR13836092","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147","SRR13836176","SRR13836143","SRR13836148","SRR13836145","SRR13836160","SRR13836167","SRR13836137","SRR13836133","SRR13836155","SRR13836135"
"Ruminococcus_bromii",0.0292739797879494,0.000192417788572071,0.0150603572697532,0.0152804421009979,0,0.0252596243569781,0.000241759034067958,0.103714275702542,0.000212976122431638,0,0.0003990934278203,0.0346315276608282,0,0.0898186212732101,0.00173590698419429,0.00875311627131626,0.0171073932211028,0.000200544755596193,0.00904009013401846,4.64908176300194e-05,0.0058266661199035,0,0.00451946137638248,9.74604996916717e-05,0.000151523452446765,0.00144452577285154,0.000249339387514539,0.0165992802776937,0.000322502011373436,0.00204210327352823,0.14196465970741,0.0862703837793837,4.25615350027072e-05,0.00304346430874917,0.000716170237273535
"Coprococcus_eutactus",0.0157267437141696,0.0207139136392184,0.00248858062143247,0,0,0.000840997990010712,0,0,0,0,0.0986491346102309,0.0046235540966406,0,0,0,0,0.0452194083725353,0,0.000860944051847216,0,0.0935685777468643,0.0367947058018297,0,0,0.0126956135674455,0.000164642318407182,0.05415236722758,0,0,0.00476021891366883,0.489077602243539,0.000524564318346461,0,0,0
"Dialister_invisus",0.0120454702137302,0.0199359899006024,0,0,0.000945646104987764,0.00984041262948782,0,0.00799221564835406,0.0432652651620627,0.000141404326026157,0,0.000160900597597736,0.0171537067547254,0,0,0.00271282841191338,0,7.86331443568392e-06,0.0445231617627425,0,0.115618875452448,0.000652201636871991,0.0509899855043213,0.0540619616115392,0.000164711541007882,0.117881016554933,0.00130682781005973,0.000258957479638836,0.000628301201325744,0.0544498219998868,0,0.00064594835211175,0.0575678978022364,0.0794761226437761,0.0009037791324043
"Eubacterium_rectale",0.000155707780314341,0.00257260743134358,0.0613245729826411,0.00486351996440046,0,0.00761990712974628,0,0.0441115812563103,0,0,0.00596253840965938,0.000675538565940384,0.113323270957902,0.0002484270488087,0,0.0259477257946828,0.0385777432589006,0.000294652436983121,0.00827502812999306,0,0.0108942836961315,0,0.0039790900994662,0,0.00818183742131798,0.00367693863897188,0.0601214154845812,4.43228985798187e-05,0,0.134984666007481,0.0198887327692556,0.00707025454756422,4.41629167930539e-05,0.00662150284705925,0.000212392210222646
"Phocaeicola_vulgatus",0.0602382317261951,0.0110617237400781,0.385923859464912,0.00968176832074426,0.00387677486652481,0.0641205834949243,0.00108333849946091,0.0183727361037899,0.00674476659793041,0.00444969134644025,0.0194154034667177,0.117214735261899,0.0794339741744059,0.00322318785700662,0.00293987827531965,0.877293342598315,0.0644256566443537,0.00624186795921851,0.711879611281839,0.672345533369308,0.345598654694841,0.262243128299673,0.256235495125769,2.23625348882021,0.0394437518715553,0.019708422190791,0.133236097850032,0.864269642525662,0.0149528308011673,1.13986958687987,0.127204008160316,0.0129207056490559,0.0069516759257687,0.46669936563294,0.318369273726242
"Bacteroides_uniformis",0.24554478016434,0.357121799789228,0.146271760720115,0.0221872276396461,0.00149137380332409,0.228317937079222,0.000934449149706688,0.0568840691989839,0.156874486716675,0.32417456975221,0.0454914806627007,0.24401244408818,0.125675173673504,0.113885971139183,0.822876089913825,0.256665957818351,0.363451715623288,0.0507839470121793,0.177627693999404,0.403029234228823,0.695653101684766,0.0547108815205719,0.0907182724232641,0.0474715533898141,0.38270716376802,0.0114150242964959,0.086684046860735,0.680462161321599,1.34488536357304,0.0036063141693217,0.0573496452634079,0.088744374483271,0.488544944314218,0.00195247160496616,0.0303747368927415
"GGB3619_SGB4894",0,0.00551460663088423,0.00107836209242236,0,0,0,0,0,0,0,0,0,0,0.000703048435754751,0,0,0.0010742550646436,0,0,0,0.00533577345284744,0.0329604541569684,0,0,0.0270008968420068,0,0.00879461678483865,0,0,0,0.00179441388532924,0.00497914992918758,0,0.00797308794710253,0
"Bacteroides_cellulosilyticus",0.0142667402228872,3.91865132990448e-05,0.00524647045515312,0.000136845798588359,0,0.0179030900194689,0,0.00538696395828884,0,2.37659998485612e-05,0.0164509399673323,0.000799571779801562,0,0.0232365202819934,0,0,0.0303117991239253,6.75333013087178e-05,0.000933243321880446,0,7.66037797136063e-05,0.148191504461972,0.0154849761571627,0,0.0121240027939981,0.000554034980613234,0,5.97705363272644e-06,0,0.0238874967803324,0.000210434647323817,0,0,0,0
"Phocaeicola_massiliensis",0.01836260553962,0.00242826293514541,0.0221584212875405,0.00151810834231489,0,0.0590091569564951,0.000780657461249875,0.0165192374495628,0.000440727322081455,0,0.0299533773160361,0.00146439151520096,0.00027234048834821,0.000264329468984342,0.00323611119717507,0.0001081105619509,0.000563138785496918,8.7440561756613e-05,0.217786148366558,0.000611369966426099,0,0.000185221835088084,0.00137045405430251,0.000977924591155854,0.00783995404162418,0.000531850194147142,0.0534262023410402,0.000314672339121434,0.00130294410197001,0,0.00317158886497325,0.000356527072078112,0.000281536421912608,0.000274133715669243,0.000729977953469662
"GGB4684_SGB6478",0,0.0215856885698433,0,0,0,0.0114470156603298,0,0,0,0,0.00970303264154636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145441939836961,0,0.00522670961402614,0,0,0,9.39712205487515e-06,0,0,0,0
