"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "LEfSe" "CTR" 4.45986750631771 0.00265031224744271 0.00265031224744271 "**"
"NA|NA|NA|NA|NA|NA|Phascolarctobacterium_faecium|Phascolarctobacterium_faecium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phascolarctobacterium_faecium|Phascolarctobacterium_faecium" "LEfSe" "CTR" 3.39766957653828 0.00238933754351098 0.00238933754351098 "**"
"NA|NA|NA|NA|NA|NA|Ruminococcus_lactaris|Ruminococcus_lactaris" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_lactaris|Ruminococcus_lactaris" "LEfSe" "ADA" 3.09878572610742 0.0345852556423761 0.0345852556423761 "*"
"NA|NA|NA|NA|NA|NA|Tyzzerella_nexilis|Tyzzerella_nexilis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Tyzzerella_nexilis|Tyzzerella_nexilis" "LEfSe" "ADA" 2.91345217921276 0.0172093928595945 0.0172093928595945 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_nordii|Bacteroides_nordii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_nordii|Bacteroides_nordii" "LEfSe" "ADA" 2.63409671338657 0.00863177851475536 0.00863177851475536 "**"
"NA|NA|NA|NA|NA|NA|Ruminococcus_callidus|Ruminococcus_callidus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_callidus|Ruminococcus_callidus" "LEfSe" "ADA" 2.62407865212825 0.0410278872379135 0.0410278872379135 "*"
"NA|NA|NA|NA|NA|NA|Alistipes_communis|Alistipes_communis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_communis|Alistipes_communis" "LEfSe" "ADA" 2.57814668646204 0.0413398236691883 0.0413398236691883 "*"
"NA|NA|NA|NA|NA|NA|Alistipes_sp_AF17_16|Alistipes_sp_AF17_16" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_sp_AF17_16|Alistipes_sp_AF17_16" "LEfSe" "ADA" 2.43836691225503 0.0199743317526043 0.0199743317526043 "*"
"NA|NA|NA|NA|NA|NA|Enterococcus_faecium|Enterococcus_faecium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Enterococcus_faecium|Enterococcus_faecium" "LEfSe" "ADA" 2.42474337091893 0.0440632439703963 0.0440632439703963 "*"
"NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_Choco116|Clostridiales_bacterium_Choco116" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_Choco116|Clostridiales_bacterium_Choco116" "LEfSe" "ADA" 2.39826847146601 0.0170386869708752 0.0170386869708752 "*"
"NA|NA|NA|NA|NA|NA|Sellimonas_intestinalis|Sellimonas_intestinalis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Sellimonas_intestinalis|Sellimonas_intestinalis" "LEfSe" "ADA" 2.29839455966723 0.0241316636956635 0.0241316636956635 "*"
"NA|NA|NA|NA|NA|NA|GGB9759_SGB15370|GGB9759_SGB15370" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9759_SGB15370|GGB9759_SGB15370" "LEfSe" "ADA" 2.28153596219662 0.023475583295618 0.023475583295618 "*"
"NA|NA|NA|NA|NA|NA|Butyricimonas_faecihominis|Butyricimonas_faecihominis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Butyricimonas_faecihominis|Butyricimonas_faecihominis" "LEfSe" "ADA" 2.04068066553031 0.0398252207065788 0.0398252207065788 "*"
"NA|NA|NA|NA|NA|NA|Enterobacter_hormaechei|Enterobacter_hormaechei" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Enterobacter_hormaechei|Enterobacter_hormaechei" "LEfSe" "ADA" 2.02803850619898 0.0136554852393677 0.0136554852393677 "*"
"NA|NA|NA|NA|NA|NA|Megasphaera_micronuciformis|Megasphaera_micronuciformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Megasphaera_micronuciformis|Megasphaera_micronuciformis" "LEfSe" "ADA" 2.0223300356433 0.00718510731878957 0.00718510731878957 "**"
