feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium_sp_AF20_17LB	Group	CTR	1	0	5	1	0	0
Lacrimispora_amygdalina	Group	CTR	1	0	5	1	0	0
GGB2998_SGB3988	Group	CTR	1	0	5	1	0	0
Rheinheimera_SGB14999	Group	CTR	1	0	5	1	0	0
Lawsonibacter_asaccharolyticus	Group	CTR	1	0	5	1	0	0
Alistipes_ihumii	Group	CTR	1	0	5	1	0	0
Eisenbergiella_massiliensis	Group	CTR	1	0	5	1	0	0
Bacteroides_caccae	Group	CTR	1	2.86658352329951e-16	5	1	5.19474874507501e-47	1.20777908322994e-45
Ruminococcus_lactaris	Group	CTR	1	5.73316704659901e-16	5	1	4.15579899606003e-46	5.94598933282435e-45
Parasutterella_SGB9260	Group	CTR	1	5.73316704659901e-16	5	1	4.15579899606003e-46	5.94598933282435e-45
Alistipes_communis	Group	CTR	1	5.73316704659901e-16	5	1	4.15579899606003e-46	5.94598933282435e-45
Dysosmobacter_welbionis	Group	CTR	1	5.73316704659901e-16	5	1	4.15579899606003e-46	5.94598933282435e-45
GGB3109_SGB4119	Group	CTR	1	5.73316704659901e-16	5	1	4.15579899606003e-46	5.94598933282435e-45
Alistipes_finegoldii	Group	CTR	1	6.40987562127855e-16	5	1	5.8079056600097e-46	7.71621751972718e-45
Dialister_invisus	Group	CTR	1	1.15555676109332e-15	5	1	3.4028640197862e-45	4.21955138453488e-44
Odoribacter_splanchnicus	Group	CTR	1	1.28197512425571e-15	5	1	4.64632452800779e-45	4.80120201227471e-44
Clostridiales_bacterium	Group	CTR	1	1.28197512425571e-15	5	1	4.64632452800779e-45	4.80120201227471e-44
Faecalibacterium_SGB15315	Group	CTR	1	1.28197512425571e-15	5	1	4.64632452800779e-45	4.80120201227471e-44
Bacteroides_finegoldii	Group	CTR	1	1.43329176164975e-15	5	1	6.49343593134381e-45	5.75132896776166e-44
Bacteroides_stercoris	Group	CTR	1	1.43329176164975e-15	5	1	6.49343593134381e-45	5.75132896776166e-44
Bacteroides_thetaiotaomicron	Group	CTR	1	1.43329176164975e-15	5	1	6.49343593134381e-45	5.75132896776166e-44
Clostridium_fessum	Group	CTR	1	2.56395024851142e-15	5	1	3.71705962240625e-44	2.76549235907025e-43
Parasutterella_excrementihominis	Group	CTR	1	2.56395024851142e-15	5	1	3.71705962240625e-44	2.76549235907025e-43
GGB2653_SGB3574	Group	CTR	1	2.56395024851142e-15	5	1	3.71705962240625e-44	2.76549235907025e-43
Lachnospira_pectinoschiza	Group	CTR	1	2.56395024851142e-15	5	1	3.71705962240625e-44	2.76549235907025e-43
Blautia_sp_MSK_20_85	Group	CTR	1	2.86658352329951e-15	5	1	5.19474874507508e-44	3.57860469105172e-43
Clostridium_SGB4750	Group	CTR	1	2.86658352329951e-15	5	1	5.19474874507508e-44	3.57860469105172e-43
GGB9627_SGB15081	Group	CTR	1	5.12790049702284e-15	5	1	2.97364769792502e-43	1.72843272441892e-42
Flavonifractor_plautii	Group	CTR	1	5.12790049702284e-15	5	1	2.97364769792502e-43	1.72843272441892e-42
Lacrimispora_saccharolytica	Group	CTR	1	5.12790049702284e-15	5	1	2.97364769792502e-43	1.72843272441892e-42
Erysipelatoclostridium_ramosum	Group	CTR	1	5.12790049702284e-15	5	1	2.97364769792502e-43	1.72843272441892e-42
Faecalimonas_umbilicata	Group	CTR	1	5.12790049702284e-15	5	1	2.97364769792502e-43	1.72843272441892e-42
Enterocloster_bolteae	Group	CTR	0.999999999999999	7.25194642938943e-15	5	1	8.41074580825021e-43	4.74060218283194e-42
GGB9619_SGB15067	Group	CTR	0.999999999999999	9.7968401437346e-15	5	1	2.07361827172805e-42	1.13439117218064e-41
Blautia_massiliensis	Group	CTR	-9.36689769813783	0.95245802850461	5	5	0.00223505019245012	0.0118776953084492
Fusicatenibacter_saccharivorans	Group	CTR	-5.11930004498341	0.670256915242751	5	5	0.00466005417572353	0.0240769465745716
Bacteroides_ovatus	Group	CTR	2.87284507305989	0.559016994374948	5	2	0.0142746409831254	0.0698706111279296
Clostridiaceae_bacterium_AF18_31LB	Group	CTR	2.89529020577859	0.559016994374948	5	2	0.0139717954417981	0.0698706111279296
Clostridiaceae_bacterium	Group	CTR	-5.27324509910637	1.07805782198693	5	5	0.0163452998237627	0.0779545068517915
Phocaeicola_vulgatus	Group	CTR	7.67137036798415	1.67505723381027	5	3	0.0195435619766291	0.0908775631913253
Alistipes_shahii	Group	CTR	2.15904354120488	0.559016994374948	5	2	0.0306872099041586	0.139215147370085
Eubacterium_rectale	Group	CTR	-2.52441088680273	0.711633266990345	5	5	0.0381628555610251	0.169006931770254
