"","SRR13836080","SRR13836083","SRR13836084","SRR13836072","SRR13836096","SRR13836087","SRR13836060","SRR13836071","SRR13836058","SRR13836094","SRR13836073","SRR13836091","SRR13836086","SRR13836066","SRR13836063","SRR13836092","SRR13836082","SRR13836074","SRR13836101","SRR13836064","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147","SRR13836176","SRR13836143","SRR13836148","SRR13836145","SRR13836160","SRR13836167","SRR13836137","SRR13836133","SRR13836155","SRR13836135","SRR13836142","SRR13836134","SRR13836172","SRR13836168","SRR13836154"
"Ruminococcus_bromii",0.0292739797879494,0.000369361935268993,0.0154567879052259,0.00207050120342996,0,0.0163370216572246,0.000503100646738217,0.14123830661,9.30262492065872e-05,0,0.000524166768842482,0.0287395993770509,0,0.199550388572221,0.00197658497451413,0.0301545868490832,0.103253854201389,0.000395651341939906,0,0.0175722379418584,0.0182658366812004,0.000130066522931122,0.00496866948390232,0.000125507326743116,0.00561423821629456,0,0.00440863595234792,7.0669190998785e-05,0.000353772082130744,0.00131822757661191,0.000280523320384182,0.0623904965773487,0.000512163717911594,0.00116383460470752,0.204073926161751,0.111571220711577,0.000106784901267161,0.00477724947147725,0.000302312605240175,9.697113512731e-05,0.0432391773780358,0.0069577353127605,0.000187737221780539,0.000757370185131399
"Coprococcus_eutactus",0.0157267437141696,0.0083361324257407,0.0030990056001883,0,0,0.000665542217254082,0,0,0,0,0.0893778440132863,0.00493042097923866,0,0,0,0,0.00107142713995438,0.000688183007322727,0.000963247022000497,0.00434120478621149,0.0761728322936762,0,0.00422252616728059,0,0.0800212218738293,0.0408590146766441,0,0,0.0129192176873311,7.5632917233418e-05,0.0809453511270378,0,0,0.00100391935321618,0.55020820761038,0.000328561119563569,0,0,0,0,0,0.00921290214893412,0.0232957799206926,0.00530131983202466
"Dialister_invisus",0.0120454702137302,0.0280370800893255,0,0,0.000982560874709256,0.0360787061104587,0,0.00448048607566254,0.128604361172653,0.000461482418931016,0,0.000147318081081283,0.0219942808682349,0,0,0.00194337634697994,0.0025683448735524,0,0.0756464165180732,0,0,7.86331443568392e-06,0.0854659089215206,0,0.0156663674507086,0.000322807004218104,0.0329784990351821,0.112502963769522,0.000224304503632635,0.0514894754283311,0.00100149810639199,0.000340113106124613,0.000521407111781734,0.0599632544958997,0,0.000735507039675204,0.198322074126366,0.083245821997105,0.00116612574455522,0.00146873244943257,0.000115500061478182,0,0,0.00320608165594266
"Eubacterium_rectale",0.000155707780314341,0.00311067754107633,0.0433738735778567,0.00524401693087053,0,0.0110469788552185,0,0.0286282440170671,0,0,0.00677255466055392,0.000285094569297375,0.0578581926274608,0.000101005878435555,0,0.0247727103668578,0.000391020325312345,9.60537468237201e-05,0.0122136837870622,0.0203331655638311,0.0339876160213931,0.000294652436983121,0.00333021231621561,0,0.00926792888226211,0,0.00314894028155616,0,0.00932622764135597,0.00488790422602933,0.0739104405749396,4.01573225263033e-05,0,0.214007055346686,0.0200128697035366,0.00322283675944182,2.81350726673179e-05,0.00423625339610567,0.000676659020460167,0,0.0295223332055987,0.00619814612071975,0.000181185705436164,0.0434996184571768
"Phocaeicola_vulgatus",0.0602382317261951,0.00807256970762205,0.0716559405854085,0.00510421572061815,0.0126780580703488,0.0355193305293208,0.000906297915227104,0.0212024806880356,0.0044880942657124,0.00296529770456569,0.0258845316816348,0.115137144351612,0.310926662673337,0.00327117004554316,0.00462215934625723,1.37125894571392,0.374538077519824,0.0960078122933859,0.0402683491504263,0.0468893360491409,0.0572955237742557,0.00624186795921851,1.00115548688474,0.460647003146796,0.241061288175781,0.272480197580841,0.939457060571623,1.38982421336919,0.0221124139798189,0.0585825381185941,0.434824863232178,0.696416651643731,0.0136905789863398,1.46152736580322,0.289838939043965,0.0288939730857203,0.00497993994263732,0.293985603350492,0.592837577120986,0.888469884509269,0.102732639315632,0.19727741443657,0.182246516427155,0.170232260657048
"Bacteroides_uniformis",0.24554478016434,0.367794756970015,0.120824589681424,0.0603595961688993,0.000981243574908071,0.390647444690586,0.00150481650103864,0.113151871805508,0.0526486230301733,0.504558209007118,0.0970744699754986,0.175570724513893,0.0820884575730719,0.113934293950381,0.35853664308695,0.407454781214527,1.38248041596642,0.227375818335074,0.109463090132348,0.193766396972997,1.40971488485638,0.0507839470121793,0.214779165940818,0.285056025723483,0.75007744801089,0.0866405618287587,0.131519035623092,0.0370081539517426,0.248375455138853,0.0255320735325801,0.0558445499754799,0.772903563107185,0.567576053853356,0.00184123541546261,0.0233173131733274,0.0503917670769166,0.466421701171548,0.00241497439508003,0.0121804976650601,0.121246066474953,2.46600603968287,0.346305334421989,0.0892701661453058,0.0794852701377562
"GGB3619_SGB4894",0,0.00517727541688981,0.000801185927192,0,0,0,0,0,0,0,0,0,0,0.000717515284420873,0,0,0,0.000490220878323912,0,0,0.00195451974472587,0,0,0,0.0028130128544108,0.107789223314302,0,0,0.0311595393641015,0,0.0058607788572751,0,0,0,0.00182112654037083,0.00782835962115066,0,0.013203618630957,0,0,0,0,0.00193891712278416,0.00349569032734833
"Bacteroides_cellulosilyticus",0.0142667402228872,2.69116996486261e-05,0.00823713359223026,0.000180172572838207,0,0.019718082511052,0,0.00328936010969845,0,5.40187232510777e-05,0.00315083735688381,0.00026499248952187,0,0.00902399113465743,0,0,0.060435416060351,0.0627627884134092,0.00642661398020085,0.00017639168576427,0.00618036742051455,6.75333013087178e-05,0.000961134271185598,0,0.000208397970382854,0.0975020221524382,0.0264944859097571,0,0.0241166574268317,0.000185939597000989,0,1.27544609443275e-05,0,0.0156028251934107,0.000210523936580697,0,0,0,0,4.01825037930733e-05,0,0.000156347269823692,9.76763559953048e-05,0.0178098213046017
"Phocaeicola_massiliensis",0.01836260553962,0.000480241351384082,0.0590675977057158,0.00132153924377021,0,0.130426084935235,0.000782233901528974,0.00557735831605399,0.000471838332581868,0,0.0518375563650534,0.00510901692271953,0.000126140513237549,0.000620168942461454,0.00649204347772215,6.95074017537379e-05,0.20222420291068,0.113311618677754,0,0.0428739992814906,0.000293365150595622,8.7440561756613e-05,0.204464061999016,0.000454226847225438,0,0.000180769421843869,0.000523234248390079,0.00144844346862396,0.0202345301059078,0.000880694516994908,0.0691606433040382,0.0002569812727406,0.00294335773998402,0,0.00323685164603821,0.000381132483966975,0.000227618094282082,0.000198181696654203,0.000763284310414715,0.192393330315578,4.93241260409236e-05,0.175630667090024,2.47303754137675e-05,0.000123090311347408
"GGB4684_SGB6478",0,0.0259630818525732,0,0,0,0.0275838530082954,0,0,0,0,0.00453187544111772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000888090061268628,0,0.0118800042898645,0,0,0,3.64940813363525e-06,0,0,0,0,0,0,0.000745327761198523,0.000513840138578766,0
"Clostridium_sp_1001270H_150608_G6",0.0403705610450807,0.000158220497659157,0,0.000154363850096383,0,0,0,0.251755298985148,0,0,5.86299941778395e-05,0,0,0,0,0,0.00357746192941967,0,0.0158364047857275,0.000732010301508241,0.00521703071888059,0,0.000298840294884442,0,0.00159261467803492,0,0,0,0.0338809007426149,0,5.81859286135736e-06,0,0,0,0.00774005166129235,0,0,0.0155255058970014,3.23217524424833e-05,5.79022175476133e-05,0,0.0102233042470652,0.0112146335891213,0.0262204770293265
