"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "LEfSe" "CTR" 4.12700850224838 0.00419028382478156 0.00419028382478156 "**"
"NA|NA|NA|NA|NA|NA|Faecalibacterium_prausnitzii|Faecalibacterium_prausnitzii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Faecalibacterium_prausnitzii|Faecalibacterium_prausnitzii" "LEfSe" "CTR" 3.93071623119025 0.0289392034948123 0.0289392034948123 "*"
"NA|NA|NA|NA|NA|NA|Klebsiella_pneumoniae|Klebsiella_pneumoniae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Klebsiella_pneumoniae|Klebsiella_pneumoniae" "LEfSe" "ADA" 3.81668336030479 0.0136528050925552 0.0136528050925552 "*"
"NA|NA|NA|NA|NA|NA|Phocaeicola_coprocola|Phocaeicola_coprocola" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_coprocola|Phocaeicola_coprocola" "LEfSe" "CTR" 3.79726016471894 0.00108474359698589 0.00108474359698589 "**"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "LEfSe" "ADA" 3.76266877980562 0.0214171145530063 0.0214171145530063 "*"
"NA|NA|NA|NA|NA|NA|Megamonas_funiformis|Megamonas_funiformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Megamonas_funiformis|Megamonas_funiformis" "LEfSe" "CTR" 3.6949745537189 0.000443378366629166 0.000443378366629166 "***"
"NA|NA|NA|NA|NA|NA|Roseburia_intestinalis|Roseburia_intestinalis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Roseburia_intestinalis|Roseburia_intestinalis" "LEfSe" "CTR" 3.66334218166063 0.028050999820851 0.028050999820851 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AF34_10BH|Clostridium_sp_AF34_10BH" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AF34_10BH|Clostridium_sp_AF34_10BH" "LEfSe" "CTR" 3.58453695614468 0.00126495956910721 0.00126495956910721 "**"
"NA|NA|NA|NA|NA|NA|Ruthenibacterium_lactatiformans|Ruthenibacterium_lactatiformans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruthenibacterium_lactatiformans|Ruthenibacterium_lactatiformans" "LEfSe" "ADA" 3.34671523036181 0.0177542058139351 0.0177542058139351 "*"
"NA|NA|NA|NA|NA|NA|Alistipes_sp_AF17_16|Alistipes_sp_AF17_16" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_sp_AF17_16|Alistipes_sp_AF17_16" "LEfSe" "ADA" 3.29704185568955 0.00923047917950522 0.00923047917950522 "**"
"NA|NA|NA|NA|NA|NA|Eubacterium_ventriosum|Eubacterium_ventriosum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Eubacterium_ventriosum|Eubacterium_ventriosum" "LEfSe" "CTR" 3.27366281255968 0.00506708725434239 0.00506708725434239 "**"
"NA|NA|NA|NA|NA|NA|Parasutterella_SGB9260|Parasutterella_SGB9260" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Parasutterella_SGB9260|Parasutterella_SGB9260" "LEfSe" "CTR" 3.16780669063799 0.00223992993998232 0.00223992993998232 "**"
"NA|NA|NA|NA|NA|NA|Bacteroides_salyersiae|Bacteroides_salyersiae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_salyersiae|Bacteroides_salyersiae" "LEfSe" "ADA" 3.10027959013606 0.00299032196833362 0.00299032196833362 "**"
"NA|NA|NA|NA|NA|NA|GGB9758_SGB15368|GGB9758_SGB15368" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9758_SGB15368|GGB9758_SGB15368" "LEfSe" "CTR" 3.08021918047389 0.00725139678191837 0.00725139678191837 "**"
"NA|NA|NA|NA|NA|NA|GGB3612_SGB4882|GGB3612_SGB4882" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3612_SGB4882|GGB3612_SGB4882" "LEfSe" "ADA" 2.90796434504853 0.0100241199419948 0.0100241199419948 "*"
"NA|NA|NA|NA|NA|NA|GGB51269_SGB5062|GGB51269_SGB5062" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB51269_SGB5062|GGB51269_SGB5062" "LEfSe" "ADA" 2.86764800188982 0.0379016054258772 0.0379016054258772 "*"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_adolescentis|Bifidobacterium_adolescentis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_adolescentis|Bifidobacterium_adolescentis" "LEfSe" "ADA" 2.85988868112163 8.2519084698794e-05 8.2519084698794e-05 "***"
"NA|NA|NA|NA|NA|NA|Desulfovibrio_SGB5077|Desulfovibrio_SGB5077" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Desulfovibrio_SGB5077|Desulfovibrio_SGB5077" "LEfSe" "CTR" 2.85268644776135 0.00141841018639428 0.00141841018639428 "**"
"NA|NA|NA|NA|NA|NA|Clostridium_fessum|Clostridium_fessum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_fessum|Clostridium_fessum" "LEfSe" "CTR" 2.84304053130054 0.01853494845093 0.01853494845093 "*"
"NA|NA|NA|NA|NA|NA|Enterocloster_bolteae|Enterocloster_bolteae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Enterocloster_bolteae|Enterocloster_bolteae" "LEfSe" "ADA" 2.67465961933034 0.0270727186328381 0.0270727186328381 "*"
"NA|NA|NA|NA|NA|NA|Eubacterium_SGB6276|Eubacterium_SGB6276" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Eubacterium_SGB6276|Eubacterium_SGB6276" "LEfSe" "ADA" 2.64935704254665 0.0217532351685969 0.0217532351685969 "*"
"NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_KLE1615|Clostridiales_bacterium_KLE1615" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_KLE1615|Clostridiales_bacterium_KLE1615" "LEfSe" "CTR" 2.364521196497 0.034649459097455 0.034649459097455 "*"
"NA|NA|NA|NA|NA|NA|GGB4578_SGB6328|GGB4578_SGB6328" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB4578_SGB6328|GGB4578_SGB6328" "LEfSe" "ADA" 2.34455370251327 0.0026389444008933 0.0026389444008933 "**"
"NA|NA|NA|NA|NA|NA|Lachnospiraceae_bacterium_AM48_27BH|Lachnospiraceae_bacterium_AM48_27BH" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Lachnospiraceae_bacterium_AM48_27BH|Lachnospiraceae_bacterium_AM48_27BH" "LEfSe" "CTR" 2.3241607283625 0.0326916371907008 0.0326916371907008 "*"
"NA|NA|NA|NA|NA|NA|GGB9595_SGB15019|GGB9595_SGB15019" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9595_SGB15019|GGB9595_SGB15019" "LEfSe" "ADA" 2.27847203070274 0.0172163040906214 0.0172163040906214 "*"
