"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Ruminococcus_sp_BSD2780120874_150323_B10|Ruminococcus_sp_BSD2780120874_150323_B10" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_sp_BSD2780120874_150323_B10|Ruminococcus_sp_BSD2780120874_150323_B10" "LEfSe" "ADA" 4.47825146245811 0.0360140462078715 0.0360140462078715 "*"
"NA|NA|NA|NA|NA|NA|GGB51647_SGB4348|GGB51647_SGB4348" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB51647_SGB4348|GGB51647_SGB4348" "LEfSe" "ADA" 4.2503064472041 0.0360140462078715 0.0360140462078715 "*"
"NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "LEfSe" "CTR" 4.2281973725826 0.0100760972592543 0.0100760972592543 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_ovatus|Bacteroides_ovatus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_ovatus|Bacteroides_ovatus" "LEfSe" "CTR" 4.01116141287392 0.000729348895533335 0.000729348895533335 "***"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_1001270H_150608_G6|Clostridium_sp_1001270H_150608_G6" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_1001270H_150608_G6|Clostridium_sp_1001270H_150608_G6" "LEfSe" "ADA" 3.81593737471283 0.00333036020149283 0.00333036020149283 "**"
"NA|NA|NA|NA|NA|NA|Bacteroides_faecis|Bacteroides_faecis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_faecis|Bacteroides_faecis" "LEfSe" "CTR" 3.68554891677902 0.0019780106141172 0.0019780106141172 "**"
"NA|NA|NA|NA|NA|NA|GGB9359_SGB14334|GGB9359_SGB14334" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9359_SGB14334|GGB9359_SGB14334" "LEfSe" "CTR" 3.6213788695117 0.0332650163420188 0.0332650163420188 "*"
"NA|NA|NA|NA|NA|NA|Roseburia_intestinalis|Roseburia_intestinalis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Roseburia_intestinalis|Roseburia_intestinalis" "LEfSe" "CTR" 3.5909405192035 0.0293858701726323 0.0293858701726323 "*"
"NA|NA|NA|NA|NA|NA|GGB9708_SGB15234|GGB9708_SGB15234" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9708_SGB15234|GGB9708_SGB15234" "LEfSe" "ADA" 3.37045730193543 0.0087050890474632 0.0087050890474632 "**"
"NA|NA|NA|NA|NA|NA|Parasutterella_excrementihominis|Parasutterella_excrementihominis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Parasutterella_excrementihominis|Parasutterella_excrementihominis" "LEfSe" "CTR" 3.29393574020719 0.0150342199859945 0.0150342199859945 "*"
"NA|NA|NA|NA|NA|NA|Flavonifractor_plautii|Flavonifractor_plautii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Flavonifractor_plautii|Flavonifractor_plautii" "LEfSe" "CTR" 3.23701145260714 0.0277550671844062 0.0277550671844062 "*"
"NA|NA|NA|NA|NA|NA|GGB9342_SGB14306|GGB9342_SGB14306" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9342_SGB14306|GGB9342_SGB14306" "LEfSe" "ADA" 3.22567663838594 0.0186127922616178 0.0186127922616178 "*"
