feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Phocaeicola_vulgatus	Group	CTR	1.96458781658772	0.510866103611926	401	362	0.000143078603583478	0.0274426345157193
Phascolarctobacterium_faecium	Group	CTR	2.4408714296272	0.639038673779181	401	217	0.000155043132857171	0.0274426345157193
Clostridiaceae_bacterium	Group	CTR	1.27768709079832	0.389872474852026	401	352	0.0011402548728287	0.09061387270116
Roseburia_intestinalis	Group	CTR	1.70219421560026	0.507951434373633	401	244	0.00088437859359803	0.09061387270116
Enterococcus_faecalis	Group	CTR	-0.728821833127262	0.224686981221125	401	33	0.00127985695905593	0.09061387270116
GGB9642_SGB15119	Group	CTR	-0.68644096713402	0.225799841799104	401	49	0.00252137108654296	0.148760894106034
Faecalibacterium_prausnitzii	Group	CTR	1.06899882617222	0.357897256022533	401	385	0.00299297461183307	0.151359001798415
Eubacterium_ventriosum	Group	CTR	1.55264582614982	0.573908011952276	401	241	0.00711485464846252	0.196004989927124
Ruminococcus_bicirculans	Group	CTR	1.69455820759155	0.658825085135231	401	216	0.0104719858330208	0.196004989927124
Faecalicatena_fissicatena	Group	CTR	1.02274898588854	0.397895218114176	401	191	0.0105200418322468	0.196004989927124
Streptococcus_thermophilus	Group	CTR	0.993694888159573	0.366140716126495	401	131	0.00693652915175214	0.196004989927124
Parasutterella_excrementihominis	Group	CTR	1.6406126420853	0.575648521165242	401	179	0.00459831897573835	0.196004989927124
Clostridium_sp_AM33_3	Group	CTR	1.0581119433038	0.409673140757786	401	198	0.0101548873453245	0.196004989927124
Clostridium_SGB4750	Group	CTR	0.965579749280105	0.357674697312872	401	260	0.00723748939334742	0.196004989927124
GGB9614_SGB15049	Group	CTR	0.988431342547755	0.38279548382769	401	214	0.0101904287664155	0.196004989927124
GGB3109_SGB4119	Group	CTR	0.696228520468205	0.260925129019806	401	77	0.00793421901867222	0.196004989927124
Ruminococcus_sp_BSD2780120874_150323_B10	Group	CTR	-1.49373068690596	0.536335704534366	401	99	0.00560698742207406	0.196004989927124
GGB42994_SGB4746	Group	CTR	-1.16895076218058	0.418312456208148	401	64	0.00548011322436312	0.196004989927124
Clostridiales_bacterium_Choco116	Group	CTR	-0.821291100578587	0.31472673894393	401	48	0.00941333417716061	0.196004989927124
Clostridium_sp_AM42_4	Group	CTR	0.780797259046144	0.306672144050659	401	91	0.0112711951231066	0.199500153678986
Klebsiella_pneumoniae	Group	CTR	-0.938248463523609	0.375965920572947	401	127	0.0129808477659343	0.20887364132458
Megasphaera_micronuciformis	Group	CTR	-0.769959590470001	0.307442054213531	401	61	0.0126850091730109	0.20887364132458
Clostridium_sp_AF27_2AA	Group	CTR	1.18079958556791	0.493121649120253	401	132	0.0171054284036351	0.263274854560297
Clostridiales_bacterium_KLE1615	Group	CTR	1.12713970530091	0.495877909408511	401	295	0.0235563018836822	0.283212070097397
