"","SRR13836080","SRR13836083","SRR13836084","SRR13836072","SRR13836096","SRR13836087","SRR13836060","SRR13836071","SRR13836058","SRR13836094","SRR13836073","SRR13836091","SRR13836086","SRR13836066","SRR13836063","SRR13836092","SRR13836082","SRR13836074","SRR13836101","SRR13836064","SRR13836095","SRR13836088","SRR13836099","SRR13836069","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147","SRR13836176","SRR13836143","SRR13836148","SRR13836145","SRR13836160","SRR13836167","SRR13836137","SRR13836133","SRR13836155","SRR13836135","SRR13836142","SRR13836134","SRR13836172","SRR13836168","SRR13836154","SRR13836152","SRR13836169","SRR13836171","SRR13836146"
"Ruminococcus_bromii",0.0292739797879494,0.000146764349606677,0.0389773706509033,0.00698706842540511,0,0.0302169416570409,0.000100245759823175,0.227255111023002,0.000213406201121144,0,0.00026626526920084,0.0221385355081057,0,0.139258988106616,0.000672629074760802,0.00953974246578132,0.169843986974497,0.000395651341939906,0,0.0522328113885716,0,0.0954757803335624,0,0.0150738676899782,0.0133847445149367,0.000175439822991989,0.00496866948390232,4.98697873859455e-05,0.0141574203657795,0,0.0237439881160716,0.00013070967684102,7.04911659473109e-05,0.00212105314391607,0.000643532515173563,0.0384403521395339,0.000260167981510508,0.000896518889628427,0.130452033769313,0.0778615136221144,3.63387510599739e-05,0.00151133656318254,0.00049727904671231,9.697113512731e-05,0.0353168434193566,0.0206816045563169,0.00017494028193192,0.00121884228068944,0,0.000201707084246131,5.81432850352583e-05,0.0536212618389338
"Coprococcus_eutactus",0.0157267437141696,0.0118640987012643,0.00134894231008967,0,0,0.00022906208177768,0,0,0,0,0.207944917933234,0.00771097640185739,0,0,0,0,0.000818812787656741,0.000688183007322727,0.00179816484040727,0.0119333160128886,0,0,0,0,0.0590226910758255,0,0.00422252616728059,0,0.0348318221445365,0.0196558872812177,0,0,0.0228619028836514,9.70167837378588e-05,0.0330662387911585,0,0,0.00157008873575199,0.243300875474405,0.000361786870745093,0,0,0,0,0,0.0253248759626,0.0108741654161899,0.00803877532951774,0,9.94228658843426e-05,0.0155782703083732,0
"Dialister_invisus",0.0120454702137302,0.0293163146096471,0,0,0.00132248503727138,0.00687520257405268,0,0.00535572572827495,0.0566581621017901,0.000201165562586278,0,0.000154904235196923,0.0235221738395705,0,0,0.00184597708446522,0.00207760888357101,0,0.141951771002696,0,0,0.0137393769939185,3.92758151198976e-05,0,0,3.91108119218902e-05,0.0854659089215206,0,0.0495205022144538,0.000652201636871991,0.0443876533742528,0.0214387030324391,0.00012355036791749,0.0615476766649959,0.000441221755927972,0.000148259265206703,0.000371179092054767,0.0630510661653324,0,0.000468033395339775,0.200051118153331,0.0790736596248757,0.000943313038368466,0.00146873244943257,0.000216737805072776,0,0,0.00320608165594266,0,0,0.0293331247863582,0.00179189777364151
"Eubacterium_rectale",0.000155707780314341,0.00535137847189438,0.0501027629367718,0.00280683119566923,0,0.0113634186870212,0,0.0177773424606121,0,0,0.00758566645849488,9.63446326350237e-05,0.139884883725132,0.000342862377761461,0,0.0304468293867444,0.000422339107875844,9.60537468237201e-05,0.0142992991417276,0.0157551992426997,0,0.097076752430401,0,2.14392703762461e-05,0.0117095800367847,0.00014512582042635,0.00333021231621561,0,0.0107057268673347,0,0.00200565184080653,0,0.0144608131208069,0.00303525243423919,0.0346624802415914,9.83041522425125e-05,0,0.072321374551239,0.0483855064314042,0.0109398531213635,4.63681220197204e-05,0.00520655521661458,0.000730856041329847,0,0.0345635830457466,0.00480264751500435,0.000183461993131579,0.0434996184571768,0.046871408890682,0.0482984486360155,0,0.13233362536988
"Phocaeicola_vulgatus",0.0602382317261951,0.00873521156066637,0.0754367219540134,0.00491245055594966,0.00207319770409012,0.0180804484127715,0.00178200156705564,0.0143149716971937,0.00365839258234252,0.00673071986163768,0.0157171225355974,0.09960785691466,0.24223869424397,0.00208309548134177,0.00345259300752797,0.929722349779904,0.20113673681396,0.0960078122933859,0.0971137054703412,0.146228480940838,6.84886093412322,0.20671634755601,0.242857955305181,0.380089424291713,0.10690583010552,0.00454222095463466,1.00115548688474,0.498459495924195,0.253780401477219,0.262243128299673,0.153626068776537,0.707463925084367,0.0434783703033744,0.039552323497253,0.354439982782803,1.58074697929198,0.00831293801866411,1.26440176668972,0.225809538273118,0.0183998092226601,0.00371984272627496,0.199324122407953,0.318369273726242,0.888469884509269,0.247756550421771,0.615226809924604,0.906463716503049,0.170232260657048,0.394816507122668,0.407924503222345,0.00504922996744226,0.442958749096592
"Bacteroides_uniformis",0.24554478016434,0.513558215720135,0.0983075290813525,0.0381152504660937,0.00106201582687297,0.433797996971957,0.000714130606424048,0.116515814962218,0.180987946287965,1.07586414080871,0.0527582259577863,0.458479571937734,0.149266878709937,0.0799729547648821,0.73147976871417,0.293871639071604,3.44751750290168,0.227375818335074,0.0276967012262481,0.0667573486874328,0.0551884394943127,0.198753892367673,0.379481742799993,0.0396511758332473,0.30698205233245,0.0939809822452343,0.214779165940818,0.398028686316374,0.610291834865914,0.0547108815205719,0.142345184150509,0.0410960401100574,0.117869862721955,0.0262911280905478,0.191974449277529,1.6480541055642,0.308467362273334,0.00480814114913043,0.0423994147311939,0.0353710754614393,0.951584851017565,0.00174176992519929,0.0303747368927415,0.121246066474953,0.623956736655619,0.119310810973837,0.0439684335689925,0.0794852701377562,0.316365975760675,0.0111940766207931,0.00154617806230684,0.425311781671392
"GGB3619_SGB4894",0,0.00896552612277673,0.00118167899276834,0,0,0,0,0,0,0,0,0,0,0.00176391565279137,0,0,0,0.000490220878323912,0,0,0,0.00218980004760217,0,0,0.00101702496149986,0,0,0,0.00414894730876613,0.0329604541569684,0,0,0.0170178738528634,0,0.00839817030272921,0,0,0,0.000618007469661255,0.0192449782900066,0,0.0352678986592408,0,0,0,0,0.00141095422747661,0.00349569032734833,0,0,0,0
"Bacteroides_cellulosilyticus",0.0142667402228872,1.67337991516097e-05,0.0114208348796777,0.000273840932139176,0,0.0150489207970154,0,0.00605734388081756,0,4.87337345414188e-05,0.00549427212808945,0.00120160689900245,0,0.00601186016285258,0,0,0.0424640458722866,0.0627627884134092,0.00531656996725792,3.84113711871693e-05,0.00195386870248748,0.0117469207991435,8.73685895772845e-05,1.09482167380883e-05,0.0113393759116953,7.10569655724103e-05,0.000961134271185598,0,0.000288945029524294,0.148191504461972,0.056009666093821,0,0.0268226828398478,0.000342407046517895,0,1.15066124571419e-05,0,0.0707509198851623,0.000126218228169265,0,0,0,0,4.01825037930733e-05,0,3.40464630703974e-05,0.000180760268129068,0.0178098213046017,0,0.000136684154999126,3.14937315985842e-05,0.000903902278226424
"Phocaeicola_massiliensis",0.01836260553962,0.000572975706724309,0.0221137652993883,0.00135408921141238,0,0.0597038136107501,0.000419233460493638,0.00425897836245358,0.00074148643805777,0,0.107873975560542,0.00436337465402935,0.000128583295198058,0.000910618079572449,0.00650515334900367,0.000127296451175818,0.193400031637708,0.113311618677754,0,0.0223092795998941,0,0.0358764262863776,0.000166336198909045,0.000224534612146389,0.000470751618212906,0.000278804383871451,0.204464061999016,0.000541937815334027,0,0.000185221835088084,0.000467186013565891,0.000663039137603304,0.0108445722707509,0.00067251531625936,0.108684851391122,0.000430822321693058,0.00612512863594435,0,0.00329953509806201,0.000559631588829934,0.000228077740605712,0.000362951657457486,0.000729977953469662,0.192393330315578,4.79547649971117e-05,0.0913885740563234,2.12218942840263e-05,0.000123090311347408,0,0.000222460300418381,0,0.388903015031796
"GGB4684_SGB6478",0,0.0388812260450358,0,0,0,0.0204859600422694,0,0,0,0,0.0101214203828642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00407826375825901,0,0.00349980151497042,0,0,0,9.60886969144537e-06,0,0,0,0,0,0,0.00136748369257125,0.00054065061723853,0,0,0,0,0
"Clostridium_sp_1001270H_150608_G6",0.0403705610450807,3.18105777437979e-05,0,0.000453612961671581,0,0,0,0.16404836723056,0,0,3.64383492056821e-05,0,0,0,0,0,0.00330608029365247,0,0.0126283082823346,0.00117462838815001,0,0.0212978436385201,0,0.000275536728729409,0.0105013753558743,0,0.000298840294884442,0,0.000869611896031413,0,0,0,0.0651123541480031,0,9.13717438579604e-06,0,0,0,0.00389058588358973,0,0,0.0127415600893611,2.98698660991039e-05,9.260010289237e-05,0,0.0164049376963067,0.0357578787847001,0.0262204770293265,0,0,0,0
