	taxa_id	W	detected_0.9	detected_0.8	detected_0.7	detected_0.6
1	Ruminococcus_bromii	0	FALSE	FALSE	FALSE	FALSE
2	Eubacterium_rectale	0	FALSE	FALSE	FALSE	FALSE
3	Phocaeicola_vulgatus	0	FALSE	FALSE	FALSE	FALSE
4	Bacteroides_uniformis	0	FALSE	FALSE	FALSE	FALSE
5	Bacteroides_cellulosilyticus	0	FALSE	FALSE	FALSE	FALSE
6	Phocaeicola_massiliensis	0	FALSE	FALSE	FALSE	FALSE
7	Akkermansia_muciniphila	0	FALSE	FALSE	FALSE	FALSE
8	GGB3277_SGB4327	0	FALSE	FALSE	FALSE	FALSE
9	Alistipes_putredinis	0	FALSE	FALSE	FALSE	FALSE
10	Roseburia_inulinivorans	0	FALSE	FALSE	FALSE	FALSE
11	Ruminococcus_lactaris	0	FALSE	FALSE	FALSE	FALSE
12	Bacteroides_xylanisolvens	0	FALSE	FALSE	FALSE	FALSE
13	Clostridium_sp_AM49_4BH	0	FALSE	FALSE	FALSE	FALSE
14	Lachnospira_sp_NSJ_43	0	FALSE	FALSE	FALSE	FALSE
15	GGB3256_SGB4303	0	FALSE	FALSE	FALSE	FALSE
16	Paraprevotella_clara	0	FALSE	FALSE	FALSE	FALSE
17	Eubacterium_ventriosum	0	FALSE	FALSE	FALSE	FALSE
18	Odoribacter_splanchnicus	0	FALSE	FALSE	FALSE	FALSE
19	Dorea_longicatena	0	FALSE	FALSE	FALSE	FALSE
20	Parabacteroides_distasonis	0	FALSE	FALSE	FALSE	FALSE
21	Faecalibacterium_prausnitzii	0	FALSE	FALSE	FALSE	FALSE
22	Roseburia_faecis	0	FALSE	FALSE	FALSE	FALSE
23	Coprococcus_comes	0	FALSE	FALSE	FALSE	FALSE
24	Bacteroides_faecis	0	FALSE	FALSE	FALSE	FALSE
25	Barnesiella_intestinihominis	0	FALSE	FALSE	FALSE	FALSE
26	GGB3746_SGB5089	0	FALSE	FALSE	FALSE	FALSE
27	Intestinibacter_bartlettii	0	FALSE	FALSE	FALSE	FALSE
28	Desulfovibrio_SGB5077	0	FALSE	FALSE	FALSE	FALSE
29	Firmicutes_bacterium_AF16_15	0	FALSE	FALSE	FALSE	FALSE
30	Bacteroides_caccae	0	FALSE	FALSE	FALSE	FALSE
31	Ruminococcus_torques	0	FALSE	FALSE	FALSE	FALSE
32	Clostridium_sp_AF12_28	0	FALSE	FALSE	FALSE	FALSE
33	Bacteroides_finegoldii	0	FALSE	FALSE	FALSE	FALSE
34	GGB9359_SGB14334	0	FALSE	FALSE	FALSE	FALSE
35	Dorea_formicigenerans	0	FALSE	FALSE	FALSE	FALSE
36	Veillonella_rogosae	0	FALSE	FALSE	FALSE	FALSE
37	Clostridium_sp_1001270J_160509_D11	0	FALSE	FALSE	FALSE	FALSE
38	Phocaeicola_dorei	0	FALSE	FALSE	FALSE	FALSE
39	Ruminococcus_bicirculans	0	FALSE	FALSE	FALSE	FALSE
40	Bacteroides_ovatus	0	FALSE	FALSE	FALSE	FALSE
41	Lachnospiraceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
42	Faecalibacillus_intestinalis	0	FALSE	FALSE	FALSE	FALSE
43	Blautia_wexlerae	0	FALSE	FALSE	FALSE	FALSE
44	Eubacterium_siraeum	0	FALSE	FALSE	FALSE	FALSE
45	Eubacteriaceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
46	Parabacteroides_merdae	0	FALSE	FALSE	FALSE	FALSE
47	Phascolarctobacterium_faecium	100	FALSE	FALSE	FALSE	FALSE
48	Clostridiaceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
49	Faecalicatena_fissicatena	0	FALSE	FALSE	FALSE	FALSE
50	GGB51269_SGB5062	0	FALSE	FALSE	FALSE	FALSE
51	Butyricimonas_virosa	0	FALSE	FALSE	FALSE	FALSE
52	Escherichia_coli	0	FALSE	FALSE	FALSE	FALSE
53	Streptococcus_thermophilus	0	FALSE	FALSE	FALSE	FALSE
54	Bacteroides_stercoris	0	FALSE	FALSE	FALSE	FALSE
55	Clostridiales_bacterium_KLE1615	0	FALSE	FALSE	FALSE	FALSE
56	Blautia_faecis	0	FALSE	FALSE	FALSE	FALSE
57	Candidatus_Cibionibacter_quicibialis	0	FALSE	FALSE	FALSE	FALSE
58	Blautia_obeum	0	FALSE	FALSE	FALSE	FALSE
59	Coprobacter_secundus	0	FALSE	FALSE	FALSE	FALSE
60	Anaerostipes_hadrus	0	FALSE	FALSE	FALSE	FALSE
61	Lachnospiraceae_bacterium_AM48_27BH	0	FALSE	FALSE	FALSE	FALSE
62	Bacteroides_salyersiae	0	FALSE	FALSE	FALSE	FALSE
63	Fusicatenibacter_saccharivorans	0	FALSE	FALSE	FALSE	FALSE
64	Anaerobutyricum_hallii	0	FALSE	FALSE	FALSE	FALSE
65	Clostridium_fessum	0	FALSE	FALSE	FALSE	FALSE
66	Lachnospira_eligens	0	FALSE	FALSE	FALSE	FALSE
67	Clostridium_sp_AF34_10BH	0	FALSE	FALSE	FALSE	FALSE
68	Streptococcus_salivarius	0	FALSE	FALSE	FALSE	FALSE
69	Clostridiaceae_unclassified_SGB4771	0	FALSE	FALSE	FALSE	FALSE
70	Haemophilus_parainfluenzae	0	FALSE	FALSE	FALSE	FALSE
