feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ruminococcus_bromii	Group	CTR	1.17571543835929	0.485586293992448	14	7	0.0322450231824785	0.716649874827564
Coprococcus_eutactus	Group	CTR	0.125000000000001	0.145833333333333	14	1	0.408158206855421	0.716649874827564
Dialister_invisus	Group	CTR	0.124999999999998	0.145833333333333	14	1	0.408158206855434	0.716649874827564
Bacteroides_uniformis	Group	CTR	-0.589737283155061	0.366664880453729	14	14	0.133727865854519	0.716649874827564
Clostridium_sp_1001270H_150608_G6	Group	CTR	0.125	0.145833333333333	14	1	0.408158206855426	0.716649874827564
Akkermansia_muciniphila	Group	CTR	2.07016027225252	2.08100649780647	14	8	0.339476141627797	0.716649874827564
Enterocloster_SGB14313	Group	CTR	-0.166666666666666	0.142318760638328	14	1	0.264296066010722	0.716649874827564
GGB9758_SGB15368	Group	CTR	0.125000000000001	0.145833333333333	14	1	0.408158206855424	0.716649874827564
Bacteroides_xylanisolvens	Group	CTR	1.12847233832855	0.96569482864856	14	12	0.265272100937246	0.716649874827564
Clostridium_sp_AM49_4BH	Group	CTR	0.785700058583937	0.495876235629943	14	3	0.139072508434873	0.716649874827564
Lachnospira_sp_NSJ_43	Group	CTR	0.31889979359709	0.251028978467614	14	2	0.22803109497777	0.716649874827564
Paraprevotella_clara	Group	CTR	-0.565515164574556	0.21740899525676	14	3	0.0231763781893959	0.716649874827564
Eubacterium_SGB6276	Group	CTR	-0.166666666666665	0.142318760638328	14	1	0.264296066010726	0.716649874827564
Eubacterium_ventriosum	Group	CTR	-0.923899107074076	0.967786723173881	14	8	0.35859014991606	0.716649874827564
GGB9345_SGB14311	Group	CTR	0.125	0.145833333333333	14	1	0.408158206855427	0.716649874827564
Dorea_longicatena	Group	CTR	0.951007066215471	0.740845901222813	14	7	0.223488833566411	0.716649874827564
Parabacteroides_distasonis	Group	CTR	-0.799200609513192	0.71992430056432	14	13	0.288698534578457	0.716649874827564
Faecalibacterium_prausnitzii	Group	CTR	1.37654824001836	0.74184415767275	14	14	0.0882310720898765	0.716649874827564
Roseburia_faecis	Group	CTR	2.98918632336509	2.15780202220704	14	9	0.191173438331438	0.716649874827564
Coprococcus_comes	Group	CTR	-0.877572562141271	0.982983292283098	14	4	0.389535773845556	0.716649874827564
GGB3746_SGB5089	Group	CTR	1.92214802550498	1.68365229347887	14	9	0.275868027974452	0.716649874827564
Desulfovibrio_SGB5077	Group	CTR	0.849152156042994	0.8365567596621	14	2	0.330108629877216	0.716649874827564
Ruminococcus_torques	Group	CTR	-1.61198994899038	1.72954082206053	14	11	0.369692524768949	0.716649874827564
GGB9342_SGB14306	Group	CTR	0.125	0.145833333333333	14	1	0.408158206855426	0.716649874827564
Clostridium_sp_AF12_28	Group	CTR	0.322984435395705	0.254942598895993	14	2	0.229231024388473	0.716649874827564
Veillonella_rogosae	Group	CTR	1.80159340962291	1.36463241741634	14	5	0.211395407082779	0.716649874827564
Clostridium_sp_1001270J_160509_D11	Group	CTR	1.20130400450761	0.846282094943816	14	3	0.181203066011911	0.716649874827564
Phocaeicola_dorei	Group	CTR	-3.98038647476799	2.93682031407227	14	11	0.200271858565062	0.716649874827564
Ruminococcus_bicirculans	Group	CTR	0.721108268430054	0.492506854038416	14	3	0.168850423661973	0.716649874827564
Lachnospiraceae_bacterium	Group	CTR	-3.78478103464499	1.61114263852518	14	6	0.0367708481093254	0.716649874827564
GGB3612_SGB4882	Group	CTR	0.125000000000002	0.145833333333333	14	1	0.408158206855418	0.716649874827564
Blautia_wexlerae	Group	CTR	2.3231967118059	0.97349789740716	14	12	0.0343572624173897	0.716649874827564
