	taxa_id	W	detected_0.9	detected_0.8	detected_0.7	detected_0.6
1	Ruminococcus_bromii	0	FALSE	FALSE	FALSE	FALSE
2	Eubacterium_rectale	0	FALSE	FALSE	FALSE	FALSE
3	Phocaeicola_vulgatus	0	FALSE	FALSE	FALSE	FALSE
4	Bacteroides_uniformis	0	FALSE	FALSE	FALSE	FALSE
5	Bacteroides_cellulosilyticus	0	FALSE	FALSE	FALSE	FALSE
6	Phocaeicola_massiliensis	0	FALSE	FALSE	FALSE	FALSE
7	GGB4684_SGB6478	0	FALSE	FALSE	FALSE	FALSE
8	Clostridium_sp_1001270H_150608_G6	0	FALSE	FALSE	FALSE	FALSE
9	GGB3277_SGB4327	0	FALSE	FALSE	FALSE	FALSE
10	Alistipes_putredinis	0	FALSE	FALSE	FALSE	FALSE
11	Enterocloster_SGB14313	0	FALSE	FALSE	FALSE	FALSE
12	GGB9758_SGB15368	0	FALSE	FALSE	FALSE	FALSE
13	Roseburia_inulinivorans	0	FALSE	FALSE	FALSE	FALSE
14	Ruminococcus_lactaris	0	FALSE	FALSE	FALSE	FALSE
15	Bacteroides_xylanisolvens	0	FALSE	FALSE	FALSE	FALSE
16	Clostridium_sp_AM49_4BH	0	FALSE	FALSE	FALSE	FALSE
17	Lachnospira_sp_NSJ_43	0	FALSE	FALSE	FALSE	FALSE
18	Odoribacter_splanchnicus	0	FALSE	FALSE	FALSE	FALSE
19	Dorea_longicatena	0	FALSE	FALSE	FALSE	FALSE
20	Parabacteroides_distasonis	0	FALSE	FALSE	FALSE	FALSE
21	Faecalibacterium_prausnitzii	0	FALSE	FALSE	FALSE	FALSE
22	Roseburia_faecis	0	FALSE	FALSE	FALSE	FALSE
23	Coprococcus_comes	0	FALSE	FALSE	FALSE	FALSE
24	Barnesiella_intestinihominis	0	FALSE	FALSE	FALSE	FALSE
25	Desulfovibrio_SGB5077	0	FALSE	FALSE	FALSE	FALSE
26	Firmicutes_bacterium_AF16_15	0	FALSE	FALSE	FALSE	FALSE
27	Bacteroides_caccae	0	FALSE	FALSE	FALSE	FALSE
28	Ruminococcus_torques	0	FALSE	FALSE	FALSE	FALSE
29	GGB9342_SGB14306	0	FALSE	FALSE	FALSE	FALSE
30	Dorea_formicigenerans	0	FALSE	FALSE	FALSE	FALSE
31	Phocaeicola_dorei	0	FALSE	FALSE	FALSE	FALSE
32	Bacteroides_ovatus	0	FALSE	FALSE	FALSE	FALSE
33	Lachnospiraceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
34	Faecalibacillus_intestinalis	0	FALSE	FALSE	FALSE	FALSE
35	GGB3612_SGB4882	0	FALSE	FALSE	FALSE	FALSE
36	Blautia_wexlerae	0	FALSE	FALSE	FALSE	FALSE
37	Eubacterium_siraeum	0	FALSE	FALSE	FALSE	FALSE
38	Eubacteriaceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
39	GGB3653_SGB4964	0	FALSE	FALSE	FALSE	FALSE
40	Staphylococcus_SGB6340	0	FALSE	FALSE	FALSE	FALSE
41	Parabacteroides_merdae	0	FALSE	FALSE	FALSE	FALSE
42	Phascolarctobacterium_faecium	0	FALSE	FALSE	FALSE	FALSE
43	Clostridiaceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
44	Faecalicatena_fissicatena	0	FALSE	FALSE	FALSE	FALSE
45	Blautia_sp_Marseille_P3087	0	FALSE	FALSE	FALSE	FALSE
46	Butyricimonas_virosa	0	FALSE	FALSE	FALSE	FALSE
47	Bacteroides_stercoris	0	FALSE	FALSE	FALSE	FALSE
48	Clostridiales_bacterium_KLE1615	0	FALSE	FALSE	FALSE	FALSE
49	Blautia_faecis	0	FALSE	FALSE	FALSE	FALSE
50	GGB9512_SGB14909	0	FALSE	FALSE	FALSE	FALSE
51	Candidatus_Cibionibacter_quicibialis	0	FALSE	FALSE	FALSE	FALSE
52	Blautia_obeum	0	FALSE	FALSE	FALSE	FALSE
53	Anaerostipes_hadrus	0	FALSE	FALSE	FALSE	FALSE
54	Bacteroides_salyersiae	0	FALSE	FALSE	FALSE	FALSE
55	Fusicatenibacter_saccharivorans	0	FALSE	FALSE	FALSE	FALSE
56	Anaerobutyricum_hallii	0	FALSE	FALSE	FALSE	FALSE
57	Clostridium_fessum	0	FALSE	FALSE	FALSE	FALSE
58	Lachnospira_eligens	0	FALSE	FALSE	FALSE	FALSE
59	Clostridium_sp_AF34_10BH	0	FALSE	FALSE	FALSE	FALSE
60	Streptococcus_salivarius	0	FALSE	FALSE	FALSE	FALSE
61	Haemophilus_parainfluenzae	0	FALSE	FALSE	FALSE	FALSE
62	Roseburia_hominis	0	FALSE	FALSE	FALSE	FALSE
63	Blautia_SGB4815	0	FALSE	FALSE	FALSE	FALSE
64	Parasutterella_excrementihominis	0	FALSE	FALSE	FALSE	FALSE
65	Clostridium_sp_AF20_17LB	0	FALSE	FALSE	FALSE	FALSE
66	Clostridium_sp_AM22_11AC	0	FALSE	FALSE	FALSE	FALSE
67	Clostridiaceae_bacterium_AF18_31LB	0	FALSE	FALSE	FALSE	FALSE
68	Clostridiaceae_bacterium_Marseille_Q4149	0	FALSE	FALSE	FALSE	FALSE
69	Collinsella_SGB14861	0	FALSE	FALSE	FALSE	FALSE
