	taxa_id	W	detected_0.9	detected_0.8	detected_0.7	detected_0.6
1	Coprococcus_eutactus	0	FALSE	FALSE	FALSE	FALSE
2	Eubacterium_rectale	0	FALSE	FALSE	FALSE	FALSE
3	Phocaeicola_vulgatus	0	FALSE	FALSE	FALSE	FALSE
4	Bacteroides_uniformis	0	FALSE	FALSE	FALSE	FALSE
5	GGB3619_SGB4894	0	FALSE	FALSE	FALSE	FALSE
6	Bacteroides_cellulosilyticus	0	FALSE	FALSE	FALSE	FALSE
7	GGB4684_SGB6478	0	FALSE	FALSE	FALSE	FALSE
8	Clostridium_sp_1001270H_150608_G6	0	FALSE	FALSE	FALSE	FALSE
9	Alistipes_putredinis	0	FALSE	FALSE	FALSE	FALSE
10	Enterocloster_SGB14313	0	FALSE	FALSE	FALSE	FALSE
11	GGB9758_SGB15368	0	FALSE	FALSE	FALSE	FALSE
12	Roseburia_inulinivorans	0	FALSE	FALSE	FALSE	FALSE
13	Ruminococcus_lactaris	0	FALSE	FALSE	FALSE	FALSE
14	Bacteroides_xylanisolvens	0	FALSE	FALSE	FALSE	FALSE
15	Clostridium_sp_AM49_4BH	0	FALSE	FALSE	FALSE	FALSE
16	Lachnospira_sp_NSJ_43	0	FALSE	FALSE	FALSE	FALSE
17	GGB3256_SGB4303	0	FALSE	FALSE	FALSE	FALSE
18	Eubacterium_SGB6276	0	FALSE	FALSE	FALSE	FALSE
19	Eubacterium_ventriosum	0	FALSE	FALSE	FALSE	FALSE
20	GGB9345_SGB14311	0	FALSE	FALSE	FALSE	FALSE
21	Odoribacter_splanchnicus	0	FALSE	FALSE	FALSE	FALSE
22	Dorea_longicatena	0	FALSE	FALSE	FALSE	FALSE
23	Parabacteroides_distasonis	0	FALSE	FALSE	FALSE	FALSE
24	Faecalibacterium_prausnitzii	0	FALSE	FALSE	FALSE	FALSE
25	Roseburia_faecis	0	FALSE	FALSE	FALSE	FALSE
26	Coprococcus_comes	0	FALSE	FALSE	FALSE	FALSE
27	Barnesiella_intestinihominis	0	FALSE	FALSE	FALSE	FALSE
28	GGB3746_SGB5089	0	FALSE	FALSE	FALSE	FALSE
29	Intestinibacter_bartlettii	0	FALSE	FALSE	FALSE	FALSE
30	Desulfovibrio_SGB5077	0	FALSE	FALSE	FALSE	FALSE
31	Firmicutes_bacterium_AF16_15	0	FALSE	FALSE	FALSE	FALSE
32	Bacteroides_caccae	0	FALSE	FALSE	FALSE	FALSE
33	Ruminococcus_torques	0	FALSE	FALSE	FALSE	FALSE
34	GGB9342_SGB14306	0	FALSE	FALSE	FALSE	FALSE
35	Clostridium_sp_AF12_28	0	FALSE	FALSE	FALSE	FALSE
36	Bacteroides_finegoldii	0	FALSE	FALSE	FALSE	FALSE
37	Dorea_formicigenerans	0	FALSE	FALSE	FALSE	FALSE
38	Clostridium_sp_1001270J_160509_D11	0	FALSE	FALSE	FALSE	FALSE
39	Phocaeicola_dorei	0	FALSE	FALSE	FALSE	FALSE
40	Ruminococcus_bicirculans	0	FALSE	FALSE	FALSE	FALSE
41	Bacteroides_ovatus	0	FALSE	FALSE	FALSE	FALSE
42	Lachnospiraceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
43	Faecalibacillus_intestinalis	0	FALSE	FALSE	FALSE	FALSE
44	GGB3612_SGB4882	0	FALSE	FALSE	FALSE	FALSE
45	Blautia_wexlerae	0	FALSE	FALSE	FALSE	FALSE
46	Eubacterium_siraeum	0	FALSE	FALSE	FALSE	FALSE
47	Eubacteriaceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
48	GGB3653_SGB4964	0	FALSE	FALSE	FALSE	FALSE
49	GGB3614_SGB4886	0	FALSE	FALSE	FALSE	FALSE
