"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Klebsiella_pneumoniae|Klebsiella_pneumoniae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Klebsiella_pneumoniae|Klebsiella_pneumoniae" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Collinsella_SGB14861|Collinsella_SGB14861" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Collinsella_SGB14861|Collinsella_SGB14861" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Vescimonas_SGB15087|Vescimonas_SGB15087" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Vescimonas_SGB15087|Vescimonas_SGB15087" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|GGB9453_SGB14845|GGB9453_SGB14845" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9453_SGB14845|GGB9453_SGB14845" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Ruminococcus_lactaris|Ruminococcus_lactaris" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_lactaris|Ruminococcus_lactaris" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Faecalibacillus_intestinalis|Faecalibacillus_intestinalis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Faecalibacillus_intestinalis|Faecalibacillus_intestinalis" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|GGB3612_SGB4882|GGB3612_SGB4882" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3612_SGB4882|GGB3612_SGB4882" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Staphylococcus_SGB6340|Staphylococcus_SGB6340" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Staphylococcus_SGB6340|Staphylococcus_SGB6340" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AF20_17LB|Clostridium_sp_AF20_17LB" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AF20_17LB|Clostridium_sp_AF20_17LB" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|GGB2653_SGB3574|GGB2653_SGB3574" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB2653_SGB3574|GGB2653_SGB3574" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Eubacterium_ramulus|Eubacterium_ramulus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Eubacterium_ramulus|Eubacterium_ramulus" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Eubacterium_sp_AF34_35BH|Eubacterium_sp_AF34_35BH" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Eubacterium_sp_AF34_35BH|Eubacterium_sp_AF34_35BH" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Hydrogenoanaerobacterium_saccharovorans|Hydrogenoanaerobacterium_saccharovorans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Hydrogenoanaerobacterium_saccharovorans|Hydrogenoanaerobacterium_saccharovorans" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Blautia_glucerasea|Blautia_glucerasea" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_glucerasea|Blautia_glucerasea" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|GGB9453_SGB14844|GGB9453_SGB14844" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9453_SGB14844|GGB9453_SGB14844" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Alistipes_ihumii|Alistipes_ihumii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_ihumii|Alistipes_ihumii" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|GGB4566_SGB6305|GGB4566_SGB6305" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB4566_SGB6305|GGB4566_SGB6305" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AF27_2AA|Clostridium_sp_AF27_2AA" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AF27_2AA|Clostridium_sp_AF27_2AA" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
"NA|NA|NA|NA|NA|NA|GGB9619_SGB15067|GGB9619_SGB15067" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9619_SGB15067|GGB9619_SGB15067" "LEfSe" "CTR" -Inf 0.0455002638963585 0.0455002638963585 "*"
