"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "LEfSe" "ADA" 4.3602168775199 0.0344568951513756 0.0344568951513756 "*"
"NA|NA|NA|NA|NA|NA|Ruminococcus_bromii|Ruminococcus_bromii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_bromii|Ruminococcus_bromii" "LEfSe" "CTR" 4.2986955038997 0.00410009804847079 0.00410009804847079 "**"
"NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "LEfSe" "CTR" 3.92525412086313 0.0344568951513756 0.0344568951513756 "*"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "LEfSe" "CTR" 3.74635120239868 0.0038532525030483 0.0038532525030483 "**"
"NA|NA|NA|NA|NA|NA|Bacteroides_eggerthii|Bacteroides_eggerthii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_eggerthii|Bacteroides_eggerthii" "LEfSe" "ADA" 3.68351043855855 0.0215584872506182 0.0215584872506182 "*"
"NA|NA|NA|NA|NA|NA|Blautia_faecis|Blautia_faecis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_faecis|Blautia_faecis" "LEfSe" "CTR" 3.62391573254275 0.0456288249906215 0.0456288249906215 "*"
"NA|NA|NA|NA|NA|NA|Desulfovibrio_piger|Desulfovibrio_piger" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Desulfovibrio_piger|Desulfovibrio_piger" "LEfSe" "ADA" 3.61879534237526 0.0435660037235627 0.0435660037235627 "*"
"NA|NA|NA|NA|NA|NA|Clostridiaceae_unclassified_SGB15090|Clostridiaceae_unclassified_SGB15090" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiaceae_unclassified_SGB15090|Clostridiaceae_unclassified_SGB15090" "LEfSe" "ADA" 3.4752721319195 0.0203651580707087 0.0203651580707087 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_thetaiotaomicron|Bacteroides_thetaiotaomicron" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_thetaiotaomicron|Bacteroides_thetaiotaomicron" "LEfSe" "ADA" 3.37690913251287 0.00837202644616763 0.00837202644616763 "**"
"NA|NA|NA|NA|NA|NA|Eubacteriaceae_bacterium|Eubacteriaceae_bacterium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Eubacteriaceae_bacterium|Eubacteriaceae_bacterium" "LEfSe" "ADA" 3.26094655928148 0.00123984990046857 0.00123984990046857 "**"
"NA|NA|NA|NA|NA|NA|Alistipes_communis|Alistipes_communis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_communis|Alistipes_communis" "LEfSe" "CTR" 3.1784761785291 0.036594032190771 0.036594032190771 "*"
"NA|NA|NA|NA|NA|NA|GGB3612_SGB4882|GGB3612_SGB4882" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3612_SGB4882|GGB3612_SGB4882" "LEfSe" "ADA" 3.11242482894987 0.0302332453769996 0.0302332453769996 "*"
"NA|NA|NA|NA|NA|NA|Staphylococcus_SGB6340|Staphylococcus_SGB6340" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Staphylococcus_SGB6340|Staphylococcus_SGB6340" "LEfSe" "ADA" 3.07351299310067 0.0493714235309053 0.0493714235309053 "*"
"NA|NA|NA|NA|NA|NA|GGB9512_SGB14909|GGB9512_SGB14909" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9512_SGB14909|GGB9512_SGB14909" "LEfSe" "ADA" 3.051155270123 0.049413527918249 0.049413527918249 "*"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_catenulatum|Bifidobacterium_catenulatum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_catenulatum|Bifidobacterium_catenulatum" "LEfSe" "ADA" 2.80740326333072 0.0248665387181891 0.0248665387181891 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_leptum|Clostridium_leptum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_leptum|Clostridium_leptum" "LEfSe" "CTR" 2.79644304602501 0.0172854451440307 0.0172854451440307 "*"
"NA|NA|NA|NA|NA|NA|Acidaminococcus_intestini|Acidaminococcus_intestini" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Acidaminococcus_intestini|Acidaminococcus_intestini" "LEfSe" "ADA" 2.67260526192665 0.0493714235309053 0.0493714235309053 "*"
"NA|NA|NA|NA|NA|NA|Erysipelatoclostridium_ramosum|Erysipelatoclostridium_ramosum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Erysipelatoclostridium_ramosum|Erysipelatoclostridium_ramosum" "LEfSe" "CTR" 2.60066110892408 0.0296637921237337 0.0296637921237337 "*"
"NA|NA|NA|NA|NA|NA|Turicibacter_bilis|Turicibacter_bilis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Turicibacter_bilis|Turicibacter_bilis" "LEfSe" "ADA" 2.5441213890705 0.0496813535717887 0.0496813535717887 "*"
