"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "LEfSe" "ADA" 4.29849889215895 3.5818719956881e-06 3.5818719956881e-06 "***"
"NA|NA|NA|NA|NA|NA|Faecalibacterium_prausnitzii|Faecalibacterium_prausnitzii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Faecalibacterium_prausnitzii|Faecalibacterium_prausnitzii" "LEfSe" "CTR" 4.25508351950359 0.00249655780605588 0.00249655780605588 "**"
"NA|NA|NA|NA|NA|NA|Ruminococcus_bromii|Ruminococcus_bromii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_bromii|Ruminococcus_bromii" "LEfSe" "CTR" 4.12010643278075 0.000265231561983512 0.000265231561983512 "***"
"NA|NA|NA|NA|NA|NA|Bacteroides_stercoris|Bacteroides_stercoris" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_stercoris|Bacteroides_stercoris" "LEfSe" "ADA" 4.04052255640496 0.00412456312704206 0.00412456312704206 "**"
"NA|NA|NA|NA|NA|NA|Phocaeicola_massiliensis|Phocaeicola_massiliensis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_massiliensis|Phocaeicola_massiliensis" "LEfSe" "ADA" 3.76602184472734 0.0162344818950735 0.0162344818950735 "*"
"NA|NA|NA|NA|NA|NA|Candidatus_Cibionibacter_quicibialis|Candidatus_Cibionibacter_quicibialis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Candidatus_Cibionibacter_quicibialis|Candidatus_Cibionibacter_quicibialis" "LEfSe" "CTR" 3.70567014099783 0.00296312901292491 0.00296312901292491 "**"
"NA|NA|NA|NA|NA|NA|Gemmiger_formicilis|Gemmiger_formicilis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Gemmiger_formicilis|Gemmiger_formicilis" "LEfSe" "CTR" 3.6525534733746 0.0441953810400071 0.0441953810400071 "*"
"NA|NA|NA|NA|NA|NA|Fusicatenibacter_saccharivorans|Fusicatenibacter_saccharivorans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Fusicatenibacter_saccharivorans|Fusicatenibacter_saccharivorans" "LEfSe" "CTR" 3.56411536828675 0.0101681592808438 0.0101681592808438 "*"
"NA|NA|NA|NA|NA|NA|Parabacteroides_merdae|Parabacteroides_merdae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Parabacteroides_merdae|Parabacteroides_merdae" "LEfSe" "ADA" 3.53321634249098 0.00465760599970255 0.00465760599970255 "**"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "LEfSe" "CTR" 3.50821486105313 0.00304237905059789 0.00304237905059789 "**"
"NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "LEfSe" "CTR" 3.50586184423663 0.0315480491630086 0.0315480491630086 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_thetaiotaomicron|Bacteroides_thetaiotaomicron" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_thetaiotaomicron|Bacteroides_thetaiotaomicron" "LEfSe" "ADA" 3.47961176816969 1.04767803225281e-05 1.04767803225281e-05 "***"
"NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "LEfSe" "CTR" 3.41673749272149 0.0264940271108475 0.0264940271108475 "*"
"NA|NA|NA|NA|NA|NA|Alistipes_shahii|Alistipes_shahii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_shahii|Alistipes_shahii" "LEfSe" "ADA" 3.37704811255213 0.0399601986827509 0.0399601986827509 "*"
"NA|NA|NA|NA|NA|NA|Firmicutes_bacterium_AF16_15|Firmicutes_bacterium_AF16_15" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Firmicutes_bacterium_AF16_15|Firmicutes_bacterium_AF16_15" "LEfSe" "CTR" 3.32827766761804 0.0244708772351799 0.0244708772351799 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_salyersiae|Bacteroides_salyersiae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_salyersiae|Bacteroides_salyersiae" "LEfSe" "ADA" 3.31017916900451 0.000932734647444517 0.000932734647444517 "***"
"NA|NA|NA|NA|NA|NA|Streptococcus_salivarius|Streptococcus_salivarius" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Streptococcus_salivarius|Streptococcus_salivarius" "LEfSe" "CTR" 3.23631214891342 0.0123565139053372 0.0123565139053372 "*"
"NA|NA|NA|NA|NA|NA|Flavonifractor_plautii|Flavonifractor_plautii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Flavonifractor_plautii|Flavonifractor_plautii" "LEfSe" "ADA" 3.22899769676067 0.0196399560827473 0.0196399560827473 "*"
"NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "LEfSe" "CTR" 3.1956577358438 0.041317850921482 0.041317850921482 "*"
"NA|NA|NA|NA|NA|NA|Anaerobutyricum_hallii|Anaerobutyricum_hallii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Anaerobutyricum_hallii|Anaerobutyricum_hallii" "LEfSe" "CTR" 3.17584859575738 0.00333006242850258 0.00333006242850258 "**"
