feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Eubacterium_sp_AF34_35BH	Group	CTR	1.3409433175208	0.111753510304367	13	2	1.16416540393973e-07	2.99190508812511e-05
Staphylococcus_SGB6340	Group	CTR	1.47577960404669	0.155949796200937	13	2	1.27949921653893e-06	0.000164415649325252
Faecalibacillus_intestinalis	Group	CTR	1.57842686249947	0.189595246531601	13	2	4.46311115924031e-06	0.00038233985597492
GGB9453_SGB14844	Group	CTR	1.68013281454064	0.22293215790472	13	2	1.14677172644558e-05	0.000736800834241287
Lachnospiraceae_bacterium	Group	CTR	7.51419002484416	1.05061354477602	13	4	1.86345484233662e-05	0.000957815788961024
Adlercreutzia_equolifaciens	Group	CTR	3.89349104287704	0.68933571468168	13	4	0.000149218230812173	0.00639151421978808
Eubacterium_ventriosum	Group	CTR	0.5	0.163888694339272	13	1	0.0110307205571389	0.128858871962942
Oscillospiraceae_bacterium_Marseille_Q3528	Group	CTR	0.500000000000001	0.163888694339272	13	1	0.0110307205571388	0.128858871962942
GGB2653_SGB3574	Group	CTR	0.500000000000001	0.163888694339272	13	1	0.0110307205571388	0.128858871962942
Blautia_glucerasea	Group	CTR	0.499999999999999	0.163888694339272	13	1	0.011030720557139	0.128858871962942
Bifidobacterium_catenulatum	Group	CTR	0.5	0.163888694339272	13	1	0.0110307205571389	0.128858871962942
Blautia_luti	Group	CTR	0.500000000000001	0.163888694339272	13	1	0.0110307205571389	0.128858871962942
Klebsiella_pneumoniae	Group	CTR	0.5	0.163888694339272	13	1	0.011030720557139	0.128858871962942
Ruminococcus_callidus	Group	CTR	0.5	0.163888694339272	13	1	0.011030720557139	0.128858871962942
Ruminococcus_sp_AF41_9	Group	CTR	0.500000000000002	0.163888694339272	13	1	0.0110307205571387	0.128858871962942
GGB9770_SGB15390	Group	CTR	0.5	0.163888694339272	13	1	0.0110307205571389	0.128858871962942
GGB9619_SGB15067	Group	CTR	0.500000000000001	0.163888694339272	13	1	0.0110307205571388	0.128858871962942
GGB9453_SGB14845	Group	CTR	0.5	0.163888694339272	13	1	0.011030720557139	0.128858871962942
GGB4566_SGB6305	Group	CTR	0.499999999999999	0.163888694339272	13	1	0.011030720557139	0.128858871962942
Blautia_faecicola	Group	CTR	0.5	0.163888694339272	13	1	0.0110307205571389	0.128858871962942
Alistipes_ihumii	Group	CTR	0.500000000000001	0.163888694339272	13	1	0.0110307205571389	0.128858871962942
Vescimonas_SGB15087	Group	CTR	0.499999999999999	0.163888694339272	13	1	0.011030720557139	0.128858871962942
GGB9708_SGB15234	Group	CTR	2.21877390421033	0.788655896548049	13	2	0.0168667935358338	0.188468084291708
GGB3612_SGB4882	Group	CTR	1.78263627496002	0.652657187948588	13	2	0.0195310938433717	0.208394702181079
Faecalicatena_fissicatena	Group	CTR	5.86598990755632	2.171670878932	13	7	0.0206146609660179	0.208394702181079
GGB9760_SGB15373	Group	CTR	1.62326032790985	0.603762235387367	13	2	0.0210827325163737	0.208394702181079
Bacteroides_cellulosilyticus	Group	CTR	3.92884797264151	1.49252060371262	13	6	0.0233089595992397	0.215536550211086
Gemmiger_SGB15295	Group	CTR	1.44496282438457	0.549792026280326	13	2	0.0234825813459549	0.215536550211086
Clostridiales_bacterium_KLE1615	Group	CTR	4.54082947333201	1.78277983097416	13	10	0.0271372478223349	0.240492161735865
