"","SRR13836099","SRR13836088","SRR13836083","SRR13836086","SRR13836077"
"Ruminococcus_bromii",0,0.175276390170495,0.00100974258860622,0,0.106605538865576
"Coprococcus_eutactus",0,0,0.0314150868234391,0,0.0251715398488875
"Dialister_invisus",0.000152338533041277,0.0260185089486411,0.067275558851616,0.0349315705979742,0
"Eubacterium_rectale",0,0.097076752430401,0.00414652769059063,0.138130209798348,1.84823015221564e-05
"Phocaeicola_vulgatus",0.527973226081006,0.565110478253311,0.0335866507702853,0.246350985663141,0.32883150982081
"Bacteroides_uniformis",0.353138193408862,0.749012907466153,1.55701361080725,0.372229632342589,0.259738287998561
"GGB3619_SGB4894",0,0.00525447091873951,0.0120787334900392,0,0
"Bacteroides_cellulosilyticus",0.000149331873867786,0.0156586247624914,5.36508060596815e-05,0,0.0393517119201454
"Phocaeicola_massiliensis",0.000517322883538472,0.149267091423036,0.000924527611064798,0.000295075051506815,0.0515995834636447
"GGB4684_SGB6478",0,0,0.0438259416717014,0,0
"Clostridium_sp_1001270H_150608_G6",0,0.0496884860293471,0.000158220497659157,0,0
"Akkermansia_muciniphila",0.000369555764810952,0.00179385805560705,0.0114182286800836,0.000629318135462687,0
"GGB3277_SGB4327",0,0.000456864987068766,0.000431635086091555,0,1.24443585820245e-05
"Alistipes_putredinis",0.648496051233083,1.48071094724604,0.675351257353701,0.00429582072520438,0.429923153839248
"Enterocloster_SGB14313",0,0,0.00301526850021045,0,0
"GGB9758_SGB15368",0,0.15965871412621,0,0,0
"Roseburia_inulinivorans",0.000844669244776495,0.0040244523432837,0.00103648067094629,0.0445961737608364,0.0366237838933351
"Ruminococcus_lactaris",0,0,0,0,0.0778890565283939
"Bacteroides_xylanisolvens",1.52149997549191,0.0218229163373174,0.0159348182964051,0.000637283666617579,0.026223304101049
"Clostridium_sp_AM49_4BH",0,0,0.000983143337674487,0,0.000505604096409742
"Lachnospira_sp_NSJ_43",0,0.000858610002783823,0.000478212705903425,0,0
"GGB3256_SGB4303",0,0,0,0.94129817783662,0.217071304042708
"Paraprevotella_clara",0,0,0.0434781946704581,0.0696626699607644,0.124440853080816
"Eubacterium_SGB6276",0,0,0.00583134365087994,0,0
"Clostridium_SGB4648",0,0,0,0,0
"Eubacterium_ventriosum",0,0.000355776477286095,0.00160702810916329,0,0.0306807831389244
"GGB9345_SGB14311",0,0.00118267403540943,0.000887100530334685,0,0
"Odoribacter_splanchnicus",0.000177393991076574,0.0181959107864845,0.0217118203563013,0,0.0101730221093918
"Dorea_longicatena",0.0108854940249769,0.00278181494675154,0.00482091022780988,0.00733143262695581,0.00698699827359331
"Parabacteroides_distasonis",0.165476821697512,0.0925067285935245,0.0321991090686861,0.000483937596748167,0.202236906161271
"Faecalibacterium_prausnitzii",1,0.109840402624529,0.702853416556735,0.522793833456135,0.534246979665058
"Roseburia_faecis",0.0496707870190435,0.0249119292780793,0.00190036464858622,0.557746899099697,0.12999888621452
"Coprococcus_comes",0,0.0216525967609821,0.000436512187755961,0.00917793425076301,0
"Bacteroides_faecis",0,0,0,0,0
"Barnesiella_intestinihominis",0.00153234158969889,0.368414932107294,0.0158107927314457,0.000240281033702348,0
"GGB3746_SGB5089",0,0,0,0.0446870587030944,0
"Intestinibacter_bartlettii",0,0.000899010519708993,0,0.00776536479519741,0.00192610847417899
"Desulfovibrio_SGB5077",0,0,0.000338969598523467,0,0
"Firmicutes_bacterium_AF16_15",0.00978747217511077,0.0401611181710905,0.0464569056655835,0.0213421211679304,0
"Bacteroides_caccae",0.00109115087098513,0.000460435420018895,0.196323458024206,0.0893147614598754,0.0316897741888586
"Ruminococcus_torques",0.128603893843566,0.00254090002933607,0.0128397238098493,0.0351218132302224,0.0271720773555943
"GGB9342_SGB14306",0,0.0234376668282832,0.000555989889267222,0,0
"Clostridium_sp_AF12_28",0,0,0,5.77570507509818e-05,0
"Bacteroides_finegoldii",0.000225775068531376,0,0.00231852520642182,0,0.0104500512734794
"GGB9359_SGB14334",0,0,0,0,0
"Dorea_formicigenerans",0,0.000259518229820161,0.00173857043809539,0.00258442825424937,0.0024829436097505
"Veillonella_rogosae",0.000391890906203526,0.000308893668983343,0,0.0317385578461384,0
"Clostridium_sp_1001270J_160509_D11",0,0.000944153652737115,0,0,0
"GGB9636_SGB15107",0,0,0,0,0
"Phocaeicola_dorei",0.00522949641338748,0.0116778637562584,0.000731604121288959,0.00240986939482404,0.0981239968524676
"Ruminococcus_bicirculans",0.0179240539989896,0.0222651633830439,0.00220784865451656,0.000256568621519563,0.350045998123583
"Bacteroides_ovatus",0.0563624057114249,0.143601243320965,0.160796893363632,0.195163548733138,0.0379498080331109
"Lachnospiraceae_bacterium",0,0.000157029666184045,0,0.00613368874500854,0
"Faecalibacillus_intestinalis",0.00333300204158466,0,0.0003973051570007,0.00162074842151579,0.00618447388838025
"GGB3612_SGB4882",0,0,0,0,0
"Blautia_wexlerae",0.0279658042437266,0.00347851135230992,0.00321746585222786,0.0639834040767714,0.0020167421074669
"Eubacterium_siraeum",0,0.0461912515308,0,0,0
"Eubacteriaceae_bacterium",0,0.00534913982397959,0.000417816615489255,0.0036924993315981,0
"GGB3653_SGB4964",0,4.61026490288456e-05,0,0.00226765705332311,0
"GGB3614_SGB4886",0,0,0,0,0
"Staphylococcus_SGB6340",0,0,0,0,0.0049825621597443
"Parabacteroides_merdae",0.126467026166288,0.141496503096752,0.0763687068222644,0.000659539067250045,0.000284630387560733
"Phascolarctobacterium_faecium",0.0431633745346528,0.0138249482847073,0.00273411449878498,0.0475817662426294,0.763499477807758
"Clostridiaceae_bacterium",0.0398572836284311,0.0154615552504402,0.00377244300822631,0.0406016468525825,0.0182642733263225
"Faecalicatena_fissicatena",0,0.0640812740295309,0.000886937849051593,0.0184254250980491,0
"GGB51269_SGB5062",0,0.00403578944344496,0,0,0
"Blautia_sp_Marseille_P3087",0,0.000178021731737025,0.00100645087538133,0.0010612948087261,0
"Butyricimonas_virosa",0,0,0,0,0.0294580536945629
"Escherichia_coli",1.41585104283871,0.0649493249447446,0.00640615478883518,0.00489458479901867,0.0392502121797622
"Streptococcus_thermophilus",0,0,0,0,0
