feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB14025_SGB14906	Group	CTR	-5.8034991076493	0.959076053036266	20	4	1.01511197550487e-05	0.0035021363154918
Phocaeicola_massiliensis	Group	CTR	-2.58651559821424	0.528229159185805	20	5	0.000116190928386841	0.0200429351467301
GGB9608_SGB15041	Group	CTR	-3.16088354078967	0.700462364158076	20	5	0.00026942832657212	0.0309842575557938
Blautia_massiliensis	Group	CTR	5.72719262937641	1.40364478069798	20	19	0.000702453668125871	0.0605866288758563
Blautia_obeum	Group	CTR	3.74088600060671	1.02197213179974	20	18	0.00178948509357113	0.10289539288034
Clostridium_sp_AF20_17LB	Group	CTR	-5.27091908211392	1.40888209612556	20	12	0.00149494561912943	0.10289539288034
Anaerostipes_caccae	Group	CTR	-1.98816229374172	0.590164494230938	20	3	0.00341951640948178	0.168533308753031
Gemmiger_formicilis	Group	CTR	3.71816473819845	1.12935924189166	20	19	0.00404973975406488	0.174645026894048
Bacteroides_nordii	Group	CTR	-3.87449088824371	1.19880063332762	20	4	0.00462544392236214	0.177308683690549
GGB3746_SGB5089	Group	CTR	-3.13969257945812	0.999049829297494	20	17	0.0056279618237075	0.194164682917909
Eubacteriales_unclassified_SGB15145	Group	CTR	-4.25849889897317	1.40428019918919	20	6	0.00716027456666174	0.224572247772573
