"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "LEfSe" "ADA" 4.4149775995025 0.0181630183478764 0.0181630183478764 "*"
"NA|NA|NA|NA|NA|NA|Gemmiger_formicilis|Gemmiger_formicilis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Gemmiger_formicilis|Gemmiger_formicilis" "LEfSe" "CTR" 3.91731643244561 0.0081509715935027 0.0081509715935027 "**"
"NA|NA|NA|NA|NA|NA|Phocaeicola_massiliensis|Phocaeicola_massiliensis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_massiliensis|Phocaeicola_massiliensis" "LEfSe" "ADA" 3.83347383122116 0.00428650229749611 0.00428650229749611 "**"
"NA|NA|NA|NA|NA|NA|Anaerobutyricum_hallii|Anaerobutyricum_hallii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Anaerobutyricum_hallii|Anaerobutyricum_hallii" "LEfSe" "CTR" 3.77905679966801 0.0233422020128909 0.0233422020128909 "*"
"NA|NA|NA|NA|NA|NA|Dorea_longicatena|Dorea_longicatena" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Dorea_longicatena|Dorea_longicatena" "LEfSe" "CTR" 3.75691555880536 0.0376353137873143 0.0376353137873143 "*"
"NA|NA|NA|NA|NA|NA|Blautia_obeum|Blautia_obeum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_obeum|Blautia_obeum" "LEfSe" "CTR" 3.56814882284101 0.00812702465291022 0.00812702465291022 "**"
"NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "LEfSe" "CTR" 3.54893777889899 0.0107334161029972 0.0107334161029972 "*"
"NA|NA|NA|NA|NA|NA|Roseburia_hominis|Roseburia_hominis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Roseburia_hominis|Roseburia_hominis" "LEfSe" "CTR" 3.42254571572807 0.0375634718858985 0.0375634718858985 "*"
"NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "LEfSe" "CTR" 3.38904648783162 0.0232902349289104 0.0232902349289104 "*"
"NA|NA|NA|NA|NA|NA|GGB9608_SGB15041|GGB9608_SGB15041" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9608_SGB15041|GGB9608_SGB15041" "LEfSe" "ADA" 3.10917603592479 0.00428650229749611 0.00428650229749611 "**"
"NA|NA|NA|NA|NA|NA|GGB3612_SGB4882|GGB3612_SGB4882" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3612_SGB4882|GGB3612_SGB4882" "LEfSe" "ADA" 3.08498954631099 0.0493899604224281 0.0493899604224281 "*"
"NA|NA|NA|NA|NA|NA|Blautia_glucerasea|Blautia_glucerasea" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_glucerasea|Blautia_glucerasea" "LEfSe" "CTR" 3.06829336972595 0.0233422020128909 0.0233422020128909 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AF34_13|Clostridium_sp_AF34_13" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AF34_13|Clostridium_sp_AF34_13" "LEfSe" "ADA" 3.05500620696327 0.0385797037005941 0.0385797037005941 "*"
"NA|NA|NA|NA|NA|NA|GGB3746_SGB5089|GGB3746_SGB5089" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3746_SGB5089|GGB3746_SGB5089" "LEfSe" "ADA" 3.03626570032305 0.0138754468828428 0.0138754468828428 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AF20_17LB|Clostridium_sp_AF20_17LB" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AF20_17LB|Clostridium_sp_AF20_17LB" "LEfSe" "ADA" 3.01853050483948 0.00626690266055414 0.00626690266055414 "**"
"NA|NA|NA|NA|NA|NA|GGB14025_SGB14906|GGB14025_SGB14906" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB14025_SGB14906|GGB14025_SGB14906" "LEfSe" "ADA" 2.92383071188531 0.00149142241154125 0.00149142241154125 "**"
