"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Enterococcus_faecium|Enterococcus_faecium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Enterococcus_faecium|Enterococcus_faecium" "LEfSe" "ADA" 4.08367998354651 0.018971368154142 0.018971368154142 "*"
"NA|NA|NA|NA|NA|NA|Prevotella_copri_clade_A|Prevotella_copri_clade_A" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Prevotella_copri_clade_A|Prevotella_copri_clade_A" "LEfSe" "CTR" 3.94367577628399 0.0361046110412747 0.0361046110412747 "*"
"NA|NA|NA|NA|NA|NA|Roseburia_inulinivorans|Roseburia_inulinivorans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Roseburia_inulinivorans|Roseburia_inulinivorans" "LEfSe" "CTR" 3.80863148838837 0.0367138563627042 0.0367138563627042 "*"
"NA|NA|NA|NA|NA|NA|Megasphaera_micronuciformis|Megasphaera_micronuciformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Megasphaera_micronuciformis|Megasphaera_micronuciformis" "LEfSe" "ADA" 3.60807950591918 0.0387025689760649 0.0387025689760649 "*"
"NA|NA|NA|NA|NA|NA|Ruminococcus_torques|Ruminococcus_torques" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_torques|Ruminococcus_torques" "LEfSe" "CTR" 3.59742548701205 0.00577351784589219 0.00577351784589219 "**"
"NA|NA|NA|NA|NA|NA|Ruminococcus_lactaris|Ruminococcus_lactaris" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_lactaris|Ruminococcus_lactaris" "LEfSe" "CTR" 3.56207077234808 0.00354993307007569 0.00354993307007569 "**"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AM22_11AC|Clostridium_sp_AM22_11AC" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AM22_11AC|Clostridium_sp_AM22_11AC" "LEfSe" "CTR" 3.5529823427061 0.043906589323704 0.043906589323704 "*"
"NA|NA|NA|NA|NA|NA|GGB3277_SGB4327|GGB3277_SGB4327" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3277_SGB4327|GGB3277_SGB4327" "LEfSe" "CTR" 3.51406485073459 0.0168274094827569 0.0168274094827569 "*"
"NA|NA|NA|NA|NA|NA|GGB80011_SGB15267|GGB80011_SGB15267" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB80011_SGB15267|GGB80011_SGB15267" "LEfSe" "CTR" 3.35724856887507 0.0294359369343823 0.0294359369343823 "*"
"NA|NA|NA|NA|NA|NA|Enterococcus_faecalis|Enterococcus_faecalis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Enterococcus_faecalis|Enterococcus_faecalis" "LEfSe" "ADA" 3.15225826096112 0.00815475433737759 0.00815475433737759 "**"
"NA|NA|NA|NA|NA|NA|Holdemanella_biformis|Holdemanella_biformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Holdemanella_biformis|Holdemanella_biformis" "LEfSe" "ADA" 3.12134620963975 0.0404239793369082 0.0404239793369082 "*"
"NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_KLE1615|Clostridiales_bacterium_KLE1615" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_KLE1615|Clostridiales_bacterium_KLE1615" "LEfSe" "CTR" 2.97461062637697 0.00721742677001062 0.00721742677001062 "**"
"NA|NA|NA|NA|NA|NA|Holdemania_filiformis|Holdemania_filiformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Holdemania_filiformis|Holdemania_filiformis" "LEfSe" "CTR" 2.59299151267473 0.0345937350407237 0.0345937350407237 "*"
"NA|NA|NA|NA|NA|NA|Ruminococcus_sp_AF41_9|Ruminococcus_sp_AF41_9" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_sp_AF41_9|Ruminococcus_sp_AF41_9" "LEfSe" "CTR" 2.46421485924178 0.0168274094827569 0.0168274094827569 "*"
"NA|NA|NA|NA|NA|NA|Blautia_sp_Marseille_P3087|Blautia_sp_Marseille_P3087" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_sp_Marseille_P3087|Blautia_sp_Marseille_P3087" "LEfSe" "CTR" 2.31420517297906 0.038301077269573 0.038301077269573 "*"
