feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia_massiliensis	Group	CTR	3.02176669046175	0.868815119129985	42	36	0.00123280520442377	0.42161937991293
GGB3256_SGB4303	Group	CTR	3.12242683769577	1.00190636082648	42	12	0.00338193940762248	0.578311638703443
Phocaeicola_massiliensis	Group	CTR	-2.13844856912261	0.723334742907396	42	22	0.00520042911172676	0.59284891873685
Bacteroides_finegoldii	Group	CTR	-5.07770304516985	1.92762697364077	42	24	0.0119366614301632	0.708343682639309
Blautia_wexlerae	Group	CTR	2.08443127086619	0.794454252034435	42	42	0.0122523101708892	0.708343682639309
Enterococcus_faecium	Group	CTR	-1.37133676019011	0.553985372110687	42	10	0.0176422779992426	0.708343682639309
Clostridium_symbiosum	Group	CTR	-2.41938451684984	0.986459687133837	42	13	0.0186406232273502	0.708343682639309
Butyricimonas_SGB15260	Group	CTR	-2.81360199236098	1.14144492929265	42	15	0.01809368792736	0.708343682639309
Citrobacter_freundii	Group	CTR	2.14659761926045	0.867180152806376	42	12	0.017643374446587	0.708343682639309
Faecalicatena_fissicatena	Group	CTR	2.19820570287181	0.939259164947567	42	32	0.0243395854164675	0.83241382124319
Eubacterium_rectale	Group	CTR	1.69251065855889	1.29009170327525	42	30	0.197023278409848	0.869778659820941
Phocaeicola_vulgatus	Group	CTR	-1.15732982947874	0.68232703157953	42	42	0.097628008094592	0.869778659820941
Bacteroides_uniformis	Group	CTR	-1.92429475703388	0.91252170469323	42	42	0.0412743883586946	0.869778659820941
Bacteroides_cellulosilyticus	Group	CTR	-2.60521564988966	1.3395804677071	42	20	0.0588532672226417	0.869778659820941
Enterocloster_SGB14313	Group	CTR	0.575399171618611	0.477362303213039	42	3	0.235142241931652	0.869778659820941
GGB9758_SGB15368	Group	CTR	2.18994532225626	1.5708472533099	42	17	0.170978610532228	0.869778659820941
Roseburia_inulinivorans	Group	CTR	1.57841052921474	1.10595405664494	42	37	0.161284386458692	0.869778659820941
GGB9345_SGB14311	Group	CTR	1.02085973179248	0.508617826700366	42	7	0.0515269189179756	0.869778659820941
Odoribacter_splanchnicus	Group	CTR	-1.31407249278418	0.939914249043846	42	30	0.169794731384805	0.869778659820941
