	taxa_id	W	detected_0.9	detected_0.8	detected_0.7	detected_0.6
1	Ruminococcus_bromii	0	FALSE	FALSE	FALSE	FALSE
2	Coprococcus_eutactus	1	FALSE	FALSE	FALSE	FALSE
3	Dialister_invisus	0	FALSE	FALSE	FALSE	FALSE
4	Eubacterium_rectale	0	FALSE	FALSE	FALSE	FALSE
5	Phocaeicola_vulgatus	0	FALSE	FALSE	FALSE	FALSE
6	Bacteroides_uniformis	0	FALSE	FALSE	FALSE	FALSE
7	GGB3619_SGB4894	4	FALSE	FALSE	FALSE	FALSE
8	Bacteroides_cellulosilyticus	0	FALSE	FALSE	FALSE	FALSE
9	Phocaeicola_massiliensis	0	FALSE	FALSE	FALSE	FALSE
10	Clostridium_sp_1001270H_150608_G6	0	FALSE	FALSE	FALSE	FALSE
11	Akkermansia_muciniphila	1	FALSE	FALSE	FALSE	FALSE
12	GGB3277_SGB4327	2	FALSE	FALSE	FALSE	FALSE
13	Alistipes_putredinis	298	TRUE	TRUE	TRUE	TRUE
14	GGB9758_SGB15368	0	FALSE	FALSE	FALSE	FALSE
15	Roseburia_inulinivorans	1	FALSE	FALSE	FALSE	FALSE
16	Ruminococcus_lactaris	0	FALSE	FALSE	FALSE	FALSE
17	Bacteroides_xylanisolvens	0	FALSE	FALSE	FALSE	FALSE
18	Clostridium_sp_AM49_4BH	0	FALSE	FALSE	FALSE	FALSE
19	Lachnospira_sp_NSJ_43	3	FALSE	FALSE	FALSE	FALSE
20	GGB3256_SGB4303	0	FALSE	FALSE	FALSE	FALSE
21	Paraprevotella_clara	0	FALSE	FALSE	FALSE	FALSE
22	Eubacterium_SGB6276	6	FALSE	FALSE	FALSE	FALSE
23	Clostridium_SGB4648	1	FALSE	FALSE	FALSE	FALSE
24	Eubacterium_ventriosum	1	FALSE	FALSE	FALSE	FALSE
25	GGB9345_SGB14311	1	FALSE	FALSE	FALSE	FALSE
26	Odoribacter_splanchnicus	0	FALSE	FALSE	FALSE	FALSE
27	Dorea_longicatena	240	FALSE	FALSE	TRUE	TRUE
28	Parabacteroides_distasonis	0	FALSE	FALSE	FALSE	FALSE
29	Faecalibacterium_prausnitzii	0	FALSE	FALSE	FALSE	FALSE
30	Roseburia_faecis	0	FALSE	FALSE	FALSE	FALSE
31	Coprococcus_comes	194	FALSE	FALSE	FALSE	TRUE
32	Bacteroides_faecis	0	FALSE	FALSE	FALSE	FALSE
33	Barnesiella_intestinihominis	0	FALSE	FALSE	FALSE	FALSE
34	GGB3746_SGB5089	0	FALSE	FALSE	FALSE	FALSE
35	Intestinibacter_bartlettii	5	FALSE	FALSE	FALSE	FALSE
36	Firmicutes_bacterium_AF16_15	0	FALSE	FALSE	FALSE	FALSE
37	Bacteroides_caccae	2	FALSE	FALSE	FALSE	FALSE
38	Ruminococcus_torques	0	FALSE	FALSE	FALSE	FALSE
39	GGB9342_SGB14306	2	FALSE	FALSE	FALSE	FALSE
40	Clostridium_sp_AF12_28	4	FALSE	FALSE	FALSE	FALSE
41	Bacteroides_finegoldii	7	FALSE	FALSE	FALSE	FALSE
42	GGB9359_SGB14334	3	FALSE	FALSE	FALSE	FALSE
43	Dorea_formicigenerans	223	FALSE	FALSE	TRUE	TRUE
44	Veillonella_rogosae	0	FALSE	FALSE	FALSE	FALSE
45	Clostridium_sp_1001270J_160509_D11	4	FALSE	FALSE	FALSE	FALSE
46	GGB9636_SGB15107	2	FALSE	FALSE	FALSE	FALSE
47	Phocaeicola_dorei	0	FALSE	FALSE	FALSE	FALSE
48	Ruminococcus_bicirculans	0	FALSE	FALSE	FALSE	FALSE
49	Bacteroides_ovatus	0	FALSE	FALSE	FALSE	FALSE
50	Lachnospiraceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
51	Faecalibacillus_intestinalis	6	FALSE	FALSE	FALSE	FALSE
52	Blautia_wexlerae	295	TRUE	TRUE	TRUE	TRUE
53	Eubacterium_siraeum	0	FALSE	FALSE	FALSE	FALSE
54	Eubacteriaceae_bacterium	4	FALSE	FALSE	FALSE	FALSE
55	GGB3653_SGB4964	3	FALSE	FALSE	FALSE	FALSE
56	GGB3614_SGB4886	3	FALSE	FALSE	FALSE	FALSE
57	Staphylococcus_SGB6340	3	FALSE	FALSE	FALSE	FALSE
58	Parabacteroides_merdae	265	FALSE	TRUE	TRUE	TRUE
59	Phascolarctobacterium_faecium	0	FALSE	FALSE	FALSE	FALSE
60	Clostridiaceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
61	Faecalicatena_fissicatena	0	FALSE	FALSE	FALSE	FALSE
62	Blautia_sp_Marseille_P3087	2	FALSE	FALSE	FALSE	FALSE
63	Butyricimonas_virosa	3	FALSE	FALSE	FALSE	FALSE
64	Escherichia_coli	0	FALSE	FALSE	FALSE	FALSE
65	Streptococcus_thermophilus	0	FALSE	FALSE	FALSE	FALSE
66	Bacteroides_stercoris	197	FALSE	FALSE	FALSE	TRUE
67	GGB9747_SGB15356	0	FALSE	FALSE	FALSE	FALSE
68	Clostridiales_bacterium_KLE1615	0	FALSE	FALSE	FALSE	FALSE
69	Blautia_faecis	206	FALSE	FALSE	FALSE	TRUE
70	GGB9512_SGB14909	0	FALSE	FALSE	FALSE	FALSE
71	Candidatus_Cibionibacter_quicibialis	0	FALSE	FALSE	FALSE	FALSE
72	Blautia_obeum	226	FALSE	FALSE	TRUE	TRUE
73	GGB9635_SGB15106	0	FALSE	FALSE	FALSE	FALSE
74	Coprobacter_secundus	5	FALSE	FALSE	FALSE	FALSE
75	Anaerostipes_hadrus	271	FALSE	TRUE	TRUE	TRUE
76	Lachnospiraceae_bacterium_AM48_27BH	3	FALSE	FALSE	FALSE	FALSE
77	Blautia_sp_MSK_20_85	0	FALSE	FALSE	FALSE	FALSE
78	Bacteroides_salyersiae	0	FALSE	FALSE	FALSE	FALSE
79	Fusicatenibacter_saccharivorans	0	FALSE	FALSE	FALSE	FALSE
80	Anaerobutyricum_hallii	246	FALSE	TRUE	TRUE	TRUE
81	Clostridium_fessum	0	FALSE	FALSE	FALSE	FALSE
82	Lachnospira_eligens	244	FALSE	FALSE	TRUE	TRUE
83	Clostridium_sp_AF34_10BH	126	FALSE	FALSE	FALSE	FALSE
84	Eubacterium_sp_AF16_48	4	FALSE	FALSE	FALSE	FALSE
85	Lachnospiraceae_bacterium_BX3	0	FALSE	FALSE	FALSE	FALSE
86	Streptococcus_salivarius	0	FALSE	FALSE	FALSE	FALSE
87	Clostridiaceae_unclassified_SGB4771	3	FALSE	FALSE	FALSE	FALSE
88	Haemophilus_parainfluenzae	0	FALSE	FALSE	FALSE	FALSE
89	Bacteroides_clarus	0	FALSE	FALSE	FALSE	FALSE
90	Roseburia_hominis	0	FALSE	FALSE	FALSE	FALSE
91	Blautia_SGB4815	214	FALSE	FALSE	FALSE	TRUE
92	Parasutterella_excrementihominis	213	FALSE	FALSE	FALSE	TRUE
93	GGB9712_SGB15244	4	FALSE	FALSE	FALSE	FALSE
94	Clostridium_sp_AF20_17LB	0	FALSE	FALSE	FALSE	FALSE
95	Clostridium_sp_AM22_11AC	139	FALSE	FALSE	FALSE	FALSE
96	Clostridiaceae_bacterium_AF18_31LB	0	FALSE	FALSE	FALSE	FALSE
97	Clostridiaceae_bacterium_Marseille_Q4149	0	FALSE	FALSE	FALSE	FALSE
98	Collinsella_SGB14861	0	FALSE	FALSE	FALSE	FALSE
99	Lacrimispora_celerecrescens	0	FALSE	FALSE	FALSE	FALSE
100	Clostridium_sp_AF36_4	3	FALSE	FALSE	FALSE	FALSE
101	Oscillospiraceae_bacterium_Marseille_Q3528	12	FALSE	FALSE	FALSE	FALSE
102	Dysosmobacter_sp_BX15	0	FALSE	FALSE	FALSE	FALSE
103	Coprobacter_fastidiosus	0	FALSE	FALSE	FALSE	FALSE
104	Coprococcus_catus	0	FALSE	FALSE	FALSE	FALSE
105	Butyricicoccus_sp_AM29_23AC	0	FALSE	FALSE	FALSE	FALSE
106	Dorea_sp_AF24_7LB	3	FALSE	FALSE	FALSE	FALSE
107	GGB2982_SGB3964	6	FALSE	FALSE	FALSE	FALSE
108	Coprococcus_SGB4669	0	FALSE	FALSE	FALSE	FALSE
109	Faecalibacterium_SGB15346	1	FALSE	FALSE	FALSE	FALSE
110	Catenibacterium_SGB4425	0	FALSE	FALSE	FALSE	FALSE
111	Clostridium_sp_AF34_13	4	FALSE	FALSE	FALSE	FALSE
112	Eubacterium_ramulus	3	FALSE	FALSE	FALSE	FALSE
113	Clostridium_saudiense	5	FALSE	FALSE	FALSE	FALSE
114	Alistipes_shahii	287	TRUE	TRUE	TRUE	TRUE
115	GGB80011_SGB15267	0	FALSE	FALSE	FALSE	FALSE
116	GGB2653_SGB3574	4	FALSE	FALSE	FALSE	FALSE
117	Clostridium_sp_AM33_3	4	FALSE	FALSE	FALSE	FALSE
118	Blautia_massiliensis	0	FALSE	FALSE	FALSE	FALSE
119	GGB9708_SGB15233	0	FALSE	FALSE	FALSE	FALSE
120	GGB14025_SGB14906	9	FALSE	FALSE	FALSE	FALSE
121	Lacrimispora_amygdalina	0	FALSE	FALSE	FALSE	FALSE
122	Blautia_glucerasea	1	FALSE	FALSE	FALSE	FALSE
123	Bifidobacterium_catenulatum	0	FALSE	FALSE	FALSE	FALSE
124	Agathobaculum_butyriciproducens	0	FALSE	FALSE	FALSE	FALSE
125	Alistipes_onderdonkii	0	FALSE	FALSE	FALSE	FALSE
126	GGB80140_SGB15224	0	FALSE	FALSE	FALSE	FALSE
127	Clostridiaceae_bacterium_Marseille_Q4143	0	FALSE	FALSE	FALSE	FALSE
128	Parasutterella_SGB9260	0	FALSE	FALSE	FALSE	FALSE
129	GGB33469_SGB15236	0	FALSE	FALSE	FALSE	FALSE
130	Turicibacter_bilis	5	FALSE	FALSE	FALSE	FALSE
131	GGB79734_SGB15291	0	FALSE	FALSE	FALSE	FALSE
132	Hydrogenoanaerobacterium_saccharovorans	0	FALSE	FALSE	FALSE	FALSE
133	Desulfovibrio_piger	0	FALSE	FALSE	FALSE	FALSE
134	Blautia_luti	0	FALSE	FALSE	FALSE	FALSE
135	Oscillibacter_sp_ER4	0	FALSE	FALSE	FALSE	FALSE
136	Clostridiaceae_bacterium_Marseille_Q4145	5	FALSE	FALSE	FALSE	FALSE
137	Clostridiales_Family_XIII_bacterium_BX16	0	FALSE	FALSE	FALSE	FALSE
138	GGB9713_SGB15249	0	FALSE	FALSE	FALSE	FALSE
139	GGB9602_SGB15028	6	FALSE	FALSE	FALSE	FALSE
140	Oscillospiraceae_unclassified_SGB15256	0	FALSE	FALSE	FALSE	FALSE
141	Roseburia_sp_AF02_12	0	FALSE	FALSE	FALSE	FALSE
142	GGB9602_SGB15031	3	FALSE	FALSE	FALSE	FALSE
143	Waltera_intestinalis	0	FALSE	FALSE	FALSE	FALSE
144	Dorea_sp_AF36_15AT	135	FALSE	FALSE	FALSE	FALSE
145	Bilophila_wadsworthia	1	FALSE	FALSE	FALSE	FALSE
146	GGB9677_SGB15180	0	FALSE	FALSE	FALSE	FALSE
147	Romboutsia_timonensis	5	FALSE	FALSE	FALSE	FALSE
148	GGB9559_SGB14969	0	FALSE	FALSE	FALSE	FALSE
149	Clostridium_SGB4909	7	FALSE	FALSE	FALSE	FALSE
150	Lachnospiraceae_bacterium_Marseille_Q4251	3	FALSE	FALSE	FALSE	FALSE
151	Bifidobacterium_longum	0	FALSE	FALSE	FALSE	FALSE
152	Negativibacillus_massiliensis	0	FALSE	FALSE	FALSE	FALSE
153	GGB9699_SGB15216	0	FALSE	FALSE	FALSE	FALSE
154	Sutterella_wadsworthensis	0	FALSE	FALSE	FALSE	FALSE
