feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia_wexlerae	Group	CTR	5.2157620784657	1.09979333583701	31	29	5.18705284100969e-05	0.00596511076716114
Anaerostipes_hadrus	Group	CTR	6.16002390957803	1.26575480404654	31	28	3.6742246810327e-05	0.00596511076716114
Parasutterella_excrementihominis	Group	CTR	-5.47353638496671	1.1488939258293	31	10	4.88408225491417e-05	0.00596511076716114
Blautia_SGB4815	Group	CTR	4.31072379833823	1.0676557934417	31	21	0.00036123886607427	0.0311568521989058
Dorea_formicigenerans	Group	CTR	3.97623571400578	1.05493256829835	31	28	0.000745864000437875	0.0443711451751798
Dorea_sp_AF36_15AT	Group	CTR	4.12580401184666	1.09831366428448	31	25	0.000771672090003127	0.0443711451751798
Blautia_faecis	Group	CTR	3.61917543401779	1.12521393174078	31	31	0.00318190689089146	0.109439318681789
Blautia_obeum	Group	CTR	4.24659299847365	1.3352734905662	31	29	0.00348936958115849	0.109439318681789
Anaerobutyricum_hallii	Group	CTR	5.2251586206509	1.618919453479	31	28	0.00309253913639925	0.109439318681789
Lachnospira_eligens	Group	CTR	3.95945492650539	1.22565004640782	31	24	0.00306937274442672	0.109439318681789
Alistipes_shahii	Group	CTR	-6.10445431076109	1.90176263366163	31	24	0.00323558979957402	0.109439318681789
Butyricimonas_faecihominis	Group	CTR	-2.74999225573118	0.882075719803021	31	10	0.00409158594841605	0.117633096016962
GGB9614_SGB15049	Group	CTR	-3.59109401548199	1.18301231904317	31	24	0.00503138143162028	0.133525122608384
Parabacteroides_merdae	Group	CTR	-3.17295602211243	1.08248502427789	31	22	0.00652453137206616	0.160783094525916
Clostridiales_Family_XIII_bacterium_BX16	Group	CTR	2.2748185600515	0.82715443008949	31	17	0.0101508847288529	0.233470348763617
Clostridium_sp_AF34_10BH	Group	CTR	3.3043342724185	1.21846014444881	31	28	0.0111287376931651	0.233982373242237
Clostridium_sp_AM22_11AC	Group	CTR	2.94629076659835	1.09239028947092	31	27	0.0115295662177334	0.233982373242237
