feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Blautia_wexlerae	Group	CTR	1.69392744113918	0.316657273278652	284	280	1.83319659509646e-07	6.48951594664146e-05
Blautia_obeum	Group	CTR	1.89787405785965	0.398911116606798	284	260	3.1885427107606e-06	0.000564372059804626
Anaerostipes_hadrus	Group	CTR	1.57839452383544	0.413666004057475	284	259	0.000167171005506449	0.0153050990592102
Blautia_SGB4815	Group	CTR	2.18595252149227	0.57425362059376	284	172	0.000172938972420454	0.0153050990592102
Phocaeicola_vulgatus	Group	CTR	-1.6607608991729	0.456016276806182	284	269	0.000326747532223924	0.0176665845365129
Faecalibacillus_intestinalis	Group	CTR	2.53346460611764	0.719264854526399	284	179	0.000499056060353472	0.0176665845365129
Streptococcus_thermophilus	Group	CTR	1.69483212260601	0.480501193584317	284	117	0.000490847918425173	0.0176665845365129
Blautia_faecis	Group	CTR	1.05855847838967	0.290751090364975	284	276	0.000323481365320808	0.0176665845365129
Bacteroides_salyersiae	Group	CTR	-2.08326539762577	0.58711952216749	284	72	0.000456354453220332	0.0176665845365129
Lachnospiraceae_bacterium_Marseille_Q4251	Group	CTR	2.08077377790024	0.588526674390649	284	189	0.000475513475134746	0.0176665845365129
Dorea_formicigenerans	Group	CTR	1.40300785297452	0.415406355345549	284	240	0.000835584639977473	0.022753612504002
Flavonifractor_plautii	Group	CTR	-1.76079103584164	0.520310088562311	284	240	0.000816293995812634	0.022753612504002
Megasphaera_micronuciformis	Group	CTR	-1.13581713431528	0.333619086413745	284	31	0.000759687939703119	0.022753612504002
Ruminococcus_sp_AF41_9	Group	CTR	1.39314226478758	0.420489447554293	284	51	0.00104315125234457	0.0263768245235699
Blautia_massiliensis	Group	CTR	1.59295892593756	0.486255647928448	284	244	0.00118467094573617	0.0279582343193737
Phocaeicola_massiliensis	Group	CTR	-3.00268238100908	0.92923761998533	284	115	0.0013813694950626	0.03056280007826
Tyzzerella_nexilis	Group	CTR	-1.47208945666485	0.460681920341301	284	45	0.00155756855164469	0.0324340745460129
Faecalicatena_fissicatena	Group	CTR	1.57196020839664	0.502599095139464	284	164	0.0019463809600472	0.0382788255475949
Anaerobutyricum_hallii	Group	CTR	1.6854502692683	0.548395657259839	284	225	0.00232374617072573	0.0391717211636623
Collinsella_SGB14861	Group	CTR	2.04869586922514	0.666133014894791	284	160	0.00230894152958004	0.0391717211636623
Clostridium_symbiosum	Group	CTR	-1.52261934848548	0.494368230982997	284	90	0.00227484277946747	0.0391717211636623
Romboutsia_timonensis	Group	CTR	1.73802191910036	0.574008881940899	284	171	0.00269103402465234	0.043301183851224
Bacteroides_stercoris	Group	CTR	-2.49405085559267	0.831815335269682	284	192	0.00295703731671384	0.0455126613094217
Dorea_longicatena	Group	CTR	1.46413187924038	0.491657815923475	284	242	0.00315782125364038	0.0465778634911957
Bifidobacterium_longum	Group	CTR	1.60237188629185	0.54698152923154	284	229	0.00367722622004651	0.0520695232758586
Alistipes_shahii	Group	CTR	-1.9044483832399	0.661201996744421	284	215	0.00427797676091742	0.058246298975568
Lachnospiraceae_bacterium	Group	CTR	1.37619495728412	0.488248348777998	284	193	0.00516707342324177	0.0663924005470375
Coprococcus_catus	Group	CTR	1.44578805261756	0.514280441249621	284	191	0.00528121667325632	0.0663924005470375
Dorea_sp_AF36_15AT	Group	CTR	1.49312597440561	0.532939193943934	284	184	0.00543892546854262	0.0663924005470375
Bifidobacterium_pseudocatenulatum	Group	CTR	2.14160024294138	0.794963413374005	284	144	0.00748420640655389	0.088313635597336
Fusicatenibacter_saccharivorans	Group	CTR	0.991402416161173	0.382867088670595	284	269	0.010113291177229	0.108488032628457
Blautia_faecicola	Group	CTR	0.871298709744216	0.335693850123813	284	55	0.0099543139356006	0.108488032628457
Holdemania_filiformis	Group	CTR	-1.44012388725484	0.554443242120686	284	124	0.00988654447602442	0.108488032628457
Bacteroides_uniformis	Group	CTR	-0.910254885357774	0.35367688517435	284	279	0.0105846638367114	0.110205029358701
Butyricimonas_faecihominis	Group	CTR	-0.91103623661483	0.359324460614382	284	71	0.0118024889667421	0.119373745549335
Bacteroides_thetaiotaomicron	Group	CTR	-1.1752255530452	0.466247781542619	284	251	0.0122673882678911	0.120629317967596
Bacteroides_caccae	Group	CTR	-1.5402272337883	0.622614376691965	284	199	0.0139615761665554	0.133578323323259
Veillonella_atypica	Group	CTR	-1.55653009838792	0.636776603483173	284	99	0.0151223104737306	0.139920601512473
Eubacterium_sp_AF34_35BH	Group	CTR	1.44205570319404	0.591656713929816	284	82	0.0154149815225606	0.139920601512473
Clostridium_sp_AF27_2AA	Group	CTR	1.31454220454795	0.542891278482402	284	115	0.0160954165638625	0.142444436590183
Bacteroides_cellulosilyticus	Group	CTR	-1.48205531697395	0.617761662099616	284	148	0.0171007672034202	0.144135037857399
Parabacteroides_merdae	Group	CTR	-1.41783285368876	0.590321927789149	284	205	0.0169735718847596	0.144135037857399
Desulfovibrio_SGB5077	Group	CTR	1.15727540191684	0.491607496710393	284	69	0.0192603918313802	0.15856229554206
Clostridiales_Family_XIII_bacterium_BX16	Group	CTR	1.36511379275972	0.585602115502327	284	155	0.0204515554673713	0.164542059896578
Roseburia_inulinivorans	Group	CTR	1.11762406485269	0.483879555692395	284	256	0.0216294837429651	0.170151938777992
GGB79973_SGB14341	Group	CTR	0.789376400724903	0.345018903835132	284	59	0.0228862294714006	0.176124461584257
Bacteroides_finegoldii	Group	CTR	-1.76165470685595	0.775938330191783	284	102	0.023955968558636	0.180434316377812
Anaerobutyricum_soehngenii	Group	CTR	1.00754368422861	0.446178404829356	284	179	0.0247001151730424	0.182163349401187
Ruminococcus_bromii	Group	CTR	1.83465579814129	0.868865918400441	284	197	0.0356143721681795	0.214354664513443
Lachnospira_sp_NSJ_43	Group	CTR	1.39261356130072	0.638527786430844	284	125	0.0300174433167971	0.214354664513443
Blautia_sp_Marseille_P3087	Group	CTR	1.12048143063114	0.526456749459968	284	135	0.0341777501092176	0.214354664513443
Streptococcus_salivarius	Group	CTR	1.02333343867523	0.484948346751507	284	247	0.0357257774189072	0.214354664513443
Clostridiaceae_bacterium_AF18_31LB	Group	CTR	1.06653785635403	0.497508972877023	284	228	0.0329076804796573	0.214354664513443
Blautia_luti	Group	CTR	0.951438426217536	0.44814654179182	284	108	0.0346394417780739	0.214354664513443
Veillonella_parvula	Group	CTR	-1.24435758310588	0.587235134121212	284	156	0.0349667170745621	0.214354664513443
Hungatella_hathewayi	Group	CTR	-0.915140951272235	0.428434239236992	284	145	0.0335455298733635	0.214354664513443
Clostridium_sp_NSJ_42	Group	CTR	0.749623683701938	0.346572627768238	284	50	0.0313843481781306	0.214354664513443
GGB9595_SGB15019	Group	CTR	0.646528627514494	0.305411990235652	284	21	0.0351446529685455	0.214354664513443
Enterocloster_bolteae	Group	CTR	-1.27332823318119	0.588421849276959	284	182	0.0313114138794819	0.214354664513443
Eubacteriaceae_bacterium	Group	CTR	1.00226791536873	0.486642323752272	284	174	0.0403587159605729	0.230435249194239
Blautia_sp_MSK_20_85	Group	CTR	1.21035315253163	0.587105885290952	284	91	0.0401748813284859	0.230435249194239
Ellagibacter_isourolithinifaciens	Group	CTR	0.575040740214444	0.277387789243406	284	44	0.0390813854475157	0.230435249194239
Eubacterium_ramulus	Group	CTR	1.13331982726611	0.555557921038366	284	206	0.0422858177196945	0.236295888619379
Adlercreutzia_equolifaciens	Group	CTR	1.10828655157055	0.544437317379843	284	176	0.042720160654351	0.236295888619379
Clostridiales_bacterium	Group	CTR	-1.12202973901553	0.553442937546111	284	230	0.043569525187207	0.237286337173404
GGB9345_SGB14311	Group	CTR	1.02120524652434	0.510141466422852	284	66	0.0462631102543315	0.244434940746766
Evtepia_gabavorous	Group	CTR	1.26595708579036	0.632255849877964	284	122	0.0462336296027743	0.244434940746766
