2025-01-17 22:52:36 INFO::Writing function arguments to log file
2025-01-17 22:52:36 DEBUG::Function arguments
2025-01-17 22:52:36 DEBUG::Output folder: G:/deeplearning/CRC/benchmarker/code/Meta_iTL/Result/feature//TL/Meta_iTL/FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_US-CRC-3_CHN_SH-CRC-2_CHN_SH-CRC-3_CHN_WF-CRC/S0.5/US-CRC-2_MaAslin
2025-01-17 22:52:36 DEBUG::Min Abundance: 0.000000
2025-01-17 22:52:36 DEBUG::Min Prevalence: 0.000000
2025-01-17 22:52:36 DEBUG::Normalization: NONE
2025-01-17 22:52:36 DEBUG::Transform: LOG
2025-01-17 22:52:36 DEBUG::Analysis method: LM
2025-01-17 22:52:36 DEBUG::Max significance: 0.250000
2025-01-17 22:52:36 DEBUG::Random effects:
2025-01-17 22:52:36 DEBUG::Fixed effects: Group
2025-01-17 22:52:36 DEBUG::Correction method: BH
2025-01-17 22:52:36 DEBUG::Standardize: TRUE
2025-01-17 22:52:36 DEBUG::Cores: 1
2025-01-17 22:52:36 INFO::Verifying options selected are valid
2025-01-17 22:52:36 INFO::Determining format of input files
2025-01-17 22:52:36 INFO::Input format is data samples as rows and metadata samples as rows
2025-01-17 22:52:36 DEBUG::A total of 2 samples were found in both the data and metadata
2025-01-17 22:52:36 DEBUG::Reordering data/metadata to use same sample ordering
2025-01-17 22:52:36 INFO::Formula for fixed effects: expr ~  Group
2025-01-17 22:52:36 INFO::Filter data based on min abundance and min prevalence
2025-01-17 22:52:36 INFO::Total samples in data: 2
2025-01-17 22:52:36 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-01-17 22:52:36 INFO::Total filtered features: 217
2025-01-17 22:52:36 INFO::Filtered feature names from abundance and prevalence filtering:
2025-01-17 22:52:36 INFO::Total filtered features with variance filtering: 0
2025-01-17 22:52:36 INFO::Filtered feature names from variance filtering:
2025-01-17 22:52:36 INFO::Running selected normalization method: NONE
2025-01-17 22:52:36 INFO::Applying z-score to standardize continuous metadata
2025-01-17 22:52:36 INFO::Running selected transform method: LOG
2025-01-17 22:52:36 INFO::Running selected analysis method: LM
2025-01-17 22:52:36 INFO::Fitting model to feature number 1, Ruminococcus_bromii
2025-01-17 22:52:36 WARNING::Fitting problem for feature 1 returning NA
2025-01-17 22:52:36 INFO::Fitting model to feature number 2, Eubacterium_rectale
2025-01-17 22:52:36 WARNING::Fitting problem for feature 2 returning NA
2025-01-17 22:52:36 INFO::Fitting model to feature number 3, Bacteroides_uniformis
2025-01-17 22:52:36 WARNING::Fitting problem for feature 3 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 4, Bacteroides_cellulosilyticus
2025-01-17 22:52:37 WARNING::Fitting problem for feature 4 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 5, Phocaeicola_massiliensis
2025-01-17 22:52:37 WARNING::Fitting problem for feature 5 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 6, Clostridium_sp_1001270H_150608_G6
2025-01-17 22:52:37 WARNING::Fitting problem for feature 6 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 7, Akkermansia_muciniphila
2025-01-17 22:52:37 WARNING::Fitting problem for feature 7 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 8, GGB3277_SGB4327
2025-01-17 22:52:37 WARNING::Fitting problem for feature 8 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 9, Alistipes_putredinis
2025-01-17 22:52:37 WARNING::Fitting problem for feature 9 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 10, GGB9758_SGB15368
2025-01-17 22:52:37 WARNING::Fitting problem for feature 10 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 11, Roseburia_inulinivorans
2025-01-17 22:52:37 WARNING::Fitting problem for feature 11 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 12, Clostridium_sp_AM49_4BH
2025-01-17 22:52:37 WARNING::Fitting problem for feature 12 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 13, Lachnospira_sp_NSJ_43
2025-01-17 22:52:37 WARNING::Fitting problem for feature 13 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 14, Eubacterium_ventriosum
2025-01-17 22:52:37 WARNING::Fitting problem for feature 14 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 15, Dorea_longicatena
2025-01-17 22:52:37 WARNING::Fitting problem for feature 15 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 16, Parabacteroides_distasonis
2025-01-17 22:52:37 WARNING::Fitting problem for feature 16 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 17, Faecalibacterium_prausnitzii
2025-01-17 22:52:37 WARNING::Fitting problem for feature 17 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 18, Roseburia_faecis
2025-01-17 22:52:37 WARNING::Fitting problem for feature 18 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 19, Coprococcus_comes
2025-01-17 22:52:37 WARNING::Fitting problem for feature 19 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 20, Intestinibacter_bartlettii
2025-01-17 22:52:37 WARNING::Fitting problem for feature 20 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 21, Desulfovibrio_SGB5077
2025-01-17 22:52:37 WARNING::Fitting problem for feature 21 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 22, Firmicutes_bacterium_AF16_15
2025-01-17 22:52:37 WARNING::Fitting problem for feature 22 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 23, Bacteroides_caccae
2025-01-17 22:52:37 WARNING::Fitting problem for feature 23 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 24, Ruminococcus_torques
2025-01-17 22:52:37 WARNING::Fitting problem for feature 24 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 25, GGB9342_SGB14306
2025-01-17 22:52:37 WARNING::Fitting problem for feature 25 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 26, Dorea_formicigenerans
2025-01-17 22:52:37 WARNING::Fitting problem for feature 26 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 27, Clostridium_sp_1001270J_160509_D11
2025-01-17 22:52:37 WARNING::Fitting problem for feature 27 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 28, Phocaeicola_dorei
2025-01-17 22:52:37 WARNING::Fitting problem for feature 28 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 29, Ruminococcus_bicirculans
2025-01-17 22:52:37 WARNING::Fitting problem for feature 29 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 30, Bacteroides_ovatus
2025-01-17 22:52:37 WARNING::Fitting problem for feature 30 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 31, Lachnospiraceae_bacterium
2025-01-17 22:52:37 WARNING::Fitting problem for feature 31 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 32, Faecalibacillus_intestinalis
2025-01-17 22:52:37 WARNING::Fitting problem for feature 32 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 33, GGB3612_SGB4882
2025-01-17 22:52:37 WARNING::Fitting problem for feature 33 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 34, Blautia_wexlerae
2025-01-17 22:52:37 WARNING::Fitting problem for feature 34 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 35, Eubacteriaceae_bacterium
2025-01-17 22:52:37 WARNING::Fitting problem for feature 35 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 36, GGB3653_SGB4964
2025-01-17 22:52:37 WARNING::Fitting problem for feature 36 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 37, Phascolarctobacterium_faecium
2025-01-17 22:52:37 WARNING::Fitting problem for feature 37 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 38, Clostridiaceae_bacterium
2025-01-17 22:52:37 WARNING::Fitting problem for feature 38 returning NA
2025-01-17 22:52:37 INFO::Fitting model to feature number 39, Faecalicatena_fissicatena
2025-01-17 22:52:37 WARNING::Fitting problem for feature 39 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 40, GGB51269_SGB5062
2025-01-17 22:52:38 WARNING::Fitting problem for feature 40 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 41, Blautia_sp_Marseille_P3087
2025-01-17 22:52:38 WARNING::Fitting problem for feature 41 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 42, GGB9747_SGB15356
2025-01-17 22:52:38 WARNING::Fitting problem for feature 42 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 43, Clostridiales_bacterium_KLE1615
2025-01-17 22:52:38 WARNING::Fitting problem for feature 43 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 44, Blautia_faecis
2025-01-17 22:52:38 WARNING::Fitting problem for feature 44 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 45, Candidatus_Cibionibacter_quicibialis
2025-01-17 22:52:38 WARNING::Fitting problem for feature 45 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 46, Blautia_obeum
2025-01-17 22:52:38 WARNING::Fitting problem for feature 46 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 47, GGB9635_SGB15106
2025-01-17 22:52:38 WARNING::Fitting problem for feature 47 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 48, Anaerostipes_hadrus
2025-01-17 22:52:38 WARNING::Fitting problem for feature 48 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 49, Blautia_sp_MSK_20_85
2025-01-17 22:52:38 WARNING::Fitting problem for feature 49 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 50, Fusicatenibacter_saccharivorans
2025-01-17 22:52:38 WARNING::Fitting problem for feature 50 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 51, Anaerobutyricum_hallii
2025-01-17 22:52:38 WARNING::Fitting problem for feature 51 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 52, Lachnospira_eligens
2025-01-17 22:52:38 WARNING::Fitting problem for feature 52 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 53, Clostridium_sp_AF34_10BH
2025-01-17 22:52:38 WARNING::Fitting problem for feature 53 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 54, Streptococcus_salivarius
2025-01-17 22:52:38 WARNING::Fitting problem for feature 54 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 55, Haemophilus_parainfluenzae
2025-01-17 22:52:38 WARNING::Fitting problem for feature 55 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 56, Roseburia_hominis
2025-01-17 22:52:38 WARNING::Fitting problem for feature 56 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 57, Blautia_SGB4815
2025-01-17 22:52:38 WARNING::Fitting problem for feature 57 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 58, GGB9712_SGB15244
2025-01-17 22:52:38 WARNING::Fitting problem for feature 58 returning NA
2025-01-17 22:52:38 INFO::Fitting model to feature number 59, Clostridiaceae_bacterium_AF18_31LB
