"","SRR13836088","SRR13836076","SRR13836083","SRR13836070","SRR13836086","SRR13836068","SRR13836077","SRR13836099","SRR13836098","SRR13836152","SRR13836178","SRR13836143","SRR13836172","SRR13836139"
"Ruminococcus_bromii",0.154055388510228,0.136411296274385,0.00035242533591292,0.000268170768414617,0,0.000624523384994701,0.10632694044922,0,0.0492717833439947,0,0.223896431039085,0.000967109056996562,0.0207361776515239,0.0624277601368527
"Coprococcus_eutactus",0,0,0.0233180723622314,0,0,0.00435431880882572,0.0191236867466695,0,0,0,0,0.0963998044405789,0.025750658935251,0.0517261236798972
"Dialister_invisus",0.0385258910312718,0,0.0558709376450275,0,0.0806394229016426,0,0,0.000152338533041277,0.00265637609911248,0,0.000843315017878949,0.00231805590463783,0,1.1359747976656
"Eubacterium_rectale",0.061629450316266,0.026705973156854,0.00466462455790204,0.204340582226007,0.171120914718916,0.181497214118677,1.82300887348046e-05,0,0.0437450142567319,0.122714849461365,0.0131167264218175,0.0931024763391183,0.00405584753944444,0.000831703095359571
"Phocaeicola_vulgatus",0.565110478253311,0.337438017802404,0.0292736926343067,0.38835224427216,0.280285629081464,0.237675438694614,0.273803203342652,1.21882456270546,0.346881321174158,0.973619891130993,0.991489970059729,0.502106176846521,0.510932934955784,0.360279687706854
"Bacteroides_uniformis",0.979472164565658,0.338544334257572,0.665266787304941,0.112184378517362,0.301908651123742,0.240318986708341,0.33288531312117,0.437480915771639,0.102105569983171,0.275098315598888,0.942496605579702,0.20800017967263,0.449695155078673,0.677765173292096
"GGB3619_SGB4894",0.00497783638492227,0,0.0106163413036374,0,0,0,0,0,0,0,0.0103364833105513,0.0107467901794431,0,0
"Bacteroides_cellulosilyticus",0.0188056573462502,0.00725527029905317,5.72532323168667e-05,0.000132928779810085,0,0.000664610572442652,0.0140841664026841,0.00012112035338366,0.00364410155435567,0,0.0893012394275021,0,0.000118494794711418,0
"Phocaeicola_massiliensis",0.0924115077849394,0.0591038335202666,0.00136895815473487,0.29116168403117,0.000245053628461156,0.000965810498855956,0.119117479152648,0.00018055858301287,0.0826572192104078,0,0.00157160739146963,0.0858872905095154,0.182802892407354,0.00110395827080512
"GGB4684_SGB6478",0,0,0.027823022785565,0,0,0,0,0,0,0,0,0.0120568567201105,0.00316397534785255,0
"Clostridium_sp_1001270H_150608_G6",0.0435584868895501,0,0.000158220497659157,0,0,0,0,0,0.0311221100659419,0,0,1.04824038237464e-05,0.0302448338511362,0.147928021432076
"Akkermansia_muciniphila",0.00168029408255994,0,0.0149314344910572,0,0.000268889399081705,0.0371741413623131,0,0.000415730708844222,0.00939054888359043,0,0,0.197413316066504,0.0308801648311661,0.000108114108505579
"GGB3277_SGB4327",0.000589615610649366,0.12098313495323,0.000408910596287214,0.0150781787506141,0,0.000535099713621173,4.34339137813781e-06,0,0,0,0,0.0218637761426501,0.129552616588737,0
"Alistipes_putredinis",1.12222324009063,0.733473928555596,0.811081721849255,0.587232158125907,0.00458426704154531,1,0.319113528724758,0.277083566636323,0.123668714485399,0,0.559179456340857,1.13926967219084,1.15283784812334,0.0027173583422037
"Enterocloster_SGB14313",0,0,0.00186675780859946,0.000227115842464125,0,0,0,0,0,0,0,0.0153454762058473,0,0
"GGB9758_SGB15368",0.179847647462045,0,0,0.00455615911923242,0,0,0,0,0.00153864470556066,0,0.000205085996229692,0.0819931362579018,0.169193907074635,0
"Roseburia_inulinivorans",0.00496183335768928,0.00577971749667716,0.000908611497843204,0.0400246206081682,0.0445961737608364,0.0116584996097405,0.0319208187839701,0.0012507109975426,0.167571009776915,0.0220192757182228,0.0155931238671359,0.0123547361543175,0.00721948122974084,0.0109978552570673
"Ruminococcus_lactaris",0,0,0,0,0,0,0.0332797363126405,0,0.00433563137424724,0.0615657383334012,0,0.0184844241752126,0,0.00391390694374463
"Bacteroides_xylanisolvens",0.0387095680721886,0.0211076937334569,0.020564976276038,0.000981138575534491,0.000603732301932058,0.0632344089790543,0.0230484054206007,1.52149997549191,0.0232852395307752,0,0.285320981430151,0.00541187859830368,0.020650473185235,0.0210035040069361
"Clostridium_sp_AM49_4BH",0,0.00904085897992306,0.00074511929821996,0,0,0.00205102123572199,0.000539553287604013,0,0.00083849024735736,0,0.00580904752956997,0.00134685311506282,0,0
"Lachnospira_sp_NSJ_43",0.000858610002783823,0,0.00018207289011857,0,0,0,0,0,0,0,0,0.00608521095764926,0.040470412876647,0
"GGB3256_SGB4303",0,0,0,0,0.302658099851308,0,0.137808330137315,0,0,0.0938613496263009,0.000156090511196799,0.0761637794382331,0,0
"Paraprevotella_clara",0,0.0238088922279467,0.0536051959984111,0.0113690096635738,0.0610684836399489,7.98690243030168e-05,0.124440853080816,0,0,0,0.000167879293858203,0.000476597458584065,0,0.000152887199522177
"Eubacterium_SGB6276",0,0,0.00548165852602211,0,0,0,0,0,0.00339004431104495,0,0,0.0219425094189309,0.00536714822699255,0.0254610812521823
"Clostridium_SGB4648",0,0,0,0,0,0,0,0,0,0,0,0,0,0
