feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_bacterium_AM48_27BH	Group	CTR	3.59824777931052	0.948032053505467	13	7	0.00296635521492821	0.28058465089655
Streptococcus_salivarius	Group	CTR	-4.48245720490962	1.10528828784709	13	12	0.00189780568085935	0.28058465089655
Alistipes_shahii	Group	CTR	-5.89674009158252	1.51801216422695	13	13	0.00254350298655818	0.28058465089655
GGB9602_SGB15031	Group	CTR	1.69014997141129	0.45823811599704	13	3	0.00357331777498374	0.28058465089655
Hungatella_hathewayi	Group	CTR	-4.08269541858511	1.14603828662077	13	12	0.00445372461740556	0.28058465089655
Eubacterium_SGB6276	Group	CTR	2.17953596677029	0.682912429629237	13	5	0.00858311149006826	0.386240017053072
Collinsella_SGB4121	Group	CTR	4.07968577244485	1.26922856181747	13	5	0.00824217876608312	0.386240017053072
GGB9760_SGB15373	Group	CTR	4.07285994843285	1.32127989709713	13	7	0.0104244747970538	0.400397405410657
Veillonella_parvula	Group	CTR	-6.72769118579767	2.22002376332175	13	10	0.0114399258688759	0.400397405410657
Coprobacter_secundus	Group	CTR	1.97745180685437	0.776201175811796	13	3	0.0271105852274529	0.536230367128855
GGB79734_SGB15291	Group	CTR	2.6707141876532	1.0220971319159	13	9	0.0241291304311279	0.536230367128855
GGB9602_SGB15028	Group	CTR	0.678063916695731	0.262108669262945	13	2	0.0252749395125255	0.536230367128855
Bifidobacterium_longum	Group	CTR	-4.65539625749638	1.85330417870216	13	11	0.0288864354858084	0.536230367128855
Clostridium_sp_AF27_2AA	Group	CTR	0.764535969969398	0.308436256474633	13	2	0.030641735264506	0.536230367128855
GGB9616_SGB15051	Group	CTR	3.24679794139801	1.22926436665713	13	3	0.0229418348944337	0.536230367128855
Ruthenibacterium_lactatiformans	Group	CTR	-2.01749273676283	0.811837372975759	13	13	0.0302982989985386	0.536230367128855
GGB3363_SGB4448	Group	CTR	0.571709927134553	0.210405555604275	13	2	0.0200321415596103	0.536230367128855
GGB3363_SGB4447	Group	CTR	0.50331298815674	0.18239420361626	13	2	0.0185731646482423	0.536230367128855
Bacteroides_salyersiae	Group	CTR	-5.87905302770376	2.53821169407173	13	8	0.0408489754253093	0.677233013630128
Coprococcus_eutactus	Group	CTR	3.02673532349216	1.32354785877166	13	6	0.0430163663054323	0.677507769310559
Lachnospira_sp_NSJ_43	Group	CTR	3.32468717905202	1.51275001910963	13	4	0.0502809405770027	0.68863027311982
GGB9699_SGB15216	Group	CTR	-2.14242351881935	0.971245525712805	13	13	0.049576700622824	0.68863027311982
Streptococcus_parasanguinis	Group	CTR	-4.49614483390114	2.00590993529898	13	7	0.0465828515110867	0.68863027311982
Dorea_longicatena	Group	CTR	-2.52063980725283	1.24106490992443	13	13	0.0671319023744854	0.724696026549763
