feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Anaerostipes_hadrus	Group	CTR	6.23343815718947	1.35127195760145	28	25	9.3359007059979e-05	0.0322088574356927
Parasutterella_excrementihominis	Group	CTR	-5.06146205242786	1.17241603971846	28	10	0.000203664493464313	0.035132125122594
Blautia_SGB4815	Group	CTR	5.32017562379147	1.31017975146872	28	18	0.000399054475248555	0.0458912646535838
Blautia_wexlerae	Group	CTR	4.86517467448219	1.25948975060824	28	26	0.000667935885987376	0.0460875761331289
Butyricimonas_faecihominis	Group	CTR	-2.8694628240332	0.729446262259913	28	9	0.000555540369739461	0.0460875761331289
Dorea_formicigenerans	Group	CTR	3.71010282559974	1.01364198640318	28	25	0.00112676289558124	0.0647888664959212
Dorea_sp_AF36_15AT	Group	CTR	3.72575698792519	1.07183611995528	28	22	0.00180252088086709	0.0888385291284492
Lachnospira_eligens	Group	CTR	4.31085762062531	1.26111434040656	28	22	0.0020862291472764	0.0899686319762946
Parabacteroides_merdae	Group	CTR	-2.90109886892953	0.91876674459429	28	19	0.00400113995888487	0.153377031757253
Blautia_faecis	Group	CTR	3.36141811670552	1.12566518718293	28	28	0.00608638231074748	0.201320767726524
Anaerobutyricum_hallii	Group	CTR	5.01408206239658	1.70723237135951	28	25	0.00685488463439657	0.201320767726524
Clostridium_sp_AF34_10BH	Group	CTR	3.45514656692286	1.17998716508256	28	25	0.00700246148613998	0.201320767726524
GGB13493_SGB15238	Group	CTR	-2.91339280855894	1.03126096693353	28	4	0.00895981603513212	0.237779733240045
Alistipes_shahii	Group	CTR	-5.39965407631403	1.98717233582341	28	22	0.0115548943288892	0.249152408966674
Veillonella_atypica	Group	CTR	-1.42588269436922	0.515965268253141	28	4	0.0103648496376009	0.249152408966674
Evtepia_gabavorous	Group	CTR	2.71667559434526	0.997399227929883	28	14	0.0113801769249089	0.249152408966674
Faecalibacillus_intestinalis	Group	CTR	5.92949008176191	2.32414440010948	28	16	0.0169617838646931	0.306048296608437
Blautia_obeum	Group	CTR	3.73148087363831	1.47150453172117	28	26	0.017569015707959	0.306048296608437
GGB9614_SGB15049	Group	CTR	-3.38705864956178	1.31620965541871	28	22	0.0161264840539384	0.306048296608437
Veillonella_parvula	Group	CTR	-3.02900816935055	1.19651588898515	28	11	0.0177419302381703	0.306048296608437
Intestinibacter_bartlettii	Group	CTR	4.26789862846777	1.7198787452465	28	13	0.0198704466331708	0.326443051830663
Blautia_massiliensis	Group	CTR	3.09029484961282	1.28802991593226	28	24	0.02389064330934	0.350813231883443
Clostridiales_Family_XIII_bacterium_BX16	Group	CTR	1.65683349811051	0.685651954252861	28	15	0.0229933102172776	0.350813231883443
Romboutsia_timonensis	Group	CTR	3.49756019489164	1.46362096852221	28	13	0.0244043987397178	0.350813231883443
Clostridium_sp_AM22_11AC	Group	CTR	2.64704995941371	1.13411567529041	28	24	0.0275941246085315	0.380798919597735
Alistipes_senegalensis	Group	CTR	-3.13434831487454	1.35587964671891	28	13	0.0289792073952308	0.384531790436716
Escherichia_coli	Group	CTR	-4.47882304838778	1.98073269455458	28	15	0.032343105611181	0.38477142882267
Blautia_luti	Group	CTR	3.02234587700936	1.33624040555433	28	21	0.0322988248361202	0.38477142882267
Bifidobacterium_dentium	Group	CTR	-2.08838497412881	0.919500275895155	28	8	0.0316482623782486	0.38477142882267
Bacteroides_stercoris	Group	CTR	-2.72831729266679	1.24083664161894	28	18	0.0369907342570951	0.421926075146414
Blautia_glucerasea	Group	CTR	3.17154649989731	1.46001354371493	28	22	0.0391397294857672	0.421926075146414
GGB9293_SGB14250	Group	CTR	-1.06678704612276	0.49438123363486	28	4	0.0403581463183527	0.421926075146414
Acidaminococcus_intestini	Group	CTR	-1.73641236624763	0.803776007483068	28	7	0.0401452689489016	0.421926075146414
Dorea_longicatena	Group	CTR	3.6528263126051	1.70794909977228	28	24	0.0420210786416941	0.426390356805425
Clostridiaceae_bacterium	Group	CTR	2.14217143287207	1.05785764940523	28	26	0.0532485642656809	0.427305030391886
GGB51269_SGB5062	Group	CTR	-0.166666666666667	0.0824545741530256	28	1	0.0536541692317323	0.427305030391886
GGB9713_SGB15249	Group	CTR	-4.46987627965426	2.16897571271974	28	17	0.0494547374302692	0.427305030391886
Klebsiella_pneumoniae	Group	CTR	-0.166666666666673	0.0824545741530256	28	1	0.0536541692317254	0.427305030391886
Roseburia_intestinalis	Group	CTR	3.36989816763953	1.60141144894189	28	17	0.0451702402061034	0.427305030391886
GGB34797_SGB14322	Group	CTR	2.67384684495599	1.32781592724612	28	12	0.0544968734412841	0.427305030391886
GGB9593_SGB15015	Group	CTR	-0.166666666666666	0.0824545741530256	28	1	0.053654169231734	0.427305030391886
GGB1495_SGB2071	Group	CTR	-0.166666666666666	0.0824545741530256	28	1	0.0536541692317344	0.427305030391886
Alistipes_dispar	Group	CTR	3.8576220984317	1.86028167217909	28	11	0.0481528887486975	0.427305030391886
Megasphaera_micronuciformis	Group	CTR	-0.166666666666664	0.0824545741530256	28	1	0.0536541692317365	0.427305030391886
Streptococcus_thermophilus	Group	CTR	3.44593919745923	1.72372377634562	28	19	0.0561484518555125	0.430471464225596
Alistipes_putredinis	Group	CTR	-2.92804184927839	1.49027529143607	28	26	0.0602122536622239	0.442037620613151
Anaerobutyricum_soehngenii	Group	CTR	3.78383527643995	1.92590469627346	28	14	0.0602196178806322	0.442037620613151
Ruminococcus_torques	Group	CTR	3.1573260728774	1.63199399688438	28	26	0.0639849574738716	0.444987887623427
Dorea_sp_AF24_7LB	Group	CTR	2.29296426695096	1.18762027453036	28	16	0.0644909982062938	0.444987887623427
Collinsella_SGB4121	Group	CTR	2.09296803031497	1.07635296329663	28	18	0.0627283279820474	0.444987887623427
Akkermansia_muciniphila	Group	CTR	1.52570737904566	0.816556620150511	28	12	0.0730051604334168	0.493858438226055
Blautia_sp_MSK_20_85	Group	CTR	2.75601496323413	1.49051237538791	28	22	0.0758540206365308	0.50326225230006
Alistipes_communis	Group	CTR	-1.72688489698667	0.952592978845152	28	25	0.0814213886515906	0.520192205274051
Anaerotignum_faecicola	Group	CTR	-3.24949395471315	1.78972751276131	28	16	0.0809770604741376	0.520192205274051
GGB79973_SGB14341	Group	CTR	3.10289750031721	1.72180040243094	28	9	0.0831324500788498	0.52146718685824
Eubacterium_ventriosum	Group	CTR	2.75829742415427	1.54866670891997	28	13	0.0865872907005362	0.524080970029561
Eubacterium_sp_AF16_48	Group	CTR	2.53486634606333	1.41603128725733	28	9	0.0850882370172184	0.524080970029561
GGB9758_SGB15368	Group	CTR	-2.72247250416708	1.56883807771471	28	16	0.0945201406335493	0.562231871009905
GGB9712_SGB15244	Group	CTR	-1.709522965523	0.990334760603994	28	7	0.0961766207063858	0.562388714300053
Ruminococcus_sp_AF41_9	Group	CTR	2.63143335820957	1.54780075281953	28	9	0.101044074607012	0.581003428990318
GGB4684_SGB6478	Group	CTR	-0.937651616623251	0.562770498605084	28	3	0.107691036102135	0.581820597299193
Coprococcus_comes	Group	CTR	2.66542005995891	1.62762091528125	28	26	0.11354945431884	0.581820597299193
GGB3653_SGB4964	Group	CTR	2.26067956697079	1.37144122616391	28	9	0.111304439070361	0.581820597299193
Streptococcus_salivarius	Group	CTR	2.48750132627006	1.51526396794418	28	24	0.112709574188374	0.581820597299193
GGB9760_SGB15373	Group	CTR	-1.50787776773027	0.918600408840375	28	17	0.112737598744482	0.581820597299193
GGB9642_SGB15119	Group	CTR	-2.31567958698928	1.41868935051939	28	7	0.114677682945928	0.581820597299193
Eggerthella_lenta	Group	CTR	2.64009812651089	1.58667611292327	28	14	0.108137318788194	0.581820597299193
Merdimonas_faecis	Group	CTR	2.15077607761169	1.27234574478861	28	10	0.102907268801026	0.581820597299193
Eubacterium_rectale	Group	CTR	1.88944593713583	1.22867205011884	28	24	0.136180953587532	0.624113620189893
Phocaeicola_massiliensis	Group	CTR	-1.70414138431467	1.15722340288781	28	15	0.152858897147997	0.624113620189893
