"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Alistipes_putredinis|Alistipes_putredinis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_putredinis|Alistipes_putredinis" "LEfSe" "ADA" 4.22964592627536 0.00849201072938381 0.00849201072938381 "**"
"NA|NA|NA|NA|NA|NA|Bacteroides_stercoris|Bacteroides_stercoris" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_stercoris|Bacteroides_stercoris" "LEfSe" "ADA" 4.07013281839407 0.0316605712511579 0.0316605712511579 "*"
"NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "LEfSe" "CTR" 4.0443652852647 0.00299903866121016 0.00299903866121016 "**"
"NA|NA|NA|NA|NA|NA|Alistipes_shahii|Alistipes_shahii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_shahii|Alistipes_shahii" "LEfSe" "ADA" 3.99166380134315 0.00583865196412932 0.00583865196412932 "**"
"NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "LEfSe" "CTR" 3.81516019224621 0.00170618831378429 0.00170618831378429 "**"
"NA|NA|NA|NA|NA|NA|Lachnospira_eligens|Lachnospira_eligens" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Lachnospira_eligens|Lachnospira_eligens" "LEfSe" "CTR" 3.77169081270105 0.00753290713995399 0.00753290713995399 "**"
"NA|NA|NA|NA|NA|NA|GGB9713_SGB15249|GGB9713_SGB15249" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9713_SGB15249|GGB9713_SGB15249" "LEfSe" "ADA" 3.77130463113707 0.0495687954711214 0.0495687954711214 "*"
"NA|NA|NA|NA|NA|NA|Parabacteroides_merdae|Parabacteroides_merdae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Parabacteroides_merdae|Parabacteroides_merdae" "LEfSe" "ADA" 3.73672947182493 0.00441895605405419 0.00441895605405419 "**"
"NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_massiliensis|Blautia_massiliensis" "LEfSe" "CTR" 3.72050987568016 0.0215215875234438 0.0215215875234438 "*"
"NA|NA|NA|NA|NA|NA|Dorea_longicatena|Dorea_longicatena" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Dorea_longicatena|Dorea_longicatena" "LEfSe" "CTR" 3.69493206344073 0.0231667258329726 0.0231667258329726 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AF34_10BH|Clostridium_sp_AF34_10BH" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AF34_10BH|Clostridium_sp_AF34_10BH" "LEfSe" "CTR" 3.60524084989333 0.0117056284081579 0.0117056284081579 "*"
"NA|NA|NA|NA|NA|NA|Blautia_obeum|Blautia_obeum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_obeum|Blautia_obeum" "LEfSe" "CTR" 3.5528429481188 0.0173188008675259 0.0173188008675259 "*"
"NA|NA|NA|NA|NA|NA|Parasutterella_excrementihominis|Parasutterella_excrementihominis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Parasutterella_excrementihominis|Parasutterella_excrementihominis" "LEfSe" "ADA" 3.52493899770366 0.00191900011593522 0.00191900011593522 "**"
"NA|NA|NA|NA|NA|NA|Blautia_faecis|Blautia_faecis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_faecis|Blautia_faecis" "LEfSe" "CTR" 3.49706978153242 0.0186954498926129 0.0186954498926129 "*"
