"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_vulgatus|Phocaeicola_vulgatus" "LEfSe" "ADA" 4.34311995350547 0.000970211314291147 0.000970211314291147 "***"
"NA|NA|NA|NA|NA|NA|Lachnospira_sp_NSJ_43|Lachnospira_sp_NSJ_43" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Lachnospira_sp_NSJ_43|Lachnospira_sp_NSJ_43" "LEfSe" "ADA" 3.48926474001676 0.00690888213894779 0.00690888213894779 "**"
"NA|NA|NA|NA|NA|NA|Bacteroides_caccae|Bacteroides_caccae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_caccae|Bacteroides_caccae" "LEfSe" "ADA" 3.41369909755574 0.0169257059141975 0.0169257059141975 "*"
"NA|NA|NA|NA|NA|NA|Candidatus_Cibionibacter_quicibialis|Candidatus_Cibionibacter_quicibialis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Candidatus_Cibionibacter_quicibialis|Candidatus_Cibionibacter_quicibialis" "LEfSe" "CTR" 3.27100254188228 0.0482523267486285 0.0482523267486285 "*"
"NA|NA|NA|NA|NA|NA|Dorea_longicatena|Dorea_longicatena" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Dorea_longicatena|Dorea_longicatena" "LEfSe" "CTR" 3.19520274149893 0.00729898221282008 0.00729898221282008 "**"
"NA|NA|NA|NA|NA|NA|Bacteroides_salyersiae|Bacteroides_salyersiae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_salyersiae|Bacteroides_salyersiae" "LEfSe" "ADA" 3.07983093503407 0.00499791645288792 0.00499791645288792 "**"
"NA|NA|NA|NA|NA|NA|Blautia_obeum|Blautia_obeum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_obeum|Blautia_obeum" "LEfSe" "CTR" 3.06709857439806 0.00724982838375552 0.00724982838375552 "**"
"NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium_Marseille_Q4149|Clostridiaceae_bacterium_Marseille_Q4149" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium_Marseille_Q4149|Clostridiaceae_bacterium_Marseille_Q4149" "LEfSe" "ADA" 2.92538379709264 0.0481835211887313 0.0481835211887313 "*"
"NA|NA|NA|NA|NA|NA|Odoribacter_splanchnicus|Odoribacter_splanchnicus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Odoribacter_splanchnicus|Odoribacter_splanchnicus" "LEfSe" "ADA" 2.86498545478489 0.0471615212975111 0.0471615212975111 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_clarus|Bacteroides_clarus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_clarus|Bacteroides_clarus" "LEfSe" "ADA" 2.66387257385429 0.00356683618598349 0.00356683618598349 "**"
"NA|NA|NA|NA|NA|NA|Collinsella_SGB4121|Collinsella_SGB4121" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Collinsella_SGB4121|Collinsella_SGB4121" "LEfSe" "ADA" 2.58567382581144 0.0132108392042596 0.0132108392042596 "*"
"NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_Choco116|Clostridiales_bacterium_Choco116" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_Choco116|Clostridiales_bacterium_Choco116" "LEfSe" "ADA" 2.55721998648135 0.0216029642147303 0.0216029642147303 "*"
"NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_KLE1615|Clostridiales_bacterium_KLE1615" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiales_bacterium_KLE1615|Clostridiales_bacterium_KLE1615" "LEfSe" "CTR" 2.55590448190058 0.0243712891627754 0.0243712891627754 "*"
"NA|NA|NA|NA|NA|NA|Veillonella_atypica|Veillonella_atypica" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Veillonella_atypica|Veillonella_atypica" "LEfSe" "ADA" 2.55202282080775 0.0342032685435372 0.0342032685435372 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_cellulosilyticus|Bacteroides_cellulosilyticus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_cellulosilyticus|Bacteroides_cellulosilyticus" "LEfSe" "ADA" 2.51985061465046 0.00979707368008658 0.00979707368008658 "**"
"NA|NA|NA|NA|NA|NA|Eubacteriaceae_bacterium|Eubacteriaceae_bacterium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Eubacteriaceae_bacterium|Eubacteriaceae_bacterium" "LEfSe" "CTR" 2.51241872324537 0.0167621377095726 0.0167621377095726 "*"
"NA|NA|NA|NA|NA|NA|Butyricicoccus_SGB14990|Butyricicoccus_SGB14990" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Butyricicoccus_SGB14990|Butyricicoccus_SGB14990" "LEfSe" "ADA" 2.49944899699365 0.0255787300365056 0.0255787300365056 "*"
"NA|NA|NA|NA|NA|NA|GGB3614_SGB4886|GGB3614_SGB4886" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3614_SGB4886|GGB3614_SGB4886" "LEfSe" "ADA" 2.48719713209273 0.0185578126174923 0.0185578126174923 "*"
"NA|NA|NA|NA|NA|NA|Coprococcus_catus|Coprococcus_catus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Coprococcus_catus|Coprococcus_catus" "LEfSe" "CTR" 2.42356632891317 0.0287083476800135 0.0287083476800135 "*"
"NA|NA|NA|NA|NA|NA|GGB9627_SGB15081|GGB9627_SGB15081" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9627_SGB15081|GGB9627_SGB15081" "LEfSe" "ADA" 2.3946079053966 0.037777915296577 0.037777915296577 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AM42_4|Clostridium_sp_AM42_4" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AM42_4|Clostridium_sp_AM42_4" "LEfSe" "ADA" 2.25329534491901 0.00332397735708107 0.00332397735708107 "**"
