,target_study,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,CHN_SH-CRC-4_lefse,CHN_SH-CRC-4_MaAsLin,CHN_SH-CRC-4_Ancom,Feature
0,CHN_SH-CRC-2,Phocaeicola_vulgatus,Megamonas_funiformis,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Megamonas_funiformis,Phocaeicola_vulgatus,Phocaeicola_vulgatus
1,,Phocaeicola_coprocola,Phocaeicola_vulgatus,Clostridium_sp_AF34_10BH,Phocaeicola_coprocola,Phocaeicola_vulgatus,Clostridium_sp_AF34_10BH,Phocaeicola_coprocola
2,,Megamonas_funiformis,GGB9758_SGB15368,Megamonas_funiformis,Megamonas_funiformis,GGB9758_SGB15368,Megamonas_funiformis,Megamonas_funiformis
3,,Clostridium_sp_AF34_10BH,Desulfovibrio_SGB5077,,Clostridium_sp_AF34_10BH,Desulfovibrio_SGB5077,,Clostridium_sp_AF34_10BH
4,,GGB9758_SGB15368,Clostridium_sp_AF34_10BH,,GGB9758_SGB15368,Clostridium_sp_AF34_10BH,,GGB9758_SGB15368
5,,Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,,Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,,Bifidobacterium_adolescentis
6,,Clostridium_sp_AF36_4,Dysosmobacter_sp_NSJ_60,,Clostridium_sp_AF36_4,Dysosmobacter_sp_NSJ_60,,Clostridium_sp_AF36_4
7,,Veillonella_atypica,GGB9602_SGB15031,,Veillonella_atypica,GGB9602_SGB15031,,Veillonella_atypica
8,,Eubacterium_SGB6276,Phocaeicola_coprocola,,Eubacterium_SGB6276,Phocaeicola_coprocola,,Eubacterium_SGB6276
9,,Desulfovibrio_SGB5077,Blautia_glucerasea,,Desulfovibrio_SGB5077,Blautia_glucerasea,,Desulfovibrio_SGB5077
10,,Veillonella_rogosae,GGB51269_SGB5062,,Veillonella_rogosae,GGB51269_SGB5062,,Veillonella_rogosae
11,,Citrobacter_freundii,GGB4578_SGB6328,,Citrobacter_freundii,GGB4578_SGB6328,,Citrobacter_freundii
12,,GGB51269_SGB5062,Intestinimonas_butyriciproducens,,GGB51269_SGB5062,Intestinimonas_butyriciproducens,,GGB51269_SGB5062
13,,GGB4578_SGB6328,Eubacterium_SGB6276,,GGB4578_SGB6328,Eubacterium_SGB6276,,GGB4578_SGB6328
14,,Intestinimonas_butyriciproducens,Streptococcus_parasanguinis,,Intestinimonas_butyriciproducens,Streptococcus_parasanguinis,,Intestinimonas_butyriciproducens
15,,Bacteroides_intestinalis,GGB3619_SGB4894,,Bacteroides_intestinalis,GGB3619_SGB4894,,Bacteroides_intestinalis
16,,GGB9602_SGB15031,Veillonella_rogosae,,GGB9602_SGB15031,Veillonella_rogosae,,GGB9602_SGB15031
17,,GGB9627_SGB15081,GGB3612_SGB4882,,GGB9627_SGB15081,GGB3612_SGB4882,,GGB9627_SGB15081
18,,GGB3819_SGB5184,GGB9627_SGB15081,,GGB3819_SGB5184,GGB9627_SGB15081,,GGB3819_SGB5184
19,,Streptococcus_parasanguinis,Veillonella_dispar,,Streptococcus_parasanguinis,Veillonella_dispar,,Streptococcus_parasanguinis
20,,Clostridium_sp_AM42_4,Veillonella_atypica,,Clostridium_sp_AM42_4,Veillonella_atypica,,Clostridium_sp_AM42_4
21,,Dysosmobacter_sp_NSJ_60,Clostridium_sp_AM42_4,,Dysosmobacter_sp_NSJ_60,Clostridium_sp_AM42_4,,Dysosmobacter_sp_NSJ_60
22,,Blautia_glucerasea,,,Blautia_glucerasea,,,Blautia_glucerasea
