Feature,Frequency
Phocaeicola_vulgatus,3
Bifidobacterium_longum,2
Phocaeicola_coprocola,3
Megamonas_funiformis,2
Klebsiella_pneumoniae,2
Ruthenibacterium_lactatiformans,3
Parasutterella_SGB9260,1
Bacteroides_salyersiae,2
GGB9758_SGB15368,2
Alistipes_sp_AF17_16,2
Veillonella_atypica,2
Bifidobacterium_adolescentis,2
Dysosmobacter_welbionis,2
Eubacterium_ventriosum,1
Clostridium_sp_AF34_10BH,2
Desulfovibrio_SGB5077,2
Citrobacter_freundii,1
GGB51269_SGB5062,2
Eubacterium_SGB6276,2
Clostridium_fessum,2
GGB4578_SGB6328,2
GGB9602_SGB15031,2
GGB9595_SGB15019,2
Clostridium_sp_AF20_17LB,2
Clostridium_sp_AM42_4,2
GGB3612_SGB4882,2
Dysosmobacter_sp_NSJ_60,2
Blautia_glucerasea,2
Streptococcus_mitis,2
GGB3619_SGB4894,1
Veillonella_rogosae,1
Dorea_sp_AF24_7LB,1
Rheinheimera_SGB14999,1
Faecalibacterium_SGB15346,1
GGB9616_SGB15051,1
GGB9524_SGB14924,1
Enterocloster_SGB14313,1
