Feature,Frequency
Ruminococcus_bromii,1
GGB3256_SGB4303,1
Oscillibacter_sp_ER4,1
Dysosmobacter_sp_BX15,1
Odoribacter_splanchnicus,1
Ruminococcus_callidus,11
Bacteroides_xylanisolvens,1
Eubacteriaceae_bacterium,1
Coprococcus_SGB4669,10
Dysosmobacter_welbionis,1
Erysipelatoclostridium_ramosum,1
Faecalibacillus_faecis,1
Bacteroides_intestinalis,11
Veillonella_atypica,1
Veillonella_dispar,1
Alistipes_indistinctus,11
Clostridia_bacterium_UC5_1_1D1,11
GGB9719_SGB15272,2
Clostridium_sp_AF34_13,11
Veillonella_rogosae,1
Staphylococcus_SGB6340,11
Phocaeicola_plebeius,10
Akkermansia_muciniphila,10
GGB9345_SGB14311,9
Clostridium_sp_AF12_28,10
Alistipes_ihumii,11
Intestinimonas_butyriciproducens,10
Veillonella_parvula,9
Eisenbergiella_massiliensis,10
Anaerobutyricum_hallii,9
Bacteroides_finegoldii,9
GGB9760_SGB15373,9
GGB3278_SGB4328,9
Phocaeicola_vulgatus,20
Bifidobacterium_adolescentis,9
Bacteroides_fragilis,10
Hungatella_hathewayi,10
Adlercreutzia_equolifaciens,10
Eubacterium_ventriosum,1
Bacteroides_ovatus,1
Coprococcus_comes,1
GGB2653_SGB3574,2
Klebsiella_pneumoniae,1
Collinsella_SGB14861,1
Vescimonas_SGB15087,1
GGB9453_SGB14845,1
Ruminococcus_lactaris,1
Faecalibacillus_intestinalis,1
GGB3612_SGB4882,1
Clostridium_sp_AF20_17LB,1
Eubacterium_ramulus,1
Eubacterium_sp_AF34_35BH,2
Hydrogenoanaerobacterium_saccharovorans,1
Blautia_glucerasea,1
GGB9453_SGB14844,1
GGB4566_SGB6305,1
Clostridium_sp_AF27_2AA,1
GGB9619_SGB15067,1
GGB33512_SGB15201,1
Mediterraneibacter_glycyrrhizinilyticus,1
GGB79973_SGB14341,1
GGB9697_SGB15213,1
GGB9770_SGB15390,1
Anaerostipes_caccae,1
