,target_study,CHN_WF-CRC_lefse,CHN_WF-CRC_MaAsLin,CHN_WF-CRC_Ancom,Feature
0,CHN_WF-CRC,Phocaeicola_plebeius,Phocaeicola_massiliensis,Phocaeicola_massiliensis,Phocaeicola_plebeius
1,,Phocaeicola_massiliensis,Phocaeicola_plebeius,Phocaeicola_plebeius,Phocaeicola_massiliensis
2,,GGB3277_SGB4327,Bacteroides_finegoldii,,GGB3277_SGB4327
3,,Lacrimispora_amygdalina,Clostridium_sp_AF34_13,,Lacrimispora_amygdalina
4,,Blautia_massiliensis,Blautia_massiliensis,,Blautia_massiliensis
5,,Citrobacter_freundii,Lacrimispora_amygdalina,,Citrobacter_freundii
6,,Faecalicatena_fissicatena,GGB9760_SGB15373,,Faecalicatena_fissicatena
7,,GGB9760_SGB15373,Anaerotignum_faecicola,,GGB9760_SGB15373
8,,Faecalibacillus_faecis,GGB3278_SGB4328,,Faecalibacillus_faecis
9,,Clostridium_sp_AF34_13,Citrobacter_freundii,,Clostridium_sp_AF34_13
10,,Butyricimonas_paravirosa,,,Butyricimonas_paravirosa
11,,Alistipes_indistinctus,,,Alistipes_indistinctus
