,Unnamed: 0.1,Unnamed: 0,target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,CHN_SH-CRC-3_lefse,CHN_SH-CRC-3_MaAsLin,CHN_SH-CRC-3_Ancom,CHN_SH-CRC-4_lefse,CHN_SH-CRC-4_MaAsLin,CHN_SH-CRC-4_Ancom,Feature
0,0,0,CHN_WF-CRC,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Ruminococcus_bromii,Phocaeicola_vulgatus,Ruminococcus_bromii,Ruminococcus_bromii,Phocaeicola_vulgatus,Clostridium_sp_AF20_17LB,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Clostridium_sp_AF12_28,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Ruminococcus_bromii,Ruminococcus_bromii,,,,Faecalibacterium_prausnitzii,Eubacterium_sp_AF34_35BH,Lachnospiraceae_bacterium,Eubacterium_rectale,Eubacterium_rectale,Eubacterium_rectale,Eubacterium_rectale,Eubacterium_rectale,Eubacterium_rectale,,,,Phocaeicola_vulgatus
1,1,1,,Faecalibacterium_prausnitzii,Faecalicatena_fissicatena,Phocaeicola_vulgatus,Ruminococcus_bromii,Eubacteriaceae_bacterium,Eubacteriaceae_bacterium,Phocaeicola_dorei,GGB3746_SGB5089,,Parabacteroides_merdae,Parabacteroides_merdae,Parabacteroides_merdae,Faecalibacterium_prausnitzii,Phocaeicola_vulgatus,Phocaeicola_vulgatus,,,,Clostridiales_bacterium_KLE1615,Staphylococcus_SGB6340,Faecalibacillus_intestinalis,Klebsiella_pneumoniae,Blautia_SGB4815,Klebsiella_pneumoniae,Klebsiella_pneumoniae,Blautia_SGB4815,Klebsiella_pneumoniae,,,,Ruminococcus_bromii
2,2,2,,Ruminococcus_bromii,Bacteroides_thetaiotaomicron,Phocaeicola_massiliensis,Blautia_wexlerae,Bifidobacterium_longum,Bifidobacterium_longum,GGB3746_SGB5089,GGB3277_SGB4327,,Lachnospira_eligens,Lachnospira_eligens,Waltera_intestinalis,Ruminococcus_bromii,Lachnospira_sp_NSJ_43,Odoribacter_splanchnicus,,,,Fusicatenibacter_saccharivorans,Faecalibacillus_intestinalis,Staphylococcus_SGB6340,Clostridium_sp_AM22_11AC,Klebsiella_pneumoniae,,Clostridium_sp_AM22_11AC,Klebsiella_pneumoniae,,,,,Blautia_wexlerae
3,3,3,,Bacteroides_stercoris,Ruminococcus_bromii,Faecalibacterium_prausnitzii,Bifidobacterium_longum,Clostridium_leptum,,Clostridiaceae_bacterium_AF18_31LB,Clostridiaceae_bacterium_AF18_31LB,,Waltera_intestinalis,Waltera_intestinalis,Bacteroides_thetaiotaomicron,Faecalimonas_umbilicata,Odoribacter_splanchnicus,Faecalibacterium_prausnitzii,,,,Ruminococcus_callidus,GGB9453_SGB14844,Clostridiales_bacterium_KLE1615,Dorea_longicatena,Adlercreutzia_equolifaciens,,Dorea_longicatena,Adlercreutzia_equolifaciens,,,,,Bifidobacterium_longum
4,4,4,,Phocaeicola_massiliensis,Blautia_obeum,Parabacteroides_merdae,Bacteroides_eggerthii,Phocaeicola_vulgatus,,Clostridiales_bacterium,Alistipes_onderdonkii,,Ruminococcus_bicirculans,Bacteroides_thetaiotaomicron,,Lachnospira_sp_NSJ_43,Mediterraneibacter_glycyrrhizinilyticus,,,,,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium,,Clostridiales_bacterium_KLE1615,Alistipes_finegoldii,,Clostridiales_bacterium_KLE1615,Alistipes_finegoldii,,,,,Bacteroides_eggerthii
5,5,5,,Candidatus_Cibionibacter_quicibialis,Blautia_wexlerae,Faecalicatena_fissicatena,Blautia_faecis,GGB3612_SGB4882,,Holdemania_filiformis,Roseburia_sp_AF02_12,,Sutterella_wadsworthensis,Gemmiger_SGB15295,,Streptococcus_salivarius,Streptococcus_gordonii,,,,,GGB9453_SGB14845,Adlercreutzia_equolifaciens,,Bilophila_wadsworthia,Lachnospiraceae_bacterium,,Bilophila_wadsworthia,Lachnospiraceae_bacterium,,,,,Blautia_faecis
6,6,6,,Gemmiger_formicilis,Bacteroides_salyersiae,Bacteroides_stercoris,Desulfovibrio_piger,Bacteroides_thetaiotaomicron,,Clostridium_sp_AF20_17LB,GGB9293_SGB14250,,Gemmiger_SGB15295,Veillonella_atypica,,Paraprevotella_clara,Eisenbergiella_tayi,,,,,Klebsiella_pneumoniae,Eubacterium_ventriosum,,Alistipes_finegoldii,Clostridiales_bacterium_KLE1615,,Alistipes_finegoldii,Clostridiales_bacterium_KLE1615,,,,,Desulfovibrio_piger
7,7,7,,Fusicatenibacter_saccharivorans,Clostridiales_bacterium,Blautia_faecis,Clostridiaceae_unclassified_SGB15090,GGB9621_SGB15073,,Eubacteriales_unclassified_SGB15145,GGB9608_SGB15041,,Anaerotignum_faecicola,Phocaeicola_SGB6473,,Alistipes_shahii,GGB9619_SGB15067,,,,,Faecalicatena_fissicatena,Oscillospiraceae_bacterium_Marseille_Q3528,,Adlercreutzia_equolifaciens,Blautia_obeum,,Adlercreutzia_equolifaciens,Blautia_obeum,,,,,Clostridiaceae_unclassified_SGB15090
8,8,8,,Parabacteroides_merdae,Adlercreutzia_equolifaciens,Candidatus_Cibionibacter_quicibialis,Bacteroides_thetaiotaomicron,Bacteroides_eggerthii,,,Bacteroides_thetaiotaomicron,,Bacteroides_thetaiotaomicron,Ruminococcus_bicirculans,,Bacteroides_salyersiae,Streptococcus_salivarius,,,,,Staphylococcus_SGB6340,GGB2653_SGB3574,,Lachnospiraceae_bacterium,Anaerobutyricum_hallii,,Lachnospiraceae_bacterium,Anaerobutyricum_hallii,,,,,Bacteroides_thetaiotaomicron
9,9,9,,Bifidobacterium_longum,Clostridium_sp_AF34_13,Blautia_obeum,Eubacteriaceae_bacterium,,,,Clostridiales_bacterium,,Ruminococcus_sp_AF46_10NS,Clostridium_sp_AF34_10BH,,Odoribacter_splanchnicus,Paraprevotella_clara,,,,,Eubacterium_siraeum,Blautia_glucerasea,,Blautia_SGB4815,Clostridium_sp_AM22_11AC,,Blautia_SGB4815,Clostridium_sp_AM22_11AC,,,,,Eubacteriaceae_bacterium
10,10,10,,Anaerostipes_hadrus,Holdemania_filiformis,Bacteroides_salyersiae,Alistipes_communis,,,,Eubacteriales_unclassified_SGB15145,,Clostridium_sp_AF34_10BH,GGB9712_SGB15244,,Coprococcus_catus,Faecalicatena_fissicatena,,,,,Vescimonas_SGB15087,Bifidobacterium_catenulatum,,,Agathobaculum_butyriciproducens,,,Agathobaculum_butyriciproducens,,,,,Alistipes_communis
11,11,11,,Bacteroides_thetaiotaomicron,Lachnospiraceae_bacterium_Marseille_Q4251,Fusicatenibacter_saccharivorans,GGB3612_SGB4882,,,,GGB9614_SGB15049,,GGB9760_SGB15374,Bacteroides_fragilis,,Clostridiales_bacterium_KLE1615,Coprococcus_SGB4669,,,,,Bifidobacterium_catenulatum,Blautia_luti,,,,,,,,,,,GGB3612_SGB4882
12,12,12,,Blautia_wexlerae,Eubacterium_sp_AF34_35BH,Anaerobutyricum_hallii,Staphylococcus_SGB6340,,,,Holdemania_filiformis,,GGB9627_SGB15081,Veillonella_dispar,,Haemophilus_parainfluenzae,Faecalibacterium_prausnitzii,,,,,Clostridium_sp_AF34_13,Klebsiella_pneumoniae,,,,,,,,,,,Staphylococcus_SGB6340
13,13,13,,Alistipes_shahii,Anaerobutyricum_hallii,Bifidobacterium_longum,GGB9512_SGB14909,,,,,,Butyricimonas_faecihominis,Allisonella_histaminiformans,,Faecalicatena_fissicatena,Bacteroides_salyersiae,,,,,Faecalibacillus_intestinalis,Ruminococcus_callidus,,,,,,,,,,,GGB9512_SGB14909
14,14,14,,Firmicutes_bacterium_AF16_15,Lachnospiraceae_bacterium,Bacteroides_thetaiotaomicron,Bifidobacterium_catenulatum,,,,,,Clostridium_sp_AF12_28,Anaerotignum_faecicola,,Coprococcus_SGB4669,Enterocloster_citroniae,,,,,Adlercreutzia_equolifaciens,Ruminococcus_sp_AF41_9,,,,,,,,,,,Bifidobacterium_catenulatum
15,15,15,,Bacteroides_salyersiae,Faecalibacterium_prausnitzii,Clostridiales_bacterium,Clostridium_leptum,,,,,,Veillonella_atypica,GGB9760_SGB15374,,Clostridiales_bacterium_Choco116,Alistipes_dispar,,,,,Eubacterium_ramulus,GGB9770_SGB15390,,,,,,,,,,,Clostridium_leptum
16,16,16,,Streptococcus_salivarius,Parabacteroides_merdae,,Acidaminococcus_intestini,,,,,,Allisonella_histaminiformans,Lacrimispora_amygdalina,,Ruminococcus_sp_AF46_10NS,Clostridia_bacterium_UC5_1_1E11,,,,,GGB2653_SGB3574,GGB9619_SGB15067,,,,,,,,,,,Acidaminococcus_intestini
17,17,17,,Flavonifractor_plautii,Bacteroides_stercoris,,Erysipelatoclostridium_ramosum,,,,,,Bacteroides_clarus,Ruminococcus_sp_AF46_10NS,,Lachnospiraceae_bacterium_BX3,Coprococcus_catus,,,,,Blautia_luti,GGB9453_SGB14845,,,,,,,,,,,Erysipelatoclostridium_ramosum
18,18,18,,Blautia_massiliensis,Phocaeicola_massiliensis,,Turicibacter_bilis,,,,,,GGB9642_SGB15119,Veillonella_parvula,,Collinsella_SGB4121,Lachnospiraceae_bacterium_BX3,,,,,GGB9453_SGB14844,GGB4566_SGB6305,,,,,,,,,,,Turicibacter_bilis
19,19,19,,Anaerobutyricum_hallii,Lachnospira_sp_NSJ_43,,,,,,,,,Evtepia_gabavorous,,GGB9619_SGB15067,Haemophilus_parainfluenzae,,,,,Clostridium_sp_AF27_2AA,Blautia_faecicola,,,,,,,,,,,Faecalicatena_fissicatena
20,20,20,,Dorea_longicatena,Blautia_faecis,,,,,,,,,,,Streptococcus_gordonii,Coprobacter_fastidiosus,,,,,Eubacterium_sp_AF34_35BH,Alistipes_ihumii,,,,,,,,,,,Blautia_obeum
21,21,21,,Faecalicatena_fissicatena,Anaerostipes_hadrus,,,,,,,,,,,GGB9627_SGB15081,Streptococcus_parasanguinis,,,,,Oscillospiraceae_bacterium_Marseille_Q3528,Vescimonas_SGB15087,,,,,,,,,,,Bacteroides_salyersiae
22,22,22,,Clostridiales_bacterium,Fusicatenibacter_saccharivorans,,,,,,,,,,,Clostridia_bacterium_UC5_1_1E11,Monoglobus_pectinilyticus,,,,,Eubacterium_ventriosum,GGB9708_SGB15234,,,,,,,,,,,Clostridiales_bacterium
23,23,23,,Blautia_faecis,Lachnospiraceae_bacterium_BX3,,,,,,,,,,,Enterocloster_citroniae,,,,,,Blautia_faecicola,GGB3612_SGB4882,,,,,,,,,,,Adlercreutzia_equolifaciens
24,24,24,,Blautia_obeum,Streptococcus_salivarius,,,,,,,,,,,Monoglobus_pectinilyticus,,,,,,Alistipes_ihumii,Faecalicatena_fissicatena,,,,,,,,,,,Clostridium_sp_AF34_13
25,25,25,,Ruminococcus_lactaris,Turicibacter_bilis,,,,,,,,,,,Clostridium_sp_AM42_4,,,,,,Ruminococcus_sp_AF41_9,GGB9760_SGB15373,,,,,,,,,,,Holdemania_filiformis
26,26,26,,Tyzzerella_nexilis,Clostridiales_Family_XIII_bacterium_BX16,,,,,,,,,,,Mediterraneibacter_glycyrrhizinilyticus,,,,,,GGB9770_SGB15390,Bacteroides_cellulosilyticus,,,,,,,,,,,Lachnospiraceae_bacterium_Marseille_Q4251
27,27,27,,Faecalibacillus_intestinalis,Bifidobacterium_longum,,,,,,,,,,,Eisenbergiella_tayi,,,,,,GGB9619_SGB15067,Gemmiger_SGB15295,,,,,,,,,,,Eubacterium_sp_AF34_35BH
28,28,28,,Sutterella_wadsworthensis,GGB9760_SGB15373,,,,,,,,,,,,,,,,,GGB4566_SGB6305,Clostridiales_bacterium_KLE1615,,,,,,,,,,,Anaerobutyricum_hallii
29,29,29,,Bilophila_wadsworthia,Ruminococcus_sp_AF41_9,,,,,,,,,,,,,,,,,Blautia_glucerasea,Clostridium_sp_AF34_13,,,,,,,,,,,Lachnospiraceae_bacterium
30,30,30,,Lachnospira_sp_NSJ_43,Flavonifractor_plautii,,,,,,,,,,,,,,,,,,Dialister_hominis,,,,,,,,,,,Faecalibacterium_prausnitzii
31,31,31,,Collinsella_SGB14861,Butyricimonas_faecihominis,,,,,,,,,,,,,,,,,,GGB79734_SGB15291,,,,,,,,,,,Parabacteroides_merdae
32,32,32,,Dysosmobacter_welbionis,GGB9619_SGB15067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_stercoris
33,33,33,,GGB9636_SGB15107,Blautia_faecicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phocaeicola_massiliensis
34,34,34,,Bifidobacterium_catenulatum,Butyricimonas_SGB15260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lachnospira_sp_NSJ_43
35,35,35,,Clostridium_symbiosum,Coprococcus_catus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaerostipes_hadrus
36,36,36,,Lachnospiraceae_bacterium,Intestinibacter_bartlettii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fusicatenibacter_saccharivorans
37,37,37,,GGB3175_SGB4191,GGB3614_SGB4886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lachnospiraceae_bacterium_BX3
38,38,38,,Blautia_luti,Bifidobacterium_catenulatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Streptococcus_salivarius
39,39,39,,Lachnospiraceae_bacterium_BX3,Eggerthella_lenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridiales_Family_XIII_bacterium_BX16
40,40,40,,Turicibacter_bilis,Anaeromassilibacillus_sp_An250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9760_SGB15373
41,41,41,,Clostridium_sp_AF34_13,Alistipes_ihumii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruminococcus_sp_AF41_9
42,42,42,,GGB9760_SGB15373,GGB9453_SGB14844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavonifractor_plautii
43,43,43,,Clostridium_sp_NSJ_42,Blautia_glucerasea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butyricimonas_faecihominis
44,44,44,,Lachnospiraceae_bacterium_Marseille_Q4251,Desulfovibrio_piger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9619_SGB15067
45,45,45,,Intestinibacter_bartlettii,Streptococcus_gordonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_faecicola
46,46,46,,Alistipes_ihumii,GGB3175_SGB4191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butyricimonas_SGB15260
47,47,47,,Clostridia_bacterium_UC5_1_1D1,Clostridium_sp_AT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coprococcus_catus
48,48,48,,Adlercreutzia_equolifaciens,Megasphaera_micronuciformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intestinibacter_bartlettii
49,49,49,,Coprococcus_catus,Ruminococcus_bicirculans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB3614_SGB4886
50,50,50,,GGB9719_SGB15272,Clostridia_bacterium_UC5_1_1D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eggerthella_lenta
51,51,51,,Streptococcus_gordonii,Faecalibacillus_intestinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaeromassilibacillus_sp_An250
52,52,52,,Blautia_glucerasea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alistipes_ihumii
53,53,53,,Anaeromassilibacillus_sp_An250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9453_SGB14844
54,54,54,,Clostridiales_Family_XIII_bacterium_BX16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_glucerasea
55,55,55,,Eubacterium_sp_AF34_35BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Streptococcus_gordonii
56,56,56,,Gemella_sanguinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB3175_SGB4191
57,57,57,,Mediterraneibacter_glycyrrhizinilyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AT4
58,58,58,,Ellagibacter_isourolithinifaciens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Megasphaera_micronuciformis
59,59,59,,GGB9770_SGB15390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruminococcus_bicirculans
60,60,60,,GGB9619_SGB15067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridia_bacterium_UC5_1_1D1
61,61,61,,Streptococcus_infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faecalibacillus_intestinalis
62,62,62,,Merdimonas_faecis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Candidatus_Cibionibacter_quicibialis
63,63,63,,GGB9621_SGB15073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phocaeicola_dorei
64,64,64,,Holdemania_filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB3746_SGB5089
65,65,65,,GGB9453_SGB14844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridiaceae_bacterium_AF18_31LB
66,66,66,,GGB79973_SGB14341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AF20_17LB
