Feature,Frequency
Escherichia_coli,3
Megamonas_funiformis,2
Prevotella_copri_clade_A,2
Phocaeicola_massiliensis,2
Bifidobacterium_pseudocatenulatum,3
Ruminococcus_bicirculans,3
Blautia_wexlerae,2
Alistipes_shahii,3
Ruminococcus_sp_BSD2780120874_150323_B10,2
Streptococcus_thermophilus,3
GGB3304_SGB4367,3
Ruminococcus_gnavus,2
Eubacterium_ventriosum,3
Clostridiaceae_bacterium,3
Anaerostipes_hadrus,3
Bifidobacterium_longum,1
Klebsiella_pneumoniae,3
Clostridium_sp_AM22_11AC,3
Lacrimispora_amygdalina,3
Clostridium_sp_AM42_4,2
Roseburia_inulinivorans,2
Bacteroides_xylanisolvens,2
Megasphaera_micronuciformis,2
Streptococcus_salivarius,2
Bacteroides_finegoldii,2
Desulfovibrio_piger,2
GGB47687_SGB2286,2
Clostridium_fessum,1
Paraprevotella_clara,2
Erysipelatoclostridium_ramosum,2
GGB9512_SGB14909,2
Butyricimonas_SGB15260,2
Clostridium_leptum,2
GGB9712_SGB15244,2
Enterococcus_faecalis,2
Clostridium_SGB4750,3
Blautia_producta,2
Bacteroides_cellulosilyticus,2
GGB9642_SGB15119,2
Clostridia_bacterium_UC5_1_1D1,2
GGB9619_SGB15067,2
Bacteroides_salyersiae,2
Merdimonas_faecis,2
Alistipes_sp_AF17_16,2
GGB33469_SGB15236,2
Clostridium_sp_AM33_3,2
GGB3614_SGB4886,2
Collinsella_SGB4121,2
Clostridium_sp_AF27_2AA,2
Alistipes_indistinctus,2
Gemmiger_SGB15299,2
Haemophilus_parainfluenzae,2
Dysosmobacter_sp_NSJ_60,2
Eggerthella_lenta,2
Eisenbergiella_tayi,2
Clostridiales_bacterium_KLE1615,2
Ruminococcus_callidus,2
Lachnospiraceae_bacterium_Marseille_Q4251,2
Blautia_faecis,1
Sellimonas_intestinalis,1
Ruminococcus_SGB4421,1
Streptococcus_parasanguinis,1
GGB3363_SGB4448,1
Candidatus_Cibionibacter_quicibialis,1
Oscillospiraceae_unclassified_SGB15256,1
Dysosmobacter_welbionis,1
Lawsonibacter_asaccharolyticus,1
