Feature,Frequency,Study Count
Bacteroides_intestinalis,1,1
GGB51647_SGB4348,3,3
Ruminococcus_callidus,1,1
Bifidobacterium_catenulatum,2,2
Ruminococcus_bromii,4,3
Anaerostipes_hadrus,5,4
Negativibacillus_massiliensis,2,2
GGB3819_SGB5184,2,2
Citrobacter_freundii,2,2
Slackia_isoflavoniconvertens,1,1
GGB9593_SGB15015,2,2
Bifidobacterium_longum,5,4
GGB3612_SGB4882,2,2
Methylobacterium_SGB15164,2,2
Eubacteriaceae_bacterium,5,5
Desulfovibrio_piger,1,1
Clostridium_sp_AF12_28,1,1
GGB9747_SGB15356,1,1
GGB1420_SGB1957,1,1
Clostridium_sp_AF34_13,1,1
GGB9453_SGB14844,3,3
Streptococcus_thermophilus,5,4
Lawsonibacter_asaccharolyticus,1,1
Clostridium_sp_AF20_17LB,1,1
Dysosmobacter_sp_NSJ_60,1,1
GGB14025_SGB14906,2,2
Enterocloster_aldenensis,1,1
GGB9619_SGB15067,1,1
Anaerostipes_caccae,1,1
Anaerobutyricum_hallii,6,5
Blautia_sp_Marseille_P3087,4,4
GGB9608_SGB15041,1,1
Blautia_obeum,6,5
Dorea_longicatena,6,5
Lachnospiraceae_bacterium_Marseille_Q4251,4,3
Dorea_sp_AF36_15AT,5,4
Blautia_massiliensis,6,5
Eubacteriales_unclassified_SGB15145,1,1
Blautia_glucerasea,3,3
Alistipes_senegalensis,2,2
Alistipes_finegoldii,1,1
GGB3746_SGB5089,1,1
Clostridiales_bacterium,2,2
Gemmiger_formicilis,2,2
Phocaeicola_massiliensis,5,4
Roseburia_hominis,1,1
Clostridiaceae_unclassified_SGB15090,1,1
Bacteroides_nordii,1,1
Phocaeicola_vulgatus,6,5
Blautia_hansenii,1,1
Bacteroides_finegoldii,5,4
Alistipes_putredinis,2,2
Anaerotignum_faecicola,1,1
GGB51269_SGB5062,1,1
Alistipes_communis,1,1
GGB9760_SGB15373,3,3
Klebsiella_pneumoniae,2,2
Romboutsia_timonensis,3,3
Butyricimonas_faecihominis,4,4
Evtepia_gabavorous,2,2
Veillonella_parvula,4,4
Blautia_wexlerae,5,4
Blautia_SGB4815,4,3
Intestinibacter_bartlettii,1,1
Parabacteroides_merdae,4,3
GGB9758_SGB15368,1,1
Lachnospira_eligens,1,1
Bifidobacterium_dentium,1,1
GGB9713_SGB15249,1,1
GGB13493_SGB15238,1,1
Coprococcus_comes,3,2
GGB9293_SGB14250,1,1
Bacteroides_stercoris,4,3
Eubacterium_SGB6276,2,2
Clostridium_sp_AF34_10BH,1,1
Clostridiales_Family_XIII_bacterium_BX16,3,3
Alistipes_dispar,2,2
Blautia_faecis,5,4
Megasphaera_micronuciformis,5,5
Roseburia_intestinalis,1,1
Alistipes_shahii,6,5
GGB9614_SGB15049,1,1
Parasutterella_excrementihominis,1,1
Faecalibacillus_intestinalis,5,4
GGB3278_SGB4328,1,1
Acidaminococcus_intestini,1,1
Clostridium_sp_AM22_11AC,2,2
Clostridiaceae_bacterium,1,1
Dorea_formicigenerans,6,5
Paraprevotella_clara,3,3
Clostridiaceae_bacterium_Marseille_Q4149,1,1
Bacteroides_cellulosilyticus,3,3
Mediterraneibacter_glycyrrhizinilyticus,1,1
Faecalibacterium_prausnitzii,1,1
