Feature,Frequency
Ruminococcus_torques,2
Ruminococcus_bicirculans,24
Clostridiaceae_unclassified_SGB15090,1
Anaerobutyricum_soehngenii,2
GGB3304_SGB4367,22
Phocaeicola_dorei,2
GGB47687_SGB2286,12
GGB9747_SGB15356,1
Clostridium_sp_AM49_4BH,1
Paraprevotella_clara,12
Desulfovibrio_SGB5076,1
Blautia_producta,13
Clostridium_sp_AF34_13,1
GGB9608_SGB15041,1
Parasutterella_excrementihominis,1
Prevotella_stercorea,2
Mesosutterella_multiformis,1
Parabacteroides_goldsteinii,2
GGB33512_SGB15201,1
Eubacterium_ventriosum,24
Streptococcus_thermophilus,23
Clostridium_SGB4750,22
Klebsiella_pneumoniae,23
Bifidobacterium_pseudocatenulatum,22
GGB3614_SGB4886,12
Erysipelatoclostridium_ramosum,11
Anaerostipes_hadrus,24
Clostridium_sp_AM22_11AC,23
GGB9642_SGB15119,11
Escherichia_coli,23
Blautia_faecis,12
Lacrimispora_amygdalina,22
Collinsella_SGB4121,12
Enterococcus_faecalis,12
Clostridia_bacterium_UC5_1_1D1,12
Merdimonas_faecis,12
Bacteroides_cellulosilyticus,12
Roseburia_inulinivorans,21
Dysosmobacter_sp_NSJ_60,12
Blautia_wexlerae,14
Eggerthella_lenta,12
Butyricimonas_SGB15260,11
Clostridium_sp_AM42_4,13
Ruminococcus_sp_BSD2780120874_150323_B10,12
Bacteroides_xylanisolvens,11
Desulfovibrio_piger,12
Ruminococcus_gnavus,11
Clostridiales_bacterium_KLE1615,13
Lachnospiraceae_bacterium_Marseille_Q4251,13
Gemmiger_SGB15299,11
Prevotella_copri_clade_A,13
Alistipes_shahii,24
Clostridium_leptum,11
Bacteroides_finegoldii,12
GGB9512_SGB14909,11
Streptococcus_salivarius,12
GGB9712_SGB15244,11
GGB33469_SGB15236,11
Ruminococcus_callidus,12
Alistipes_sp_AF17_16,13
Megamonas_funiformis,12
Clostridium_sp_AF27_2AA,12
Faecalibacterium_prausnitzii,12
Candidatus_Cibionibacter_quicibialis,11
Bacteroides_salyersiae,12
Sellimonas_intestinalis,11
GGB9619_SGB15067,11
Phocaeicola_massiliensis,12
Clostridiaceae_bacterium,14
Haemophilus_parainfluenzae,11
Megasphaera_micronuciformis,12
Clostridium_fessum,22
