Feature,Frequency
Escherichia_coli,17
Megamonas_funiformis,8
Prevotella_copri_clade_A,7
Phocaeicola_massiliensis,7
Bifidobacterium_pseudocatenulatum,27
Ruminococcus_bicirculans,27
Alistipes_shahii,7
Ruminococcus_sp_BSD2780120874_150323_B10,8
Streptococcus_thermophilus,27
Blautia_wexlerae,16
Ruminococcus_gnavus,18
Bifidobacterium_longum,26
Eubacterium_ventriosum,27
GGB3304_SGB4367,16
Klebsiella_pneumoniae,7
Anaerostipes_hadrus,26
Roseburia_inulinivorans,18
Clostridiaceae_bacterium,26
Clostridium_sp_AM42_4,8
Lacrimispora_amygdalina,27
Bacteroides_xylanisolvens,18
Clostridium_sp_AM22_11AC,18
Clostridium_fessum,8
Megasphaera_micronuciformis,7
Bacteroides_finegoldii,17
Desulfovibrio_piger,18
Streptococcus_salivarius,17
Butyricimonas_SGB15260,17
Erysipelatoclostridium_ramosum,18
Paraprevotella_clara,8
GGB47687_SGB2286,18
GGB9512_SGB14909,18
Enterococcus_faecalis,18
Clostridium_leptum,16
GGB9712_SGB15244,8
Clostridium_SGB4750,27
Alistipes_sp_AF17_16,7
Bacteroides_salyersiae,7
GGB9642_SGB15119,18
Bacteroides_cellulosilyticus,7
Blautia_producta,18
GGB3614_SGB4886,18
Merdimonas_faecis,18
Clostridia_bacterium_UC5_1_1D1,18
GGB9619_SGB15067,7
Alistipes_indistinctus,7
GGB33469_SGB15236,18
Clostridium_sp_AM33_3,8
Collinsella_SGB4121,18
Clostridium_sp_AF27_2AA,8
Gemmiger_SGB15299,18
Haemophilus_parainfluenzae,18
Eisenbergiella_tayi,8
Dysosmobacter_sp_NSJ_60,8
Eggerthella_lenta,17
Clostridiales_bacterium_KLE1615,7
Ruminococcus_callidus,17
Lachnospiraceae_bacterium_Marseille_Q4251,17
Blautia_faecis,9
Enterocloster_bolteae,11
GGB9635_SGB15106,11
Eubacterium_SGB6276,11
GGB9747_SGB15356,11
Candidatus_Cibionibacter_quicibialis,11
Butyricicoccus_sp_AM29_23AC,10
Clostridiaceae_unclassified_SGB15090,11
Ruminococcus_SGB4421,11
Streptococcus_parasanguinis,9
Enterobacter_hormaechei,11
Sellimonas_intestinalis,10
Phascolarctobacterium_faecium,11
Enterocloster_citroniae,11
GGB80140_SGB15224,11
Flavonifractor_plautii,10
Clostridia_bacterium,11
GGB9767_SGB15385,9
Oscillospiraceae_unclassified_SGB15256,10
Dysosmobacter_welbionis,9
GGB3277_SGB4327,9
Clostridiales_bacterium_Choco116,9
Turicibacter_bilis,9
Slackia_isoflavoniconvertens,10
Bacteroides_ovatus,10
Phocaeicola_plebeius,1
Prevotella_stercorea,1
Phocaeicola_vulgatus,1
Parabacteroides_distasonis,1
Prevotella_copri_clade_C,1
Ruminococcus_torques,1
Lachnospira_eligens,1
Coprococcus_comes,1
Holdemanella_porci,1
Desulfovibrio_SGB5076,1
Ruminococcus_sp_AF46_10NS,1
Parasutterella_excrementihominis,1
Gemella_sanguinis,1
Eubacterium_siraeum,1
GGB9636_SGB15107,1
Senegalimassilia_anaerobia,1
Dorea_sp_AF24_7LB,1
Clostridiales_Family_XIII_bacterium_BX16,1
Blautia_luti,1
Ruminococcus_sp_AF13_28,1
GGB33512_SGB15201,1
Enterocloster_aldenensis,1
Clostridium_SGB4751,1
GGB3653_SGB4964,1
Clostridiaceae_bacterium_AF18_31LB,1
GGB9614_SGB15049,1
GGB3363_SGB4448,1
Dorea_formicigenerans,1
