Feature,Frequency
Escherichia_coli,17
Megamonas_funiformis,18
Prevotella_copri_clade_A,17
Phocaeicola_massiliensis,7
Bifidobacterium_pseudocatenulatum,27
Ruminococcus_bicirculans,27
Alistipes_shahii,26
Ruminococcus_sp_BSD2780120874_150323_B10,18
Streptococcus_thermophilus,27
Blautia_wexlerae,16
Ruminococcus_gnavus,17
Bifidobacterium_longum,8
Eubacterium_ventriosum,27
GGB3304_SGB4367,26
Klebsiella_pneumoniae,17
Anaerostipes_hadrus,26
Roseburia_inulinivorans,27
Clostridiaceae_bacterium,26
Clostridium_sp_AM42_4,18
Lacrimispora_amygdalina,27
Bacteroides_xylanisolvens,18
Clostridium_sp_AM22_11AC,18
Clostridium_fessum,8
Megasphaera_micronuciformis,17
Bacteroides_finegoldii,7
Desulfovibrio_piger,18
Streptococcus_salivarius,16
Butyricimonas_SGB15260,7
Erysipelatoclostridium_ramosum,27
Paraprevotella_clara,7
GGB47687_SGB2286,18
GGB9512_SGB14909,18
Enterococcus_faecalis,18
Clostridium_leptum,7
GGB9712_SGB15244,9
Clostridium_SGB4750,27
Alistipes_sp_AF17_16,16
Bacteroides_salyersiae,17
GGB9642_SGB15119,18
Bacteroides_cellulosilyticus,17
Blautia_producta,18
GGB3614_SGB4886,18
Merdimonas_faecis,18
Clostridia_bacterium_UC5_1_1D1,18
GGB9619_SGB15067,7
Alistipes_indistinctus,17
GGB33469_SGB15236,8
Clostridium_sp_AM33_3,18
Collinsella_SGB4121,18
Clostridium_sp_AF27_2AA,18
Gemmiger_SGB15299,18
Haemophilus_parainfluenzae,18
Eisenbergiella_tayi,8
Dysosmobacter_sp_NSJ_60,18
Eggerthella_lenta,17
Clostridiales_bacterium_KLE1615,17
Ruminococcus_callidus,17
Lachnospiraceae_bacterium_Marseille_Q4251,16
Blautia_faecis,9
Streptococcus_parasanguinis,10
Desulfovibrio_SGB5077,10
Blautia_obeum,9
Clostridium_sp_AF34_10BH,10
Clostridia_bacterium,11
Enterobacter_hormaechei,11
Clostridium_SGB4751,11
Clostridiales_bacterium_Choco116,9
Parabacteroides_distasonis,10
Slackia_isoflavoniconvertens,11
GGB3363_SGB4448,11
Ruminococcus_SGB4421,10
Candidatus_Cibionibacter_quicibialis,11
GGB9635_SGB15106,10
Clostridiaceae_unclassified_SGB15090,10
GGB33512_SGB15201,10
GGB9713_SGB15249,10
GGB9614_SGB15049,10
Sellimonas_intestinalis,9
Phocaeicola_plebeius,1
Prevotella_stercorea,2
Phocaeicola_vulgatus,2
Phascolarctobacterium_faecium,1
Prevotella_copri_clade_C,1
Ruminococcus_torques,1
Lachnospira_eligens,1
Bacteroides_ovatus,1
Coprococcus_comes,1
Holdemanella_porci,1
GGB9747_SGB15356,1
Flavonifractor_plautii,1
Desulfovibrio_SGB5076,1
Ruminococcus_sp_AF46_10NS,1
Parasutterella_excrementihominis,1
Gemella_sanguinis,1
Eubacterium_siraeum,1
GGB9636_SGB15107,1
Senegalimassilia_anaerobia,1
Enterocloster_citroniae,1
Dorea_sp_AF24_7LB,1
Clostridiales_Family_XIII_bacterium_BX16,1
Eubacterium_SGB6276,1
Oscillospiraceae_unclassified_SGB15256,1
Blautia_luti,1
Ruminococcus_sp_AF13_28,1
Enterocloster_aldenensis,1
GGB80140_SGB15224,1
Enterocloster_bolteae,1
GGB3653_SGB4964,1
Clostridiaceae_bacterium_AF18_31LB,2
