feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Eubacterium_ventriosum	Group	CTR	1.78284527621081	0.436928190197882	875	532	4.9074775819471e-05	0.00762604254682234
Streptococcus_thermophilus	Group	CTR	1.36302519468582	0.334637762339854	875	350	5.06033816711613e-05	0.00762604254682234
Clostridium_SGB4750	Group	CTR	1.33929207382736	0.33359413841406	875	557	6.46274792103588e-05	0.00762604254682234
Ruminococcus_bicirculans	Group	CTR	1.30361769194965	0.428069244549335	875	494	0.00239395725922005	0.0677682049854056
GGB3614_SGB4886	Group	CTR	-0.600415156809682	0.197926174857584	875	78	0.00248866289494427	0.0677682049854056
Anaerostipes_hadrus	Group	CTR	1.09563271929455	0.357395217493604	875	740	0.00223916443703321	0.0677682049854056
Clostridium_sp_AM22_11AC	Group	CTR	1.38047257802117	0.444185173824894	875	556	0.001945394507203	0.0677682049854056
Klebsiella_pneumoniae	Group	CTR	-0.942702824880979	0.298152415925632	875	231	0.00162202274133605	0.0677682049854056
GGB9642_SGB15119	Group	CTR	-0.867988619935918	0.274843657796371	875	136	0.00164249933895097	0.0677682049854056
Collinsella_SGB4121	Group	CTR	0.87333548275431	0.287293490277029	875	415	0.00243740206438092	0.0677682049854056
Bifidobacterium_pseudocatenulatum	Group	CTR	1.36919027055915	0.426162808500932	875	402	0.00136249419477308	0.0677682049854056
Erysipelatoclostridium_ramosum	Group	CTR	1.16961149723597	0.362589504831631	875	342	0.00130331961341237	0.0677682049854056
Clostridia_bacterium_UC5_1_1D1	Group	CTR	0.960217096730395	0.306252932841295	875	424	0.00177379282964258	0.0677682049854056
Blautia_faecis	Group	CTR	0.883081176021747	0.300924565739509	875	787	0.00342773145106537	0.0806520704734086
Lacrimispora_amygdalina	Group	CTR	1.18651446083338	0.401783516193668	875	603	0.00323016687092216	0.0806520704734086
Merdimonas_faecis	Group	CTR	0.745230955932662	0.255634636796566	875	122	0.00364529132083203	0.0806520704734086
Escherichia_coli	Group	CTR	-1.15120894933158	0.406124141388849	875	596	0.00469388116465901	0.0923129962382938
Blautia_producta	Group	CTR	0.847093976753291	0.297883285525311	875	166	0.00456328783515489	0.0923129962382938
Bacteroides_cellulosilyticus	Group	CTR	-1.10810941637943	0.40130014054062	875	410	0.00587802592936484	0.101614527053247
