"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Escherichia_coli|Escherichia_coli" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Escherichia_coli|Escherichia_coli" "LEfSe" "ADA" 3.88907097687432 0.00395878816782 0.00395878816782 "**"
"NA|NA|NA|NA|NA|NA|Megamonas_funiformis|Megamonas_funiformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Megamonas_funiformis|Megamonas_funiformis" "LEfSe" "ADA" 3.55590756582543 0.0110685075267279 0.0110685075267279 "*"
"NA|NA|NA|NA|NA|NA|Prevotella_copri_clade_A|Prevotella_copri_clade_A" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Prevotella_copri_clade_A|Prevotella_copri_clade_A" "LEfSe" "ADA" 3.53782748607169 0.0147158241069747 0.0147158241069747 "*"
"NA|NA|NA|NA|NA|NA|Phocaeicola_massiliensis|Phocaeicola_massiliensis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_massiliensis|Phocaeicola_massiliensis" "LEfSe" "ADA" 3.3096690889048 0.0242049620983591 0.0242049620983591 "*"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_pseudocatenulatum|Bifidobacterium_pseudocatenulatum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_pseudocatenulatum|Bifidobacterium_pseudocatenulatum" "LEfSe" "ADA" 3.2245901623882 0.00142206118780881 0.00142206118780881 "**"
"NA|NA|NA|NA|NA|NA|Ruminococcus_bicirculans|Ruminococcus_bicirculans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_bicirculans|Ruminococcus_bicirculans" "LEfSe" "CTR" 3.20848735070887 0.00241933231952846 0.00241933231952846 "**"
"NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "LEfSe" "CTR" 2.98705289969057 0.0455486207194487 0.0455486207194487 "*"
"NA|NA|NA|NA|NA|NA|Alistipes_shahii|Alistipes_shahii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_shahii|Alistipes_shahii" "LEfSe" "ADA" 2.97615129967306 0.0063648955916257 0.0063648955916257 "**"
"NA|NA|NA|NA|NA|NA|Ruminococcus_sp_BSD2780120874_150323_B10|Ruminococcus_sp_BSD2780120874_150323_B10" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_sp_BSD2780120874_150323_B10|Ruminococcus_sp_BSD2780120874_150323_B10" "LEfSe" "ADA" 2.96392634220173 0.00120972175343108 0.00120972175343108 "**"
"NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "LEfSe" "ADA" 2.95686320701554 2.50094356254194e-05 2.50094356254194e-05 "***"
