feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium_SGB4750	Group	CTR	1.47636996436221	0.341927562333251	788	511	1.77755340732521e-05	0.00629253906193124
GGB3614_SGB4886	Group	CTR	-0.945945346072284	0.244857374145218	788	75	0.000121105852509356	0.0214357358941561
Streptococcus_thermophilus	Group	CTR	1.29449776247284	0.356639493794178	788	340	0.000302105323284483	0.0267363211106767
Bifidobacterium_pseudocatenulatum	Group	CTR	1.85853043649661	0.510806437270082	788	355	0.000292230515729637	0.0267363211106767
Eubacterium_ventriosum	Group	CTR	1.53910229626777	0.450222358856707	788	473	0.000662002213102546	0.0400922190323749
Erysipelatoclostridium_ramosum	Group	CTR	1.56173697146265	0.457811004206471	788	327	0.000679529136141947	0.0400922190323749
Enterococcus_faecalis	Group	CTR	-0.704825002686895	0.219205092309181	788	101	0.0013560256722455	0.0685761554249868
Bacteroides_xylanisolvens	Group	CTR	1.30273029900901	0.438021530461879	788	541	0.00302816034738608	0.0872902817731348
Ruminococcus_bicirculans	Group	CTR	1.53035728312791	0.520068310643911	788	419	0.00335034598336695	0.0872902817731348
Streptococcus_salivarius	Group	CTR	1.03068392169529	0.3500688578127	788	674	0.0033330106956239	0.0872902817731348
GGB9642_SGB15119	Group	CTR	-0.896659757931889	0.291690178610186	788	130	0.00218500406779713	0.0872902817731348
Clostridia_bacterium_UC5_1_1D1	Group	CTR	0.915156381064737	0.311668074698103	788	408	0.00341828699723227	0.0872902817731348
Merdimonas_faecis	Group	CTR	0.819470656915571	0.27599105174513	788	120	0.00307662626236363	0.0872902817731348
Blautia_producta	Group	CTR	0.868670145328108	0.296148623765466	788	161	0.00345215803622567	0.0872902817731348
Lacrimispora_amygdalina	Group	CTR	1.2565325924798	0.453689236180273	788	537	0.00574503892192319	0.134822199677994
Collinsella_SGB4121	Group	CTR	0.915414609789966	0.332859638791188	788	373	0.00609365874250819	0.134822199677994
Clostridium_sp_AM22_11AC	Group	CTR	1.29052224562634	0.484733287993018	788	493	0.00791868095563605	0.149349231725755
Gemmiger_SGB15299	Group	CTR	-0.782881109138146	0.293273225011333	788	176	0.00775412337249101	0.149349231725755
Eggerthella_lenta	Group	CTR	0.956356907040708	0.359777947151862	788	502	0.00801591921691903	0.149349231725755
Blautia_wexlerae	Group	CTR	0.698169389985672	0.27085411521114	788	757	0.0101282901278872	0.159673316251879
Blautia_faecis	Group	CTR	0.773274521874299	0.300545778440465	788	727	0.0102673691525197	0.159673316251879
Anaerostipes_hadrus	Group	CTR	0.825965593397616	0.32147700000638	788	682	0.0103742550107153	0.159673316251879
Enterocloster_bolteae	Group	CTR	0.965013468089648	0.370781820751932	788	498	0.00942506608674237	0.159673316251879
Bacteroides_finegoldii	Group	CTR	-1.09980187406935	0.437005842913238	788	233	0.0120447905239084	0.175308974321765
GGB33469_SGB15236	Group	CTR	-1.04955736160636	0.418668840865487	788	207	0.0123805772826105	0.175308974321765
Roseburia_inulinivorans	Group	CTR	0.951703435057659	0.401827224183717	788	644	0.0181042771097014	0.212666451190089
GGB9635_SGB15106	Group	CTR	-0.843072203793666	0.356635796671433	788	204	0.0183231331907992	0.212666451190089
Bifidobacterium_longum	Group	CTR	0.915839011107831	0.388258450306874	788	607	0.0185760312972812	0.212666451190089
GGB47687_SGB2286	Group	CTR	-0.699061479060427	0.291431255975493	788	152	0.0166846279287367	0.212666451190089
Ruminococcus_gnavus	Group	CTR	1.19663515464322	0.499854366116725	788	529	0.0169006770821004	0.212666451190089
Butyricimonas_SGB15260	Group	CTR	-0.782167679831473	0.331723882727319	788	219	0.0186233332963072	0.212666451190089
Eubacterium_SGB6276	Group	CTR	-0.754894129220861	0.322703945707412	788	155	0.0195706464544327	0.215936027738139
GGB9747_SGB15356	Group	CTR	-0.814015142759935	0.360961595687961	788	182	0.0243995511568519	0.215936027738139
Candidatus_Cibionibacter_quicibialis	Group	CTR	-1.14795066809847	0.508168543187703	788	580	0.0241568571520927	0.215936027738139
Haemophilus_parainfluenzae	Group	CTR	0.840873528739768	0.361468323446349	788	381	0.0202574799507649	0.215936027738139
Butyricicoccus_sp_AM29_23AC	Group	CTR	-0.890692753991162	0.388755963404719	788	240	0.0222193354230084	0.215936027738139
Desulfovibrio_piger	Group	CTR	-0.577201810555248	0.255782268736604	788	110	0.0243061297437854	0.215936027738139
Ruminococcus_callidus	Group	CTR	-0.791737192525766	0.350999471252833	788	164	0.024365817559293	0.215936027738139
GGB3304_SGB4367	Group	CTR	-0.833427991733553	0.368417451434309	788	192	0.0239583350672867	0.215936027738139
Clostridiaceae_unclassified_SGB15090	Group	CTR	-0.513017455532933	0.227340403341324	788	101	0.0243066956726484	0.215936027738139
Ruminococcus_SGB4421	Group	CTR	0.618689617363665	0.275784422429694	788	149	0.0251500153040984	0.21714891262563
Streptococcus_parasanguinis	Group	CTR	0.824129974234962	0.371782268992182	788	583	0.0269290784543134	0.226973661257785
Escherichia_coli	Group	CTR	-0.959247753170992	0.436699560382986	788	509	0.0283413941915326	0.233322175437269
Enterobacter_hormaechei	Group	CTR	-0.491647656326705	0.224905426921815	788	73	0.0291084969389024	0.234191089008442
Sellimonas_intestinalis	Group	CTR	0.70764794697884	0.325188886757753	788	219	0.0298439045092442	0.234772048806055
Phascolarctobacterium_faecium	Group	CTR	0.986122204911046	0.462287302553888	788	332	0.0332226326758333	0.245016915984271
Clostridiaceae_bacterium	Group	CTR	0.642041639342926	0.298659125420048	788	708	0.0318797584557422	0.245016915984271
Enterocloster_citroniae	Group	CTR	0.722379360390042	0.337888847910628	788	374	0.032831060666466	0.245016915984271
GGB9512_SGB14909	Group	CTR	-0.460883400280157	0.219142586769226	788	161	0.0357725170611406	0.250718136854078
GGB80140_SGB15224	Group	CTR	-0.518423629186741	0.245879783731043	788	143	0.0353085429606924	0.250718136854078
Flavonifractor_plautii	Group	CTR	0.779278585032792	0.372642618425689	788	629	0.0368286528712204	0.250718136854078
Clostridia_bacterium	Group	CTR	-0.529250179933784	0.252408098089236	788	89	0.0363300038104725	0.250718136854078
GGB9767_SGB15385	Group	CTR	-0.473856355562217	0.227809726040121	788	97	0.0378441297390865	0.251728169974516
Oscillospiraceae_unclassified_SGB15256	Group	CTR	-0.521046203372896	0.251548692319371	788	90	0.0386515572114411	0.251728169974516
Dysosmobacter_welbionis	Group	CTR	0.700206451312092	0.338840348528064	788	641	0.0391103088943457	0.251728169974516
Lachnospiraceae_bacterium_Marseille_Q4251	Group	CTR	0.769114554893399	0.376749181075052	788	438	0.0415395854390309	0.262589522239588
GGB3277_SGB4327	Group	CTR	0.679601834203447	0.337587808499678	788	161	0.0444434121016589	0.271258066965297
Clostridiales_bacterium_Choco116	Group	CTR	-0.448012254337282	0.222159963601152	788	105	0.0440748039725782	0.271258066965297
Clostridium_leptum	Group	CTR	0.799319031430426	0.398633645267298	788	490	0.0452897645089097	0.271738587053458
Turicibacter_bilis	Group	CTR	0.557123749764858	0.280802434593273	788	188	0.047598626027453	0.279961616539534
Slackia_isoflavoniconvertens	Group	CTR	-0.452378749524	0.22866873503251	788	158	0.0482419734715016	0.279961616539534
Bacteroides_cellulosilyticus	Group	CTR	-0.856868415029794	0.436760831863468	788	352	0.0501300378908188	0.281683070053172
Bacteroides_ovatus	Group	CTR	0.796265847500523	0.404758680774736	788	614	0.0495044752440718	0.281683070053172
Paraprevotella_clara	Group	CTR	-0.778935134097663	0.407380932195513	788	212	0.0562322989355669	0.30624975112601
Dysosmobacter_sp_NSJ_60	Group	CTR	0.66308796692163	0.346656216576191	788	438	0.0561353249845643	0.30624975112601
Clostridium_sp_AF27_2AA	Group	CTR	0.567560943605244	0.300866816422182	788	239	0.0596068847579198	0.319709654610661
GGB9712_SGB15244	Group	CTR	-0.489301099311675	0.260314899814229	788	166	0.0605253918188045	0.319790876176967
Lachnospira_eligens	Group	CTR	0.957164814835472	0.514339353737746	788	520	0.063123051459332	0.328611179655934
GGB4578_SGB6328	Group	CTR	-0.428599336390323	0.23287987415997	788	69	0.0660818043975589	0.33902838777878
GGB9636_SGB15107	Group	CTR	-0.413232660940424	0.226448237138513	788	84	0.0684040378986124	0.341056752339561
Clostridium_sp_AM42_4	Group	CTR	0.389063377024161	0.213094517367408	788	129	0.0682629210568711	0.341056752339561
Klebsiella_pneumoniae	Group	CTR	-0.545105558664117	0.300060845511132	788	177	0.0696514691931991	0.342453056866562
GGB3109_SGB4119	Group	CTR	0.433571152126649	0.241419515255777	788	143	0.0728905262307299	0.353469127201074
GGB9619_SGB15067	Group	CTR	0.548723036554797	0.308043288702469	788	255	0.0752465933804238	0.359963433198243
Parabacteroides_distasonis	Group	CTR	0.642529791785567	0.378453712908428	788	662	0.0899457944579081	0.398010140476243
Negativibacillus_massiliensis	Group	CTR	0.577902730006823	0.33690435836262	788	186	0.0866785441460857	0.398010140476243
Butyricimonas_paravirosa	Group	CTR	0.408090734981054	0.237917978335621	788	156	0.0866920445996903	0.398010140476243
Bacteroides_thetaiotaomicron	Group	CTR	0.676687137923757	0.393639838396139	788	637	0.0859987329923893	0.398010140476243
Desulfovibrio_SGB5076	Group	CTR	0.452984795225842	0.266022275216057	788	113	0.088999405892337	0.398010140476243
Megasphaera_micronuciformis	Group	CTR	-0.429560807669933	0.25233052365967	788	97	0.089080763785335	0.398010140476243
Clostridium_sp_AM49_4BH	Group	CTR	-0.647313629818637	0.390394483829626	788	258	0.0976960046750873	0.410330744894763
Coprococcus_comes	Group	CTR	-0.712340047895591	0.434375798590728	788	530	0.101422646986674	0.410330744894763
