"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Escherichia_coli|Escherichia_coli" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Escherichia_coli|Escherichia_coli" "LEfSe" "ADA" 3.75411710145375 0.0350107226586328 0.0350107226586328 "*"
"NA|NA|NA|NA|NA|NA|Candidatus_Cibionibacter_quicibialis|Candidatus_Cibionibacter_quicibialis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Candidatus_Cibionibacter_quicibialis|Candidatus_Cibionibacter_quicibialis" "LEfSe" "ADA" 3.49668805393991 0.0220078085027315 0.0220078085027315 "*"
"NA|NA|NA|NA|NA|NA|Ruminococcus_bicirculans|Ruminococcus_bicirculans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_bicirculans|Ruminococcus_bicirculans" "LEfSe" "CTR" 3.26819373506682 0.0025714942624509 0.0025714942624509 "**"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_pseudocatenulatum|Bifidobacterium_pseudocatenulatum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_pseudocatenulatum|Bifidobacterium_pseudocatenulatum" "LEfSe" "ADA" 3.17894326612513 0.000262600331655525 0.000262600331655525 "***"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "LEfSe" "CTR" 3.15802167953637 0.0119761398874305 0.0119761398874305 "*"
"NA|NA|NA|NA|NA|NA|Clostridiaceae_unclassified_SGB15090|Clostridiaceae_unclassified_SGB15090" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiaceae_unclassified_SGB15090|Clostridiaceae_unclassified_SGB15090" "LEfSe" "ADA" 3.09676863702666 0.0438662319871705 0.0438662319871705 "*"
"NA|NA|NA|NA|NA|NA|Ruminococcus_gnavus|Ruminococcus_gnavus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_gnavus|Ruminococcus_gnavus" "LEfSe" "CTR" 2.99258197038093 0.029906009521992 0.029906009521992 "*"
"NA|NA|NA|NA|NA|NA|Phascolarctobacterium_faecium|Phascolarctobacterium_faecium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phascolarctobacterium_faecium|Phascolarctobacterium_faecium" "LEfSe" "ADA" 2.95547433518891 0.0385188693474789 0.0385188693474789 "*"
"NA|NA|NA|NA|NA|NA|GGB9635_SGB15106|GGB9635_SGB15106" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9635_SGB15106|GGB9635_SGB15106" "LEfSe" "ADA" 2.95522116110871 0.0145848162525862 0.0145848162525862 "*"
"NA|NA|NA|NA|NA|NA|Roseburia_inulinivorans|Roseburia_inulinivorans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Roseburia_inulinivorans|Roseburia_inulinivorans" "LEfSe" "CTR" 2.951770426571 0.0177021071013508 0.0177021071013508 "*"
"NA|NA|NA|NA|NA|NA|Streptococcus_salivarius|Streptococcus_salivarius" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Streptococcus_salivarius|Streptococcus_salivarius" "LEfSe" "CTR" 2.93429457755544 0.0258696997010379 0.0258696997010379 "*"
"NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "LEfSe" "CTR" 2.93175432606217 0.0207642675491313 0.0207642675491313 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_xylanisolvens|Bacteroides_xylanisolvens" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_xylanisolvens|Bacteroides_xylanisolvens" "LEfSe" "CTR" 2.89022566091243 0.00458936138353815 0.00458936138353815 "**"
"NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium|Clostridiaceae_bacterium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium|Clostridiaceae_bacterium" "LEfSe" "CTR" 2.84357364341555 0.0133572347686218 0.0133572347686218 "*"
"NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "LEfSe" "ADA" 2.84294227527436 0.00018832971372616 0.00018832971372616 "***"
"NA|NA|NA|NA|NA|NA|GGB9747_SGB15356|GGB9747_SGB15356" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB9747_SGB15356|GGB9747_SGB15356" "LEfSe" "ADA" 2.8365633144408 0.0256869303613568 0.0256869303613568 "*"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AM22_11AC|Clostridium_sp_AM22_11AC" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AM22_11AC|Clostridium_sp_AM22_11AC" "LEfSe" "CTR" 2.82167335158792 0.0074207852685047 0.0074207852685047 "**"
