feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptococcus_thermophilus	Group	CTR	1.43258198447587	0.369594548792529	792	341	0.000114960645848407	0.013565356210112
Clostridium_SGB4750	Group	CTR	1.3888024454635	0.351492696810932	792	502	8.47341985921422e-05	0.013565356210112
Clostridium_sp_AM42_4	Group	CTR	0.915551681535453	0.229014719307125	792	129	6.99288037057434e-05	0.013565356210112
Eubacterium_ventriosum	Group	CTR	1.79419214289272	0.47269196774978	792	476	0.000158499852606983	0.014027236955718
Erysipelatoclostridium_ramosum	Group	CTR	1.545127886018	0.432328145388247	792	305	0.000372944825143544	0.0264044936201629
Klebsiella_pneumoniae	Group	CTR	-0.926190159048327	0.267668589868703	792	184	0.000568699903342218	0.0335532942971909
Bifidobacterium_pseudocatenulatum	Group	CTR	1.59437745816758	0.468310114650133	792	357	0.000696198195731417	0.0352077373269888
GGB3614_SGB4886	Group	CTR	-0.682228651878767	0.224420693089636	792	72	0.00244422750098561	0.0961396150387674
Blautia_producta	Group	CTR	0.92502015410119	0.301392218250612	792	158	0.00222003170649787	0.0961396150387674
GGB3304_SGB4367	Group	CTR	-1.1746232835127	0.394859493657069	792	233	0.00302122845170355	0.106951487190306
Dysosmobacter_sp_NSJ_60	Group	CTR	1.02882091277862	0.353287817256216	792	437	0.00369082844865628	0.118777570074939
GGB9642_SGB15119	Group	CTR	-0.818454579921461	0.284234111411063	792	126	0.00409061908220708	0.120673262925109
Ruminococcus_sp_BSD2780120874_150323_B10	Group	CTR	-1.25118238439337	0.440155285991897	792	213	0.0045902049102797	0.12499481063377
Anaerostipes_hadrus	Group	CTR	1.11881322909289	0.399059025547925	792	664	0.00517701893931425	0.130904621751232
Bacteroides_cellulosilyticus	Group	CTR	-1.1826823447711	0.436928574966129	792	366	0.00693997726777479	0.152579890724698
Bacteroides_xylanisolvens	Group	CTR	1.20803756148516	0.447889610941854	792	562	0.00714203979458257	0.152579890724698
Ruminococcus_bicirculans	Group	CTR	1.3093759955517	0.487017682307013	792	451	0.00732728288790925	0.152579890724698
Roseburia_inulinivorans	Group	CTR	1.04704482578318	0.399137367852703	792	646	0.00887698149549318	0.162597110742533
Clostridiales_bacterium_KLE1615	Group	CTR	1.0231579863427	0.396569988352902	792	578	0.0100589987030347	0.162597110742533
Blautia_faecis	Group	CTR	0.804991219364941	0.310434971385443	792	710	0.00968727508036402	0.162597110742533
Lacrimispora_amygdalina	Group	CTR	1.15810257665864	0.449149875758113	792	538	0.010104905187389	0.162597110742533
Merdimonas_faecis	Group	CTR	0.641902881834987	0.248816868239988	792	116	0.0100647213665931	0.162597110742533
Clostridium_sp_AM33_3	Group	CTR	0.828592132896216	0.329415442078997	792	351	0.0120891033551256	0.168333343321547
Desulfovibrio_piger	Group	CTR	-0.616039167333846	0.24569283958023	792	115	0.012363465893673	0.168333343321547
Streptococcus_parasanguinis	Group	CTR	0.912061675009567	0.361648094437233	792	566	0.0118658429566413	0.168333343321547
Collinsella_SGB4121	Group	CTR	0.813798770921381	0.322445456651961	792	385	0.0118032644406559	0.168333343321547
Desulfovibrio_SGB5077	Group	CTR	0.971152096722309	0.390559944170272	792	196	0.0131038646760939	0.171806225753231
Streptococcus_salivarius	Group	CTR	0.874359972060129	0.356013854677401	792	654	0.0142646875194186	0.180346406495506
Blautia_wexlerae	Group	CTR	0.732336829537166	0.303606093209476	792	756	0.0160866725158687	0.186825572425543
Alistipes_indistinctus	Group	CTR	-0.870898643913921	0.360527229198434	792	276	0.0159341747935068	0.186825572425543
Enterococcus_faecalis	Group	CTR	-0.49443931748031	0.205509179248516	792	84	0.0163604314835927	0.186825572425543
Blautia_obeum	Group	CTR	0.890277351985362	0.387871171094259	792	648	0.0219776582232235	0.199489513103106
Clostridium_sp_AF34_10BH	Group	CTR	0.817838018732808	0.355151964930672	792	644	0.0215500673822663	0.199489513103106
Haemophilus_parainfluenzae	Group	CTR	0.809518999354283	0.343709401203009	792	381	0.0187542418880098	0.199489513103106
Clostridium_sp_AM22_11AC	Group	CTR	1.08429306336184	0.468415951703684	792	491	0.020878933876677	0.199489513103106
Alistipes_shahii	Group	CTR	-0.9959923220051	0.433766042906848	792	518	0.0219282250273431	0.199489513103106
Prevotella_copri_clade_A	Group	CTR	-1.32672863932633	0.567173957424487	792	313	0.0195738491566411	0.199489513103106
Eggerthella_lenta	Group	CTR	0.885406129755457	0.378468673254119	792	486	0.0195607483596405	0.199489513103106
Clostridia_bacterium	Group	CTR	-0.606430807211464	0.260700323720115	792	91	0.0202621534131624	0.199489513103106
Enterobacter_hormaechei	Group	CTR	-0.44801021560004	0.196561187849541	792	60	0.0229186997589714	0.202830492866897
Escherichia_coli	Group	CTR	-0.969040571319671	0.426961392962358	792	520	0.0234993201672894	0.202896569249279
Clostridiaceae_bacterium	Group	CTR	0.662618838543955	0.298674205050061	792	707	0.0268019984804713	0.206258857871453
Clostridium_SGB4751	Group	CTR	0.547975774764297	0.245123997573301	792	147	0.0256629044652408	0.206258857871453
Ruminococcus_callidus	Group	CTR	-0.880613153707421	0.392280032339976	792	160	0.0250531615515458	0.206258857871453
Gemmiger_SGB15299	Group	CTR	-0.628952537796806	0.281377649606954	792	165	0.0256789285035768	0.206258857871453
Megamonas_funiformis	Group	CTR	1.00561130263638	0.451921788249505	792	182	0.0263501959172156	0.206258857871453
Clostridiales_bacterium_Choco116	Group	CTR	-0.619784422051727	0.280571205916925	792	107	0.0274602676919224	0.2068283992115
Parabacteroides_distasonis	Group	CTR	0.815492761243512	0.371179506637035	792	672	0.0283079556368839	0.208771172822019
Clostridium_sp_AF27_2AA	Group	CTR	0.74920455132646	0.343556020052532	792	242	0.0294973651803075	0.208841345476577
GGB47687_SGB2286	Group	CTR	-0.678079069132545	0.310266327456825	792	152	0.0291470750025606	0.208841345476577
Slackia_isoflavoniconvertens	Group	CTR	-0.514152391976802	0.236903202084308	792	158	0.0302809506471987	0.210185422139379
GGB3363_SGB4448	Group	CTR	0.550248031917898	0.255045530352157	792	104	0.0312714639464201	0.212886504558322
GGB9512_SGB14909	Group	CTR	-0.489386999070191	0.228614011838776	792	161	0.0326062296428547	0.217297504190616
Ruminococcus_gnavus	Group	CTR	0.999022368790282	0.468137284431873	792	542	0.033147076910433	0.217297504190616
Ruminococcus_SGB4421	Group	CTR	0.581223588116153	0.2743755548454	792	150	0.0344570160845299	0.221777885344065
Candidatus_Cibionibacter_quicibialis	Group	CTR	-1.08269430792736	0.515364872934193	792	584	0.035972174654811	0.227395532639341
Alistipes_sp_AF17_16	Group	CTR	-0.622343800733018	0.297449024750396	792	182	0.0367329477871971	0.228130938888908
GGB9635_SGB15106	Group	CTR	-0.738998807545628	0.355370915155076	792	228	0.0378921093594682	0.231272529538823
Clostridiaceae_unclassified_SGB15090	Group	CTR	-0.598878528471183	0.290106037089729	792	102	0.0393110803816195	0.23470887857086
Megasphaera_micronuciformis	Group	CTR	-0.524920434024154	0.254887445556481	792	100	0.0397811658594678	0.23470887857086
GGB33512_SGB15201	Group	CTR	-0.523289081850292	0.255680773727534	792	119	0.0410229005275472	0.238067324372979
