"Comparison" "Taxa" "Method" "Group" "LDA" "P.unadj" "P.adj" "Significance"
"NA|NA|NA|NA|NA|NA|Escherichia_coli|Escherichia_coli" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Escherichia_coli|Escherichia_coli" "LEfSe" "ADA" 3.88042359573422 0.00395878816782 0.00395878816782 "**"
"NA|NA|NA|NA|NA|NA|Megamonas_funiformis|Megamonas_funiformis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Megamonas_funiformis|Megamonas_funiformis" "LEfSe" "ADA" 3.55595313676184 0.0110685075267279 0.0110685075267279 "*"
"NA|NA|NA|NA|NA|NA|Prevotella_copri_clade_A|Prevotella_copri_clade_A" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Prevotella_copri_clade_A|Prevotella_copri_clade_A" "LEfSe" "ADA" 3.36600789606438 0.0147158241069747 0.0147158241069747 "*"
"NA|NA|NA|NA|NA|NA|Phocaeicola_massiliensis|Phocaeicola_massiliensis" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Phocaeicola_massiliensis|Phocaeicola_massiliensis" "LEfSe" "ADA" 3.35277740783911 0.0242049620983591 0.0242049620983591 "*"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_pseudocatenulatum|Bifidobacterium_pseudocatenulatum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_pseudocatenulatum|Bifidobacterium_pseudocatenulatum" "LEfSe" "ADA" 3.21547118469572 0.00142206118780881 0.00142206118780881 "**"
"NA|NA|NA|NA|NA|NA|Ruminococcus_bicirculans|Ruminococcus_bicirculans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_bicirculans|Ruminococcus_bicirculans" "LEfSe" "CTR" 3.18180066435271 0.00241933231952846 0.00241933231952846 "**"
"NA|NA|NA|NA|NA|NA|Ruminococcus_sp_BSD2780120874_150323_B10|Ruminococcus_sp_BSD2780120874_150323_B10" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_sp_BSD2780120874_150323_B10|Ruminococcus_sp_BSD2780120874_150323_B10" "LEfSe" "ADA" 3.05840286440823 0.00120972175343108 0.00120972175343108 "**"
"NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Blautia_wexlerae|Blautia_wexlerae" "LEfSe" "CTR" 3.00627769396319 0.0455486207194487 0.0455486207194487 "*"
"NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bifidobacterium_longum|Bifidobacterium_longum" "LEfSe" "CTR" 2.9772729933322 0.0177664425548009 0.0177664425548009 "*"
"NA|NA|NA|NA|NA|NA|Alistipes_shahii|Alistipes_shahii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Alistipes_shahii|Alistipes_shahii" "LEfSe" "ADA" 2.93976865664753 0.0063648955916257 0.0063648955916257 "**"
"NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Streptococcus_thermophilus|Streptococcus_thermophilus" "LEfSe" "ADA" 2.89169291909195 2.50094356254194e-05 2.50094356254194e-05 "***"
"NA|NA|NA|NA|NA|NA|GGB3304_SGB4367|GGB3304_SGB4367" "ADA - CTR" "NA|NA|NA|NA|NA|NA|GGB3304_SGB4367|GGB3304_SGB4367" "LEfSe" "ADA" 2.85518512699276 0.0103259085168044 0.0103259085168044 "*"
"NA|NA|NA|NA|NA|NA|Klebsiella_pneumoniae|Klebsiella_pneumoniae" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Klebsiella_pneumoniae|Klebsiella_pneumoniae" "LEfSe" "ADA" 2.83766644310394 0.000792919917745795 0.000792919917745795 "***"
"NA|NA|NA|NA|NA|NA|Ruminococcus_gnavus|Ruminococcus_gnavus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Ruminococcus_gnavus|Ruminococcus_gnavus" "LEfSe" "CTR" 2.83365401221758 0.0438552543942727 0.0438552543942727 "*"
"NA|NA|NA|NA|NA|NA|Eubacterium_ventriosum|Eubacterium_ventriosum" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Eubacterium_ventriosum|Eubacterium_ventriosum" "LEfSe" "CTR" 2.8270176384401 2.42865341234299e-05 2.42865341234299e-05 "***"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AM22_11AC|Clostridium_sp_AM22_11AC" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AM22_11AC|Clostridium_sp_AM22_11AC" "LEfSe" "CTR" 2.77779459085957 0.00132635924293295 0.00132635924293295 "**"
"NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium|Clostridiaceae_bacterium" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridiaceae_bacterium|Clostridiaceae_bacterium" "LEfSe" "CTR" 2.73536218860373 0.0152984134126185 0.0152984134126185 "*"
"NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Anaerostipes_hadrus|Anaerostipes_hadrus" "LEfSe" "CTR" 2.69983125465867 0.00262915925128824 0.00262915925128824 "**"
"NA|NA|NA|NA|NA|NA|Clostridium_sp_AM42_4|Clostridium_sp_AM42_4" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Clostridium_sp_AM42_4|Clostridium_sp_AM42_4" "LEfSe" "ADA" 2.69329176987203 0.0236918289454567 0.0236918289454567 "*"
"NA|NA|NA|NA|NA|NA|Lacrimispora_amygdalina|Lacrimispora_amygdalina" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Lacrimispora_amygdalina|Lacrimispora_amygdalina" "LEfSe" "CTR" 2.65229769370194 0.003807012838173 0.003807012838173 "**"
"NA|NA|NA|NA|NA|NA|Bacteroides_xylanisolvens|Bacteroides_xylanisolvens" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_xylanisolvens|Bacteroides_xylanisolvens" "LEfSe" "CTR" 2.63145240424749 0.0362820962416161 0.0362820962416161 "*"
"NA|NA|NA|NA|NA|NA|Roseburia_inulinivorans|Roseburia_inulinivorans" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Roseburia_inulinivorans|Roseburia_inulinivorans" "LEfSe" "CTR" 2.60775409576695 0.0164998912045964 0.0164998912045964 "*"
"NA|NA|NA|NA|NA|NA|Bacteroides_finegoldii|Bacteroides_finegoldii" "ADA - CTR" "NA|NA|NA|NA|NA|NA|Bacteroides_finegoldii|Bacteroides_finegoldii" "LEfSe" "ADA" 2.60230952950853 0.0236286136152051 0.0236286136152051 "*"
