Repeat,Mean AUC,AUCs
1,0.9004166666666666,"[0.9062500000000001, 0.8875000000000001, 0.9722222222222223, 0.8680555555555556, 0.8680555555555556]"
2,0.9213888888888888,"[0.90625, 0.94375, 0.9444444444444444, 0.9097222222222222, 0.9027777777777778]"
3,0.908611111111111,"[0.93125, 0.93125, 0.986111111111111, 0.9097222222222222, 0.7847222222222222]"
4,0.9400000000000001,"[0.9875, 0.9, 0.9583333333333334, 0.9444444444444444, 0.9097222222222223]"
5,0.9273611111111111,"[0.9750000000000001, 0.91875, 0.9722222222222222, 0.875, 0.8958333333333334]"
6,0.9333333333333332,"[0.9500000000000001, 0.925, 1.0, 0.9166666666666666, 0.875]"
7,0.9123611111111112,"[0.9187500000000001, 0.9, 0.9583333333333333, 0.9305555555555555, 0.8541666666666667]"
8,0.8865277777777779,"[0.9500000000000001, 0.84375, 0.9722222222222222, 0.8472222222222222, 0.8194444444444445]"
9,0.9191666666666667,"[0.95625, 0.9312499999999999, 0.9861111111111112, 0.8125, 0.9097222222222222]"
10,0.9047222222222222,"[0.9625, 0.8875, 0.9861111111111112, 0.8819444444444444, 0.8055555555555556]"
11,0.9090277777777779,"[0.925, 0.91875, 1.0, 0.8541666666666667, 0.8472222222222222]"
12,0.9075000000000001,"[0.9, 0.8875, 0.9722222222222222, 0.9236111111111112, 0.8541666666666667]"
13,0.9130555555555555,"[0.9875, 0.8624999999999999, 0.9652777777777778, 0.8819444444444444, 0.8680555555555556]"
14,0.8788888888888889,"[0.89375, 0.86875, 0.9583333333333334, 0.923611111111111, 0.75]"
15,0.9154166666666667,"[0.94375, 0.8624999999999999, 0.951388888888889, 0.9166666666666667, 0.9027777777777778]"
16,0.8944444444444445,"[0.93125, 0.8812500000000001, 1.0, 0.861111111111111, 0.7986111111111112]"
17,0.9108333333333334,"[0.9500000000000001, 0.9375, 1.0, 0.9166666666666667, 0.75]"
18,0.9076388888888889,"[0.9125, 0.86875, 0.9930555555555556, 0.875, 0.888888888888889]"
19,0.8743055555555556,"[0.8875000000000001, 0.83125, 0.9305555555555556, 0.8125, 0.9097222222222222]"
20,0.9418055555555555,"[0.96875, 0.9624999999999999, 0.9305555555555556, 0.9583333333333333, 0.8888888888888888]"
21,0.9305555555555556,"[0.975, 0.9, 0.9444444444444444, 0.8472222222222222, 0.986111111111111]"
22,0.8915277777777778,"[0.9625, 0.85625, 0.9652777777777778, 0.9097222222222222, 0.7638888888888888]"
23,0.8977777777777778,"[0.95625, 0.8312499999999999, 1.0, 0.8194444444444444, 0.8819444444444444]"
24,0.9061111111111112,"[0.9625, 0.8875, 1.0, 0.8541666666666666, 0.826388888888889]"
25,0.8827777777777778,"[0.9625, 0.8125, 0.8958333333333333, 0.9027777777777778, 0.8402777777777778]"
26,0.9022222222222223,"[0.9374999999999999, 0.8999999999999999, 0.9583333333333334, 0.8888888888888888, 0.8263888888888888]"
27,0.9170833333333333,"[0.9624999999999999, 0.8937499999999999, 0.9166666666666666, 0.9722222222222222, 0.8402777777777779]"
28,0.9172222222222223,"[0.9500000000000001, 0.9, 0.986111111111111, 0.8888888888888888, 0.8611111111111112]"
29,0.9329166666666667,"[0.9625000000000001, 0.8687499999999999, 0.9861111111111112, 0.9166666666666666, 0.9305555555555556]"
30,0.9018055555555555,"[0.9375, 0.8562500000000001, 1.0, 0.8541666666666667, 0.8611111111111112]"
31,0.9084722222222222,"[0.91875, 0.8875, 1.0, 0.8888888888888888, 0.8472222222222223]"
32,0.9002777777777778,"[0.90625, 0.8937499999999999, 0.9583333333333334, 0.8958333333333334, 0.8472222222222222]"
33,0.921111111111111,"[0.9625, 0.9, 0.9583333333333334, 0.8819444444444444, 0.9027777777777778]"
34,0.9161111111111111,"[0.9625, 0.875, 0.9583333333333333, 0.9166666666666666, 0.8680555555555556]"
35,0.9048611111111111,"[0.9750000000000001, 0.80625, 1.0, 0.8680555555555556, 0.875]"
36,0.8945833333333333,"[0.925, 0.8812500000000001, 0.9791666666666666, 0.875, 0.8125]"
37,0.9258333333333333,"[0.9624999999999999, 0.875, 1.0, 0.8680555555555556, 0.9236111111111112]"
38,0.8943055555555557,"[0.96875, 0.8500000000000001, 0.9930555555555555, 0.8611111111111112, 0.7986111111111112]"
39,0.9168055555555554,"[0.96875, 0.8375, 1.0, 0.8819444444444444, 0.8958333333333333]"
40,0.8930555555555555,"[0.9875, 0.8875, 0.9652777777777778, 0.8819444444444444, 0.7430555555555556]"
41,0.922638888888889,"[0.9625, 0.89375, 0.9583333333333334, 0.8819444444444444, 0.9166666666666667]"
42,0.906111111111111,"[0.9937499999999999, 0.85625, 1.0, 0.8333333333333334, 0.8472222222222223]"
43,0.9129166666666666,"[0.95625, 0.9, 1.0, 0.8333333333333334, 0.875]"
44,0.8963888888888889,"[0.91875, 0.86875, 0.9791666666666666, 0.8888888888888888, 0.8263888888888888]"
45,0.895277777777778,"[0.95625, 0.81875, 0.9583333333333333, 0.8541666666666667, 0.888888888888889]"
46,0.9176388888888891,"[0.90625, 0.8625, 0.9861111111111112, 0.986111111111111, 0.8472222222222223]"
47,0.9047222222222222,"[0.89375, 0.83125, 1.0, 0.888888888888889, 0.9097222222222223]"
48,0.9354166666666666,"[0.9875, 0.85625, 0.9861111111111112, 0.8888888888888888, 0.9583333333333334]"
49,0.9176388888888889,"[0.9812500000000001, 0.9125, 0.9583333333333334, 0.9305555555555556, 0.8055555555555556]"
50,0.9218055555555555,"[0.9812500000000001, 0.8500000000000001, 0.986111111111111, 0.9305555555555556, 0.8611111111111112]"
