Repeat,Mean AUC,AUCs
1,0.6942708333333333,"[0.6319444444444444, 0.7708333333333334, 0.7777777777777778, 0.6111111111111112, 0.6796875]"
2,0.6684771825396825,"[0.6041666666666666, 0.7083333333333334, 0.7777777777777779, 0.6349206349206349, 0.6171875]"
3,0.7290922619047618,"[0.7013888888888888, 0.8055555555555555, 0.8402777777777778, 0.5873015873015873, 0.7109375]"
4,0.7192212301587302,"[0.6597222222222222, 0.798611111111111, 0.8541666666666666, 0.6507936507936508, 0.6328125]"
5,0.7073412698412699,"[0.7083333333333334, 0.7708333333333333, 0.8055555555555556, 0.626984126984127, 0.625]"
6,0.7405753968253969,"[0.7638888888888888, 0.7222222222222222, 0.8472222222222222, 0.6507936507936508, 0.71875]"
7,0.6852926587301587,"[0.7152777777777777, 0.8055555555555555, 0.7638888888888888, 0.5714285714285714, 0.5703125]"
8,0.7012400793650794,"[0.6527777777777778, 0.7847222222222222, 0.7777777777777778, 0.619047619047619, 0.671875]"
9,0.6694692460317461,"[0.6805555555555556, 0.6527777777777778, 0.7777777777777778, 0.619047619047619, 0.6171875]"
10,0.7132440476190476,"[0.6666666666666667, 0.7916666666666667, 0.7777777777777778, 0.626984126984127, 0.703125]"
11,0.6876488095238095,"[0.6458333333333334, 0.763888888888889, 0.7777777777777779, 0.5476190476190477, 0.703125]"
12,0.7291914682539683,"[0.6944444444444444, 0.7916666666666667, 0.8611111111111112, 0.6190476190476191, 0.6796875]"
13,0.6786210317460318,"[0.6527777777777778, 0.7083333333333334, 0.7569444444444445, 0.6031746031746033, 0.671875]"
14,0.6739087301587302,"[0.6805555555555556, 0.7222222222222223, 0.7777777777777778, 0.5952380952380952, 0.59375]"
15,0.648735119047619,"[0.6805555555555556, 0.7152777777777778, 0.7847222222222222, 0.5396825396825397, 0.5234375]"
16,0.6598462301587301,"[0.5555555555555556, 0.6944444444444444, 0.7500000000000001, 0.6507936507936508, 0.6484375]"
17,0.6842261904761905,"[0.763888888888889, 0.7291666666666666, 0.7777777777777778, 0.619047619047619, 0.53125]"
18,0.7186755952380953,"[0.7222222222222222, 0.763888888888889, 0.7777777777777779, 0.5873015873015873, 0.7421875]"
19,0.7055059523809524,"[0.6944444444444444, 0.7638888888888888, 0.8333333333333334, 0.5952380952380952, 0.640625]"
20,0.6933779761904761,"[0.6180555555555556, 0.7361111111111112, 0.7986111111111112, 0.6031746031746031, 0.7109375]"
21,0.7008928571428571,"[0.638888888888889, 0.7777777777777778, 0.8680555555555556, 0.5634920634920635, 0.65625]"
22,0.7064236111111111,"[0.7222222222222222, 0.8125, 0.7777777777777779, 0.5555555555555556, 0.6640625]"
