Repeat,Mean AUC,AUCs
1,0.9177777777777777,"[0.9375, 0.8875, 1.0, 0.9027777777777778, 0.8611111111111112]"
2,0.9095833333333333,"[0.9375, 0.8812500000000001, 0.9722222222222222, 0.8888888888888888, 0.8680555555555556]"
3,0.9216666666666666,"[0.9625, 0.875, 0.986111111111111, 0.8819444444444444, 0.9027777777777778]"
4,0.8890277777777778,"[0.9375, 0.8687499999999999, 0.986111111111111, 0.861111111111111, 0.7916666666666667]"
5,0.9061111111111112,"[0.9625, 0.8875, 0.9722222222222222, 0.875, 0.8333333333333334]"
6,0.9180555555555555,"[0.95, 0.8624999999999999, 0.986111111111111, 0.8888888888888888, 0.9027777777777778]"
7,0.9173611111111111,"[0.96875, 0.8749999999999999, 0.986111111111111, 0.8888888888888888, 0.8680555555555556]"
8,0.913888888888889,"[0.9249999999999999, 0.8875000000000001, 1.0, 0.8680555555555556, 0.888888888888889]"
9,0.9116666666666667,"[0.9500000000000001, 0.9, 0.9861111111111112, 0.875, 0.8472222222222223]"
10,0.9175000000000001,"[0.9375, 0.9, 1.0, 0.875, 0.875]"
11,0.9056944444444444,"[0.9500000000000001, 0.8562500000000001, 0.986111111111111, 0.9027777777777778, 0.8333333333333335]"
12,0.9112500000000001,"[0.925, 0.88125, 1.0, 0.8888888888888888, 0.8611111111111112]"
13,0.9155555555555555,"[0.9750000000000001, 0.8875, 1.0, 0.8472222222222222, 0.8680555555555556]"
14,0.9091666666666667,"[0.9500000000000001, 0.8875, 0.9722222222222222, 0.8888888888888888, 0.8472222222222222]"
15,0.9180555555555555,"[0.9375, 0.8749999999999999, 1.0, 0.875, 0.9027777777777778]"
16,0.9122222222222222,"[0.9500000000000001, 0.8749999999999999, 0.986111111111111, 0.8888888888888888, 0.8611111111111112]"
17,0.9202777777777778,"[0.9625, 0.875, 1.0, 0.9027777777777778, 0.8611111111111112]"
18,0.9122222222222222,"[0.9375, 0.8875, 0.9722222222222222, 0.875, 0.888888888888889]"
19,0.9175000000000001,"[0.9500000000000001, 0.8875, 1.0, 0.875, 0.875]"
20,0.9177777777777777,"[0.9375, 0.8875, 1.0, 0.9027777777777778, 0.8611111111111112]"
21,0.9104166666666668,"[0.9375, 0.84375, 0.986111111111111, 0.8888888888888888, 0.8958333333333335]"
22,0.9066666666666666,"[0.9375, 0.8875, 1.0, 0.8611111111111112, 0.8472222222222223]"
23,0.9091666666666667,"[0.95, 0.8875, 1.0, 0.8888888888888888, 0.8194444444444445]"
24,0.9166666666666666,"[0.9375, 0.875, 0.9791666666666666, 0.8888888888888888, 0.9027777777777778]"
25,0.9011111111111111,"[0.95, 0.875, 0.9722222222222222, 0.875, 0.8333333333333334]"
26,0.9193055555555556,"[0.9125, 0.90625, 1.0, 0.875, 0.9027777777777778]"
27,0.9045833333333334,"[0.96875, 0.8875, 0.9791666666666666, 0.8611111111111112, 0.826388888888889]"
28,0.9115277777777779,"[0.9750000000000001, 0.88125, 1.0, 0.861111111111111, 0.8402777777777778]"
29,0.9147222222222222,"[0.9500000000000001, 0.8875, 0.986111111111111, 0.8888888888888888, 0.8611111111111112]"
30,0.9013888888888889,"[0.925, 0.8875, 0.986111111111111, 0.875, 0.8333333333333334]"
31,0.9183333333333333,"[0.9375, 0.8625, 0.986111111111111, 0.9027777777777778, 0.9027777777777778]"
32,0.9136111111111112,"[0.9375, 0.8875, 0.9930555555555555, 0.8888888888888888, 0.8611111111111112]"
33,0.9197222222222223,"[0.9625, 0.8999999999999999, 0.986111111111111, 0.8888888888888888, 0.8611111111111112]"
34,0.9147222222222222,"[0.9500000000000001, 0.8875, 1.0, 0.861111111111111, 0.875]"
35,0.9147222222222222,"[0.9375, 0.9, 1.0, 0.861111111111111, 0.875]"
36,0.9159722222222222,"[0.95625, 0.8875, 1.0, 0.875, 0.8611111111111112]"
37,0.9125,"[0.9500000000000001, 0.8625, 1.0, 0.875, 0.875]"
38,0.9011111111111111,"[0.9375, 0.8875, 0.9722222222222222, 0.875, 0.8333333333333334]"
39,0.9072222222222223,"[0.9375, 0.8624999999999999, 1.0, 0.8611111111111112, 0.875]"
40,0.9134722222222222,"[0.9500000000000001, 0.88125, 1.0, 0.8888888888888888, 0.8472222222222223]"
41,0.9066666666666666,"[0.9500000000000001, 0.875, 0.986111111111111, 0.8611111111111112, 0.8611111111111112]"
42,0.9205555555555556,"[0.9625, 0.8624999999999999, 1.0, 0.8888888888888888, 0.8888888888888888]"
43,0.9308333333333334,"[0.9750000000000001, 0.8875, 1.0, 0.8888888888888888, 0.9027777777777779]"
44,0.915,"[0.9625, 0.8625, 0.986111111111111, 0.8888888888888888, 0.875]"
45,0.9106944444444445,"[0.9750000000000001, 0.85625, 0.9583333333333333, 0.8888888888888888, 0.875]"
46,0.9013888888888889,"[0.9375, 0.8749999999999999, 0.9722222222222222, 0.8611111111111112, 0.8611111111111112]"
47,0.9043055555555556,"[0.925, 0.88125, 0.986111111111111, 0.8888888888888888, 0.8402777777777778]"
48,0.9134722222222222,"[0.94375, 0.8875, 1.0, 0.875, 0.8611111111111112]"
49,0.9094444444444445,"[0.9375, 0.8875, 1.0, 0.8888888888888888, 0.8333333333333334]"
50,0.9125,"[0.9375, 0.8749999999999999, 0.986111111111111, 0.875, 0.8888888888888888]"
