Repeat,Mean AUC,AUCs
1,0.7062003968253968,"[0.6666666666666667, 0.7638888888888891, 0.7777777777777778, 0.6507936507936507, 0.671875]"
2,0.7054563492063493,"[0.6527777777777778, 0.7500000000000001, 0.8333333333333334, 0.6349206349206349, 0.65625]"
3,0.7148809523809524,"[0.6805555555555556, 0.7777777777777778, 0.7777777777777778, 0.6507936507936507, 0.6875]"
4,0.7152281746031746,"[0.6805555555555556, 0.7638888888888888, 0.7777777777777778, 0.6507936507936507, 0.703125]"
5,0.6876984126984127,"[0.6527777777777778, 0.7638888888888888, 0.7777777777777778, 0.6190476190476191, 0.625]"
6,0.6910714285714286,"[0.7013888888888888, 0.763888888888889, 0.7777777777777778, 0.5873015873015874, 0.625]"
7,0.6963789682539683,"[0.6666666666666667, 0.7777777777777779, 0.7777777777777778, 0.6190476190476191, 0.640625]"
8,0.705406746031746,"[0.6805555555555556, 0.7777777777777778, 0.7777777777777778, 0.6190476190476191, 0.671875]"
9,0.7145337301587301,"[0.6666666666666666, 0.8055555555555555, 0.7777777777777778, 0.6507936507936508, 0.671875]"
10,0.6979414682539683,"[0.6805555555555556, 0.763888888888889, 0.7777777777777778, 0.6190476190476191, 0.6484375]"
11,0.7026785714285715,"[0.6805555555555556, 0.75, 0.7916666666666666, 0.6349206349206349, 0.65625]"
12,0.7029761904761905,"[0.6527777777777779, 0.7777777777777778, 0.7777777777777778, 0.6190476190476191, 0.6875]"
13,0.6936011904761905,"[0.6666666666666667, 0.763888888888889, 0.7777777777777778, 0.6190476190476191, 0.640625]"
14,0.6933035714285715,"[0.6805555555555556, 0.763888888888889, 0.7777777777777778, 0.6349206349206349, 0.609375]"
15,0.7093253968253969,"[0.6666666666666667, 0.763888888888889, 0.7777777777777778, 0.6507936507936507, 0.6875]"
16,0.6876984126984127,"[0.6527777777777778, 0.75, 0.7916666666666666, 0.6190476190476191, 0.625]"
17,0.7027281746031746,"[0.6805555555555556, 0.75, 0.7916666666666666, 0.6507936507936507, 0.640625]"
18,0.7012400793650794,"[0.6944444444444444, 0.7430555555555556, 0.7777777777777778, 0.6190476190476191, 0.671875]"
19,0.7058531746031746,"[0.6805555555555556, 0.763888888888889, 0.7777777777777778, 0.6507936507936507, 0.65625]"
20,0.7044642857142857,"[0.6527777777777778, 0.7708333333333334, 0.7916666666666666, 0.6507936507936507, 0.65625]"
21,0.7239087301587301,"[0.6805555555555556, 0.7916666666666667, 0.7777777777777778, 0.6507936507936507, 0.71875]"
22,0.6933531746031746,"[0.6666666666666667, 0.763888888888889, 0.7916666666666666, 0.6507936507936507, 0.59375]"
23,0.7235615079365079,"[0.6666666666666666, 0.8055555555555556, 0.7916666666666666, 0.6507936507936507, 0.703125]"
24,0.6995535714285714,"[0.6805555555555556, 0.7500000000000001, 0.7916666666666666, 0.6349206349206349, 0.640625]"
25,0.713095238095238,"[0.6527777777777779, 0.798611111111111, 0.7916666666666666, 0.6349206349206349, 0.6875]"
26,0.7030753968253969,"[0.6666666666666666, 0.763888888888889, 0.7777777777777778, 0.6507936507936507, 0.65625]"
27,0.7187003968253968,"[0.7083333333333334, 0.8055555555555556, 0.8194444444444444, 0.6507936507936507, 0.609375]"
28,0.7140873015873016,"[0.6944444444444444, 0.7916666666666666, 0.7777777777777778, 0.6190476190476191, 0.6875]"
29,0.7025793650793651,"[0.6666666666666667, 0.763888888888889, 0.7916666666666666, 0.6031746031746031, 0.6875]"
